file,method,algorithm_preset,status,thread_fairness_class,time_budget_seconds,progress_log,compact_bc_enabled_families_effective,compact_bc_diagnostic_force_leaf_solve,compact_bc_low_gini_aggressive_diagnostic,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_1_static_tailored_compact_bc_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_no_valid_bound,one_thread_fair,60,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_1_static_tailored_compact_bc_60s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_10s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_valid_checkpoint_bound,one_thread_fair,10,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_10s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_valid_checkpoint_bound,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_300s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_valid_checkpoint_bound,one_thread_fair,60,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_60s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_callback_tailored_bc_paced_10s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_valid_checkpoint_bound,one_thread_fair,10,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_callback_tailored_bc_paced_10s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_callback_tailored_bc_paced_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,one_thread_fair,1000,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_callback_tailored_bc_paced_1200s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_callback_tailored_bc_paced_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_valid_checkpoint_bound,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_callback_tailored_bc_paced_300s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_callback_tailored_bc_paced_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_valid_checkpoint_bound,one_thread_fair,60,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_callback_tailored_bc_paced_60s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,wrapper_timeout_no_valid_bound,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_300s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,wrapper_timeout_no_valid_bound,one_thread_fair,60,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_60s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_static_tailored_compact_bc_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_no_valid_bound,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_static_tailored_compact_bc_300s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3301_low_gini_2_static_tailored_compact_bc_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_no_valid_bound,one_thread_fair,60,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3301_low_gini_2_static_tailored_compact_bc_60s.progress.csv,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3302_hard_callback_tailored_bc_paced_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,one_thread_fair,1000,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\moderate_seed3302_hard_callback_tailored_bc_paced_60s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\moderate_seed3302_hard_plain_fixed_interval_cplex_benchmark_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,1000,,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\option_consistency_test.json,option-consistency-test,custom,diagnostic_complete,unknown_not_paper,10,,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\tailored_bc_branch_callback_smoke_test.json,tailored-bc-branch-callback-smoke-test,custom,diagnostic_passed,unknown_not_paper,10,,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\tailored_bc_callback_smoke_test.json,tailored-bc-callback-smoke-test,custom,diagnostic_passed,unknown_not_paper,10,,,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\tight_T_seed3102_hard_callback_tailored_bc_paced_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,one_thread_fair,1000,E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\progress_traces\tight_T_seed3102_hard_callback_tailored_bc_paced_60s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure|dynamic_root,False,False,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_longrun_convergence_round\raw\tight_T_seed3102_hard_plain_fixed_interval_cplex_benchmark_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,1000,,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,False,False,True,
