leaf,variant,budget_seconds,progress_path,valid_checkpoint_rows,best_valid_lb_seen,final_lower_bound,audit_passed,failures
low_gini_1,plain_fixed_interval_mip,60,,0,0.044318362677,0.044318362677,True,
low_gini_1,plain_fixed_interval_mip,300,,0,0.045486706017,0.045486706017,True,
low_gini_1,static_tailored_compact_bc,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_static_tailored_compact_bc_60s.progress.csv,3,0.0460810881734,0.0460810881734,True,
low_gini_1,static_tailored_compact_bc,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_static_tailored_compact_bc_300s.progress.csv,11,0.0483289243336,0.0483289243336,True,
low_gini_1,callback_no_cuts,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_no_cuts_60s.progress.csv,3,0.0448100613716,0.0448100613716,True,
low_gini_1,callback_no_cuts,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_no_cuts_300s.progress.csv,11,0.0457922778859,0.0457922778859,True,
low_gini_1,callback_low_gini_cuts,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_low_gini_cuts_60s.progress.csv,3,0.0467573339767,0.0467573339767,True,
low_gini_1,callback_low_gini_cuts,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_low_gini_cuts_300s.progress.csv,11,0.048388162834,0.048388162834,True,
low_gini_1,callback_local_centering,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_centering_60s.progress.csv,3,0.0460826630696,0.0460826630696,True,
low_gini_1,callback_local_centering,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_centering_300s.progress.csv,10,0.04833486092,0.04833486092,True,
low_gini_1,callback_local_q_centering,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_q_centering_60s.progress.csv,3,0.0469856609679,0.0469856609679,True,
low_gini_1,callback_local_q_centering,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_q_centering_300s.progress.csv,11,0.048388162834,0.048388162834,True,
low_gini_1,callback_subset_cross_h_centering,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_subset_cross_h_centering_60s.progress.csv,3,0.0450459172864,0.0450459172864,True,
low_gini_1,callback_subset_cross_h_centering,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_subset_cross_h_centering_300s.progress.csv,11,0.0478000296809,0.0478000296809,True,
low_gini_1,callback_required_external_source,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_required_external_source_60s.progress.csv,3,0.0466051220928,0.0466051220928,True,
low_gini_1,callback_required_external_source,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_required_external_source_300s.progress.csv,10,0.048388162834,0.048388162834,True,
low_gini_1,callback_compatible_source_transfer,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_compatible_source_transfer_60s.progress.csv,3,0.0467962998939,0.0467962998939,True,
low_gini_1,callback_compatible_source_transfer,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_compatible_source_transfer_300s.progress.csv,10,0.048388162834,0.048388162834,True,
low_gini_1,callback_local_plus_q,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_plus_q_60s.progress.csv,3,0.0465780432516,0.0465780432516,True,
low_gini_1,callback_local_plus_q,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_plus_q_300s.progress.csv,11,0.048388162834,0.048388162834,True,
low_gini_1,callback_local_plus_subset,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_plus_subset_60s.progress.csv,3,0.0449525444903,0.0449525444903,True,
low_gini_1,callback_local_plus_subset,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_plus_subset_300s.progress.csv,10,0.0474391084579,0.0474391084579,True,
low_gini_1,callback_q_plus_subset,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_q_plus_subset_60s.progress.csv,3,0.0450352006286,0.0450352006286,True,
low_gini_1,callback_q_plus_subset,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_q_plus_subset_300s.progress.csv,10,0.0479760913514,0.0479760913514,True,
low_gini_1,all_low_gini_safe_cuts,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_all_low_gini_safe_cuts_60s.progress.csv,3,0.0454438670364,0.0454438670364,True,
low_gini_1,all_low_gini_safe_cuts,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_all_low_gini_safe_cuts_300s.progress.csv,11,0.0476356289487,0.0476356289487,True,
low_gini_1,all_low_gini_safe_cuts_denominator,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_all_low_gini_safe_cuts_denominator_60s.progress.csv,3,0.0454438670364,0.0454438670364,True,
low_gini_1,all_low_gini_safe_cuts_denominator,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_all_low_gini_safe_cuts_denominator_300s.progress.csv,10,0.0476339655828,0.0476339655828,True,
low_gini_1,s_bucket_diagnostic,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_s_bucket_diagnostic_60s.progress.csv,1,0.0491525526647,0.0491525526647,True,
low_gini_1,s_bucket_diagnostic,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_s_bucket_diagnostic_300s.progress.csv,1,0.0491525526647,0.0491525526647,True,
low_gini_1,best_combined_paper_safe,60,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_best_combined_paper_safe_60s.progress.csv,3,0.0454223718245,0.0454223718245,True,
low_gini_1,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_best_combined_paper_safe_300s.progress.csv,11,0.04762614888,0.04762614888,True,
low_gini_1,plain_fixed_interval_mip,1200,,0,0.047545404397,0.047545404397,True,
low_gini_1,static_tailored_compact_bc,1200,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_static_tailored_compact_bc_1200s.progress.csv,40,0.0487233640003,0.0487233640003,True,
low_gini_1,callback_subset_cross_h_centering,1200,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_subset_cross_h_centering_1200s.progress.csv,40,0.0487233640003,0.0487233640003,True,
low_gini_1,callback_local_q_centering,1200,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_q_centering_1200s.progress.csv,40,0.0487233640003,0.0487233640003,True,
low_gini_1,all_low_gini_safe_cuts_denominator,1200,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_all_low_gini_safe_cuts_denominator_1200s.progress.csv,40,0.048388162834,0.048388162834,True,
low_gini_1,best_combined_paper_safe,1200,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_best_combined_paper_safe_1200s.progress.csv,40,0.048388162834,0.048388162834,True,
low_gini_1,plain_fixed_interval_mip,3600,,0,0.048296011755,0.048296011755,True,
low_gini_1,best_combined_paper_safe,3600,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_best_combined_paper_safe_3600s.progress.csv,120,0.0487233640003,0.0487233640003,True,
low_gini_2,plain_fixed_interval_mip,300,,0,0.048894652654,0.048894652654,True,
low_gini_2,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_2_best_combined_paper_safe_300s.progress.csv,11,0.0489209015481,0.0489209015481,True,
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,,0,2.1614881406,2.1614881406,True,
high_imbalance_seed3201_hard,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\high_imbalance_seed3201_hard_best_combined_paper_safe_300s.progress.csv,11,2.27667764295,2.27667764295,True,
tight_T_seed3102_hard,plain_fixed_interval_mip,300,,0,0.31243853008,0.31243853008,True,
tight_T_seed3102_hard,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\tight_T_seed3102_hard_best_combined_paper_safe_300s.progress.csv,11,0.517898731718,0.517898731718,True,
moderate_seed3302_hard,plain_fixed_interval_mip,300,,0,0.14433286301,0.14433286301,True,
moderate_seed3302_hard,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\moderate_seed3302_hard_best_combined_paper_safe_300s.progress.csv,10,0.14256670012,0.14256670012,True,
