leaf,gamma_L,gamma_U,variant,budget_seconds,json_path,progress_path,lp_path,status,solver_status,certified,lower_bound,upper_bound,gap,gap_to_cutoff,runtime_seconds,compact_bc_best_bound_available,compact_bc_bound_valid,best_valid_lb_seen,best_valid_gap_seen,finalization_source,final_json_uses_best_checkpoint,checkpoint_valid_rows,checkpoint_improvements,checkpoint_best_bound,checkpoint_best_time,checkpoint_best_node_count,nodes,tailored_bc_callback_cut_profile,tailored_bc_local_centering_rows_added,tailored_bc_low_gini_l1_centering_rows_added,tailored_bc_variable_s_centering_rows_added,tailored_bc_gini_subset_envelope_rows_added,tailored_bc_transfer_cutset_rows_added,compact_bc_sp_product_estimator_rows_added,compact_bc_sp_product_paper_safe,s_range_refinement_enabled,s_range_certificate_valid,s_range_global_L,s_range_global_U,thread_fairness_class,compact_bc_solver_threads,diagnostic_only,command_hash,model_lp_exists,lp_hash,lp_rows_estimated,lp_binary_markers,lp_general_markers,lp_h_vars,lp_q_l1_vars,lp_local_centering_rows,parent_S_L,parent_S_U,S_domain_source,S_domain_proof_status,S_domain_audit_passed,tailored_bc_s_bucket_ledger,tailored_bc_s_bucket_policy,tailored_bc_subset_cross_h_separation_profile,tailored_bc_subset_cross_h_centering_rows_added,tailored_bc_local_q_centering_rows_added,tailored_bc_compatible_source_transfer_cuts_added,tailored_bc_required_external_source_cuts_added,compact_bc_sp_product_mccormick_rows_added,row_class,proof_status
low_gini_1,0.0122881381662,0.0245762763324,plain_fixed_interval_mip,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_plain_fixed_interval_mip_60s.json,,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_plain_fixed_interval_mip_60s.lp,interval_unresolved_timeout,time limit exceeded,False,0.044318362677,0.0491525526647,0.0983507412255,0.004834189987700001,60.113733,True,True,0.044318362677,0.0983507412255,solver_final_json,True,0,0,0.0,0.0,0,1968,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,eb223d6b297a3a2b,True,3fa039d78c1b46af,5078,1,1,760,0,0,0,66.9085786677,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,0,benchmark_only_plain_fixed_interval_mip,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,plain_fixed_interval_mip,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,0.045486706017,0.0491525526647,0.0745810023888,0.003665846647699998,300.1297569,True,True,0.045486706017,0.0745810023888,solver_final_json,True,0,0,0.0,0.0,0,4250,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,ebd4602ec70c5e8d,True,3fa039d78c1b46af,5078,1,1,760,0,0,0,66.9085786677,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,0,benchmark_only_plain_fixed_interval_mip,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,static_tailored_compact_bc,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_static_tailored_compact_bc_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_static_tailored_compact_bc_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_static_tailored_compact_bc_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0460810881734,0.0491525526647,0.0624884024291,0.0030714644912999967,90.5597857,True,True,0.0460810881734,0.0624884024291,cplex_time_limit_with_valid_best_bound,True,3,3,0.0460810881734,90.0176171,3481,3481,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,3edaeb855540d17e,True,f17ee827e81d7ad7,15998,1,1,2470,80,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,4,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,static_tailored_compact_bc,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_static_tailored_compact_bc_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_static_tailored_compact_bc_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_static_tailored_compact_bc_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0483289243336,0.0491525526647,0.0167565728829,0.0008236283311000014,330.6456584,True,True,0.0483289243336,0.0167565728829,cplex_time_limit_with_valid_best_bound,True,11,10,0.0483289243336,300.0933099,16022,16022,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,8aa6f7b265f1dc20,True,f17ee827e81d7ad7,15998,1,1,2470,80,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,4,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_no_cuts,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_no_cuts_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_no_cuts_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_callback_no_cuts_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0448100613716,0.0491525526647,0.0883472181549,0.0043424912930999995,90.0693094,True,True,0.0448100613716,0.0883472181549,cplex_time_limit_with_valid_best_bound,True,3,2,0.0448100613716,60.0181729,1980,1980,off,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,False,fc7b4310c7f7ece9,True,3fa039d78c1b46af,5078,1,1,760,0,0,0,66.9085786677,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,0,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_no_cuts,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_no_cuts_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_no_cuts_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_callback_no_cuts_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0457922778859,0.0491525526647,0.0683641967022,0.0033602747788,330.1437576,True,True,0.0457922778859,0.0683641967022,cplex_time_limit_with_valid_best_bound,True,11,7,0.0457922778859,300.0851314,4178,4178,off,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,False,c3488cae73f786b7,True,3fa039d78c1b46af,5078,1,1,760,0,0,0,66.9085786677,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,0,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_low_gini_cuts,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_low_gini_cuts_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_low_gini_cuts_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_callback_low_gini_cuts_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0467573339767,0.0491525526647,0.0487303010356,0.0023952186880000018,90.5832681,True,True,0.0467573339767,0.0487303010356,cplex_time_limit_with_valid_best_bound,True,3,3,0.0467573339767,90.0180784,6780,6780,low-gini,0,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,6ae9a3b67f975820,True,b2fd9d679b1f3a49,15958,1,1,1710,80,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,4,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_low_gini_cuts,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_low_gini_cuts_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_low_gini_cuts_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_callback_low_gini_cuts_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.048388162834,0.0491525526647,0.0155513760572,0.0007643898306999991,330.7021908,True,True,0.048388162834,0.0155513760572,cplex_time_limit_with_valid_best_bound,True,11,6,0.048388162834,180.046848,20760,27611,low-gini,0,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,426a46ed00d9c1ad,True,b2fd9d679b1f3a49,15958,1,1,1710,80,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,4,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_local_centering,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_centering_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_centering_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_callback_local_centering_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0460826630696,0.0491525526647,0.0624563614443,0.0030698895950999963,90.5549494,True,True,0.0460826630696,0.0624563614443,cplex_time_limit_with_valid_best_bound,True,3,3,0.0460826630696,90.0180207,3482,3482,low-gini,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,d2828cce54640554,True,f17ee827e81d7ad7,15998,1,1,2470,80,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,4,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_local_centering,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_centering_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\low_gini_1_callback_local_centering_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\low_gini_1_callback_local_centering_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.04833486092,0.0491525526647,0.0166357940822,0.0008176917446999984,300.6305741,True,True,0.04833486092,0.0166357940822,cplex_time_limit_with_valid_best_bound,True,10,10,0.04833486092,300.0962448,16069,16069,low-gini,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,7ffe66a53e3dc814,True,f17ee827e81d7ad7,15998,1,1,2470,80,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,4,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval
