leaf,gamma_L,gamma_U,variant,budget_seconds,json_path,progress_path,lp_path,status,solver_status,certified,lower_bound,upper_bound,gap,gap_to_cutoff,runtime_seconds,compact_bc_best_bound_available,compact_bc_bound_valid,best_valid_lb_seen,best_valid_gap_seen,finalization_source,final_json_uses_best_checkpoint,checkpoint_valid_rows,checkpoint_improvements,checkpoint_best_bound,checkpoint_best_time,checkpoint_best_node_count,nodes,tailored_bc_callback_cut_profile,tailored_bc_local_centering_rows_added,tailored_bc_low_gini_l1_centering_rows_added,tailored_bc_variable_s_centering_rows_added,tailored_bc_gini_subset_envelope_rows_added,tailored_bc_transfer_cutset_rows_added,compact_bc_sp_product_estimator_rows_added,compact_bc_sp_product_paper_safe,s_range_refinement_enabled,s_range_certificate_valid,s_range_global_L,s_range_global_U,thread_fairness_class,compact_bc_solver_threads,diagnostic_only,command_hash,model_lp_exists,lp_hash,lp_rows_estimated,lp_binary_markers,lp_general_markers,lp_h_vars,lp_q_l1_vars,lp_local_centering_rows,parent_S_L,parent_S_U,S_domain_source,S_domain_proof_status,S_domain_audit_passed,tailored_bc_s_bucket_ledger,tailored_bc_s_bucket_policy,tailored_bc_subset_cross_h_separation_profile,tailored_bc_subset_cross_h_centering_rows_added,tailored_bc_local_q_centering_rows_added,tailored_bc_compatible_source_transfer_cuts_added,tailored_bc_required_external_source_cuts_added,compact_bc_sp_product_mccormick_rows_added,row_class,proof_status,audit_passed,failures,parent_leaf,bucket_variant,ledger_mode,bucket_count,bucket_policy_requested,bucket_policy_effective,bucket_id,s_bucket_L,s_bucket_U,bucket_closed,bucket_timed_out,bucket_valid_bound,closure_source,coverage_used_for_paper_certificate,diagnostic_evidence_used,checkpoint_only_used,plain_cplex_used
moderate_seed3302_hard,0.0489090516373,0.0978181032745,plain_fixed_interval_mip,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\moderate_seed3302_hard_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\moderate_seed3302_hard_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,0.14433286301,0.195636206549,0.262238490737,0.051303343538999985,300.136336,True,True,0.14433286301,0.262238490737,solver_final_json,True,0,0,0.0,0.0,0,7515,full,0,0,0,0,0,0,False,False,False,0,45.2857559372,one_thread_fair,0,True,1e1fa96ae3acb753,True,814f939210f6d585,5069,1,1,760,0,0,0,45.2857559372,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,deviation,0,0,0,0,0,benchmark_only_plain_fixed_interval_mip,paper_safe_fixed_interval,True,,,,,,,,,,,,,,,,,,
moderate_seed3302_hard,0.0489090516373,0.0978181032745,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\moderate_seed3302_hard_best_combined_paper_safe_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\moderate_seed3302_hard_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\moderate_seed3302_hard_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.14256670012,0.195636206549,0.271266282276,0.05306950642899999,301.0511123,True,True,0.14256670012,0.271266282276,cplex_time_limit_with_valid_best_bound,True,10,10,0.14256670012,300.0838028,6317,6317,full,40,41,0,2700,630,1,True,False,False,0.611413043478,38.4503018346,one_thread_fair,1,False,8bed27d4abb4d164,True,9849e51c2581e47a,18696,1,1,133570,100,0,0.611413043478,38.4503018346,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,off,uniform,hybrid,2700,20,0,0,4,paper_safe_fixed_interval_tailored_bc,paper_safe_fixed_interval,True,,,,,,,,,,,,,,,,,,
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_paper_safe_if_implemented,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.5574491,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0138795,0,0,full,40,41,0,2700,630,1,True,True,True,3.24074074074,29.9501813302,one_thread_fair,1,False,f6038ec681b9f5c7,True,95cf398a52ee795c,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,paper-safe,uniform,hybrid,2700,20,0,1,4,paper_safe_s_bucket_child,paper_safe_fixed_interval,True,,low_gini_1,S_bucket_paper_safe_if_implemented,paper-safe,4,uniform,uniform,0,3.24074074074,9.918100888105,True,False,True,closed_by_best_bound,False,False,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_paper_safe_if_implemented,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.8102068,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0052895,0,0,full,40,41,0,2700,630,1,True,True,True,3.24074074074,29.9501813302,one_thread_fair,1,False,8f7669d8a0d3af86,True,b85172ccb5a5b271,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,paper-safe,uniform,hybrid,2700,20,0,1,4,paper_safe_s_bucket_child,paper_safe_fixed_interval,True,,low_gini_1,S_bucket_paper_safe_if_implemented,paper-safe,4,uniform,uniform,1,9.918100888105,16.59546103547,True,False,True,closed_by_best_bound,False,False,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_paper_safe_if_implemented,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_combined_paper_safe_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0455127377348,0.0491525526647,0.0740513916887,0.0036398149298999954,90.9626656,True,True,0.0455127377348,0.0740513916887,cplex_time_limit_with_valid_best_bound,True,3,2,0.0455127377348,60.0206663,1850,1850,full,40,41,0,2700,630,1,True,True,True,3.24074074074,29.9501813302,one_thread_fair,1,False,e8d126fdc3097364,True,4e81b95595c879be,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,paper-safe,uniform,hybrid,2700,20,0,1,4,paper_safe_s_bucket_child,paper_safe_fixed_interval,True,,low_gini_1,S_bucket_paper_safe_if_implemented,paper-safe,4,uniform,uniform,2,16.59546103547,23.272821182835,False,True,True,timeout_noncertified,False,False,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_paper_safe_if_implemented,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.7436888,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0020948,0,0,full,40,41,0,2700,630,1,True,True,True,3.24074074074,29.9501813302,one_thread_fair,1,False,43bc9171f60149c2,True,2f52565e162f700a,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,paper-safe,uniform,hybrid,2700,20,0,1,4,paper_safe_s_bucket_child,paper_safe_fixed_interval,True,,low_gini_1,S_bucket_paper_safe_if_implemented,paper-safe,4,uniform,uniform,3,23.272821182835,29.9501813302,True,False,True,closed_by_best_bound,False,False,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_paper_safe_if_implemented,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_combined_paper_safe_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_combined_paper_safe_300s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.5458488,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0067007,0,0,full,40,41,0,2700,630,1,True,True,True,3.24074074074,29.9501813302,one_thread_fair,1,False,ed729127062cb703,True,95cf398a52ee795c,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,paper-safe,uniform,hybrid,2700,20,0,1,4,paper_safe_s_bucket_child,paper_safe_fixed_interval,True,,low_gini_1,S_bucket_paper_safe_if_implemented,paper-safe,4,uniform,uniform,0,3.24074074074,9.918100888105,True,False,True,closed_by_best_bound,False,False,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_paper_safe_if_implemented,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_combined_paper_safe_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_combined_paper_safe_300s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.8141726,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0042479,0,0,full,40,41,0,2700,630,1,True,True,True,3.24074074074,29.9501813302,one_thread_fair,1,False,251b9d002cced5dc,True,b85172ccb5a5b271,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,paper-safe,uniform,hybrid,2700,20,0,1,4,paper_safe_s_bucket_child,paper_safe_fixed_interval,True,,low_gini_1,S_bucket_paper_safe_if_implemented,paper-safe,4,uniform,uniform,1,9.918100888105,16.59546103547,True,False,True,closed_by_best_bound,False,False,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_paper_safe_if_implemented,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_combined_paper_safe_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0478666730616,0.0491525526647,0.026160993343,0.0012858796030999972,301.0183973,True,True,0.0478666730616,0.026160993343,cplex_time_limit_with_valid_best_bound,True,10,10,0.0478666730616,300.0830884,10820,10820,full,40,41,0,2700,630,1,True,True,True,3.24074074074,29.9501813302,one_thread_fair,1,False,045f9737114bb31c,True,4e81b95595c879be,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,paper-safe,uniform,hybrid,2700,20,0,1,4,paper_safe_s_bucket_child,paper_safe_fixed_interval,True,,low_gini_1,S_bucket_paper_safe_if_implemented,paper-safe,4,uniform,uniform,2,16.59546103547,23.272821182835,False,True,True,timeout_noncertified,False,False,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_paper_safe_if_implemented,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_combined_paper_safe_300s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_combined_paper_safe_300s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.7445055,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0076719,0,0,full,40,41,0,2700,630,1,True,True,True,3.24074074074,29.9501813302,one_thread_fair,1,False,0e3adc1574ae8945,True,2f52565e162f700a,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,paper-safe,uniform,hybrid,2700,20,0,1,4,paper_safe_s_bucket_child,paper_safe_fixed_interval,True,,low_gini_1,S_bucket_paper_safe_if_implemented,paper-safe,4,uniform,uniform,3,23.272821182835,29.9501813302,True,False,True,closed_by_best_bound,False,False,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-cutoff,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b0_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-cutoff_K8_b0_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-cutoff_K8_b0_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.54293,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0102989,0,0,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,d5795dfc06e7e105,True,ed89604f83a36bb8,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-cutoff,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-cutoff,diagnostic,8,adaptive-cutoff,adaptive-cutoff,0,3.24074074074,3.9426117671496557,True,False,True,closed_by_best_bound,False,True,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-cutoff,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b1_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-cutoff_K8_b1_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-cutoff_K8_b1_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.5487893,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0146581,0,0,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,4208d4f4c258feba,True,36094a20467e9002,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-cutoff,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-cutoff,diagnostic,8,adaptive-cutoff,adaptive-cutoff,1,3.9426117671496557,5.601544061053298,True,False,True,closed_by_best_bound,False,True,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-cutoff,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b2_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-cutoff_K8_b2_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-cutoff_K8_b2_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.5559773,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0139772,0,0,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,1502855ec43fb23c,True,cb6d0d63ce58cdfd,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-cutoff,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-cutoff,diagnostic,8,adaptive-cutoff,adaptive-cutoff,2,5.601544061053298,8.040500614058708,True,False,True,closed_by_best_bound,False,True,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-cutoff,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b3_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-cutoff_K8_b3_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-cutoff_K8_b3_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.5468481,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0057951,0,0,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,e6f92a1b5ab5d505,True,1f96b8f10e290809,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-cutoff,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-cutoff,diagnostic,8,adaptive-cutoff,adaptive-cutoff,3,8.040500614058708,11.181504937422075,True,False,True,closed_by_best_bound,False,True,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-cutoff,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b4_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-cutoff_K8_b4_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-cutoff_K8_b4_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.5545668,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0150073,0,0,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,d8a3d833cad5313a,True,02023dd1ca719412,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-cutoff,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-cutoff,diagnostic,8,adaptive-cutoff,adaptive-cutoff,4,11.181504937422075,14.974976847122683,True,False,True,closed_by_best_bound,False,True,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-cutoff,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b5_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-cutoff_K8_b5_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-cutoff_K8_b5_low_gini_1_best_combined_paper_safe_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0461420697371,0.0491525526647,0.0612477432887,0.0030104829275999986,90.8986427,True,True,0.0461420697371,0.0612477432887,cplex_time_limit_with_valid_best_bound,True,3,2,0.0461420697371,60.020276,2568,2569,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,2a51672766da2ca9,True,80edb6aa2e5af073,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-cutoff,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-cutoff,diagnostic,8,adaptive-cutoff,adaptive-cutoff,5,14.974976847122683,19.3851442269493,False,True,True,timeout_noncertified,False,True,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-cutoff,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b6_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-cutoff_K8_b6_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-cutoff_K8_b6_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.7781117,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.010348,0,0,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,c6264b7005c4bdeb,True,c7c58e1a90190fc3,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-cutoff,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-cutoff,diagnostic,8,adaptive-cutoff,adaptive-cutoff,6,19.3851442269493,24.384338345623608,True,False,True,closed_by_best_bound,False,True,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-cutoff,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b7_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-cutoff_K8_b7_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-cutoff_K8_b7_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.7534361,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0139044,0,0,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,70459090ff6f847f,True,78b8b66a6415a44c,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-cutoff,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-cutoff,diagnostic,8,adaptive-cutoff,adaptive-cutoff,7,24.384338345623608,29.9501813302,True,False,True,closed_by_best_bound,False,True,False,False
low_gini_1,0.0122881381662,0.0245762763324,S_bucket_diagnostic_adaptive-hybrid,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b0_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_s_bucket_strengthening_round\progress_traces\s_bucket_diagnostic_adaptive-hybrid_K16_b0_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_s_bucket_strengthening_round\model_exports\s_bucket_diagnostic_adaptive-hybrid_K16_b0_low_gini_1_best_combined_paper_safe_60s.lp,interval_closed,integer infeasible,True,0.0491525526647,0.0491525526647,0.0,0.0,30.5447449,True,True,0.0491525526647,0.0,cplex_solver_final,True,1,1,1e+75,30.0073137,0,0,full,40,41,0,2700,630,1,True,True,False,3.24074074074,29.9501813302,one_thread_fair,1,False,07aa642b4187e470,True,079290348f7f2088,18721,1,1,133570,100,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,valid_interval_from_model_domain_bounds,True,diagnostic,adaptive-hybrid,hybrid,2700,20,0,1,4,diagnostic_s_bucket,diagnostic_only,True,,low_gini_1,S_bucket_diagnostic_adaptive-hybrid,diagnostic,16,adaptive-hybrid,adaptive-hybrid,0,3.24074074074,4.127577635311914,True,False,True,closed_by_best_bound,False,True,False,False
