stage,instance,family,V,M,arm,repetition,horizon_seconds,return_code,runner_wall_seconds,emergency_timeout,result_exists,status,completed_process,authoritative,verified_witness,correctness_gates,strict_certificate,certificate_class,certificate_rejection_reason,exact_phase_started,graceful_deadline_finalization,verified_ub,valid_final_lb,common_ub,common_ub_gap,bound_progress_auc,normalized_gap_auc,bound_observations,process_wall_seconds,process_elapsed_at_exact_start_seconds,hga_wall_time_seconds,exact_phase_seconds,work,lp_work,terminal_mip_work,lp_optimize_count,terminal_mip_leaf_count,terminal_mip_optimize_count,split_count,declined_split_count,unconditional_split_count,lp_pruned_leaf_count,lp_infeasible_leaf_count,initial_leaf_count,final_leaf_count,open_leaf_count,closed_leaf_count,max_depth,optimize_count,model_count,model_read_count,model_free_count,environment_count,environment_free_count,presolve_count,root_relaxation_count,simplex_iterations,barrier_iterations,native_nodes,peak_memory_gb,model_build_seconds,model_read_seconds,solver_seconds,final_stagnation_seconds,same_leaf_model_reuse_count,explicit_leaf_model_discard_count,integer_domain_restore_count,basis_available_count,basis_mapped_count,basis_submitted_count,basis_accepted_count,basis_rejected_count,mip_start_submitted_count,mip_start_accepted_count,mip_start_rejected_count,selector_variable_count,global_row_family_count,interval_row_family_count,lifecycle_complete,conservative_lower_bound_source,result_path,run_path
stage1,V12_M1,v12,12,1,C3-REPLICA,0,300,0,295.06199999991804,False,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.3572005832084155,0.31663236056917027,0.3572005832084155,0.11357266630098123,0.8285881404060051,0.17141185959399483,454,295.0329673,13.5578267,6.2941411,281.4751406,375.83611723843,43.451742406736905,332.384374831693,231,103,103,120,0,120,0,8,4,121,11,110,0,334,334,334,334,1,1,334,103,645374.0,0.0,7965.0,0.043116898,18.394105600000007,5.086472700000006,253.27500104904175,9.25697869999999,0,0,0,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M1__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M1__c3_replica__300s
stage1,V12_M1,v12,12,1,C4-CANDIDATE,0,300,0,135.17200000025332,False,True,optimal,True,True,True,True,True,engineering_exact_original_problem_optimal,none,True,False,0.3572005832084155,0.3572005832084146,0.3572005832084155,2.641903779817653e-15,0.5495339116666653,0.45046608833333474,0,135.1398265,6.2233875,6.2176687,128.916439,172.85109000753008,30.732874329038196,142.1182156784919,164,69,69,77,3,0,0,0,4,81,0,81,0,233,164,164,164,1,1,233,69,282398.0,0.0,2326.0,0.067132739,13.140083700000002,2.500962099999999,110.6890001296997,0.0023893000000043685,69,95,164,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M1__c4_candidate__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M1__c4_candidate__300s
stage1,V12_M2,v12,12,2,C3-REPLICA,0,300,0,295.094000000041,False,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.7185040707549709,0.6552496903260966,0.7185040707549709,0.088036217195554,0.8628888857956541,0.13711111420434588,218,295.051419,13.2381501,6.800334,281.8132689,471.2460872190688,30.755674756898127,440.4904124621707,112,48,48,58,0,58,0,6,4,59,6,53,0,160,160,160,160,1,1,160,48,538681.0,0.0,1160.0,0.09070989,16.009346700000002,4.606902600000001,258.2770006656647,4.195985500000006,0,0,0,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M2__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M2__c3_replica__300s
stage1,V12_M2,v12,12,2,C4-CANDIDATE,0,300,0,295.0470000002533,False,True,round29_c4_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.7185040707549709,0.6557601837879294,0.7185040707549709,0.08732572231791685,0.015131884279395935,0.9848681157206041,0,295.0260839,7.2926927,7.2871717,287.7333912,484.165219455399,30.873837965497756,453.29138148990126,112,48,48,54,0,0,0,0,4,58,4,54,0,160,112,112,112,1,1,160,48,547540.0,0.0,1185.0,0.115857951,16.094709200000004,3.233223,266.0000002384186,11.591534799999977,48,61,112,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M2__c4_candidate__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M2__c4_candidate__300s
stage1,high_imbalance_seed3202,high_imbalance,20,3,C3-REPLICA,0,300,0,295.07800000021234,False,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,1.7493134520506337,1.609967450778375,1.7493134520506337,0.07965753713773269,0.8159744851189976,0.18402551488100236,130,295.0409736,33.1134901,15.8963932,261.9274835,537.9700231547146,44.13672921379331,493.8332939409213,66,23,23,41,0,41,0,2,4,42,18,24,0,89,89,89,89,1,1,89,23,1402545.0,0.0,1634.0,0.095879256,7.266599299999999,1.8884315999999992,250.6409993171692,26.694617599999987,0,0,0,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__high_imbalance_seed3202__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__high_imbalance_seed3202__c3_replica__300s
stage1,high_imbalance_seed3202,high_imbalance,20,3,C4-CANDIDATE,0,300,0,295.06300000008196,False,True,round29_c4_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,1.7493134520506337,1.610843602757366,1.7493134520506337,0.07915668237213079,0.015270752362864792,0.9847292476371352,0,295.0249672,15.849944,15.8426295,279.1750232,577.0638739734727,45.12717780623104,531.9366961672417,68,25,25,32,0,0,0,0,4,36,9,27,0,93,68,68,68,1,1,93,25,1512676.0,0.0,2204.0,0.112608476,7.476878000000001,1.4229500000000004,269.0139982700348,8.101500000000044,25,35,68,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__high_imbalance_seed3202__c4_candidate__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__high_imbalance_seed3202__c4_candidate__300s
stage1,moderate_seed3302,moderate,20,3,C3-REPLICA,0,300,0,295.0789999999106,False,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.19563620654901237,0.1394169181016961,0.19563620654901237,0.2873664820996811,0.6066963545831485,0.39330364541685153,230,295.0425433,42.7007817,20.0871762,252.34176159999998,469.7018183654042,81.31945946304744,388.3823589023567,115,18,18,97,0,97,0,0,4,98,81,17,0,133,133,133,133,1,1,133,18,1082596.0,0.0,20.0,0.087584862,13.067998900000001,2.8806864,232.84600162506104,40.8964488,0,0,0,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__moderate_seed3302__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__moderate_seed3302__c3_replica__300s
stage1,moderate_seed3302,moderate,20,3,C4-CANDIDATE,0,300,0,295.06199999991804,False,True,round29_c4_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.19563620654901237,0.13953281761623015,0.19563620654901237,0.28677405845490433,0.011805929634248091,0.9881940703657519,0,295.0341418,20.1820834,20.1758776,274.8520584,514.7351730809264,97.95902256806225,416.77615051286415,143,20,20,70,0,0,0,0,4,74,55,19,0,163,143,143,143,1,1,163,20,1209474.0,0.0,24.0,0.187795396,16.305925699999996,3.0600587000000017,253.27599835395813,1.2137486999999965,20,70,143,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__moderate_seed3302__c4_candidate__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__moderate_seed3302__c4_candidate__300s
stage1,moderate_seed6301,moderate,50,3,C3-REPLICA,0,300,0,295.29699999978766,False,True,paper_hga_global_deadline,True,True,True,True,False,certificate_rejected,exact_phase_not_started_after_global_deadline,False,True,0.6075292832179728,0.0,0.6075292832179728,1.0,0.0,1.0,0,295.1778366,0.0,51.3368068,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__moderate_seed6301__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__moderate_seed6301__c3_replica__300s
stage1,moderate_seed6301,moderate,50,3,C4-CANDIDATE,0,300,0,295.10900000017136,False,True,round29_c4_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.6075292832179728,0.4820366689538659,0.6075292832179728,0.20656224766548742,0.012993034861404795,0.9870069651385952,0,295.0873141,51.7015818,51.6863446,243.38573230000003,643.7209013052063,442.5240677899971,201.19683351520916,26,2,2,11,0,0,0,0,4,15,10,5,0,28,26,26,26,1,1,28,2,423379.0,0.0,2.0,0.672895835,31.4684373,5.771039299999999,204.14700031280518,64.6127722,2,15,26,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__moderate_seed6301__c4_candidate__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__moderate_seed6301__c4_candidate__300s
