run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
forensic__high_imbalance_seed3202__baseline__300s,1,0,1,1,1,0,0.47499999999999998,1.3860197691885761,,1416,0,0.0122357,0.00060910000000000001,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,1,0,1,1,2,0,0.47499999999999998,1.3860197691885761,1.6038245411468228,,,0.0122357,0.00060910000000000001,passed
forensic__high_imbalance_seed3202__baseline__300s,2,0,1,1,1,0.47499999999999998,0.94999999999999996,1.568706680497123,,1416,0,0.0100584,0.00048270000000000002,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,2,0,1,1,2,0.47499999999999998,0.94999999999999996,1.568706680497123,1.5929602116237016,,,0.0100584,0.00048270000000000002,passed
forensic__high_imbalance_seed3202__baseline__300s,5,2,2,2,1,0.47499999999999998,0.71249999999999991,1.5929602116237016,,1416,0,0.014536800000000001,0.0004797,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,5,2,2,2,2,0.47499999999999998,0.71249999999999991,1.5929602116237016,1.593190630570704,,,0.014536800000000001,0.0004797,passed
forensic__high_imbalance_seed3202__baseline__300s,7,5,3,3,1,0.47499999999999998,0.59375,1.593190630570704,,1416,0,0.012469900000000001,0.00048840000000000005,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,7,5,3,3,2,0.47499999999999998,0.59375,1.593190630570704,1.5934887725357108,,,0.012469900000000001,0.00048840000000000005,passed
forensic__high_imbalance_seed3202__baseline__300s,8,5,3,3,1,0.59375,0.71249999999999991,1.6874563875630306,,1416,0,0.014775699999999999,0.00047580000000000002,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,8,5,3,3,2,0.59375,0.71249999999999991,1.6874563875630306,1.6874563875630306,,,0.014775699999999999,0.00047580000000000002,passed
forensic__high_imbalance_seed3202__baseline__300s,9,7,4,4,1,0.47499999999999998,0.53437500000000004,1.5934887725357108,,1416,0,0.0126534,0.00047919999999999999,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,9,7,4,4,2,0.47499999999999998,0.53437500000000004,1.5934887725357108,1.5946788532438145,,,0.0126534,0.00047919999999999999,passed
forensic__high_imbalance_seed3202__baseline__300s,13,9,5,5,1,0.47499999999999998,0.50468749999999996,1.5946788532438145,,1416,0,0.0127945,0.00049459999999999999,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,13,9,5,5,2,0.47499999999999998,0.50468749999999996,1.5946788532438145,1.5990446963566884,,,0.0127945,0.00049459999999999999,passed
forensic__high_imbalance_seed3202__baseline__300s,14,9,5,5,1,0.50468749999999996,0.53437500000000004,1.5993741813517173,,1416,0,0.0138694,0.0004793,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,14,9,5,5,2,0.50468749999999996,0.53437500000000004,1.5993741813517173,1.6051825831148405,,,0.0138694,0.0004793,passed
forensic__high_imbalance_seed3202__baseline__300s,15,13,6,6,1,0.47499999999999998,0.48984374999999997,1.5992132058544706,,1416,0,0.0125626,0.00047330000000000001,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,15,13,6,6,2,0.47499999999999998,0.48984374999999997,1.5992132058544706,1.6190247781369389,,,0.0125626,0.00047330000000000001,passed
forensic__high_imbalance_seed3202__baseline__300s,16,13,6,6,1,0.48984374999999997,0.50468749999999996,1.5990446963566882,,1416,0,0.012536800000000001,0.0004551,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,16,13,6,6,2,0.48984374999999997,0.50468749999999996,1.5990446963566882,1.6018242823482363,,,0.012536800000000001,0.0004551,passed
forensic__high_imbalance_seed3202__baseline__300s,21,16,7,7,1,0.48984374999999997,0.49726562499999993,1.6018242823482358,,1416,0,0.014484500000000001,0.00043960000000000001,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,21,16,7,7,2,0.48984374999999997,0.49726562499999993,1.6018242823482358,1.6050015629188521,,,0.014484500000000001,0.00043960000000000001,passed
forensic__high_imbalance_seed3202__baseline__300s,22,16,7,7,1,0.49726562499999993,0.50468749999999996,1.6018242823482358,,1416,0,0.012838499999999999,0.00044979999999999998,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,22,16,7,7,2,0.49726562499999993,0.50468749999999996,1.6018242823482358,1.6035568052632443,,,0.012838499999999999,0.00044979999999999998,passed
forensic__high_imbalance_seed3202__baseline__300s,23,21,8,8,1,0.48984374999999997,0.49355468749999998,1.6050817615088699,,1416,0,0.012700100000000001,0.00044930000000000002,awaiting_reoptimization
forensic__high_imbalance_seed3202__baseline__300s,23,21,8,8,2,0.48984374999999997,0.49355468749999998,1.6050817615088699,1.6076990538514773,,,0.012700100000000001,0.00044930000000000002,passed
forensic__high_imbalance_seed3202__baseline__300s,24,21,8,8,1,0.49355468749999998,0.49726562499999993,1.6050015629188512,,1416,0,0.014337900000000001,0.00045449999999999999,awaiting_reoptimization
