"instance","instance_scope","variant","status","objective","lower_bound","upper_bound","gap","runtime_seconds","certified_original_problem","verifier_passed","unresolved_intervals","invalid_bound_intervals","open_nodes","nodes","pricing_calls","bound_time_seconds","pricing_time_seconds","master_time_seconds","vehicle_indexed_y_variables","vehicle_transfer_flow_variables","route_mask_all_subset_enumeration_certifying","frontier_lower_bound_source","full_certificate_rejection_reason","result_file"
"high_imbalance_seed3201.txt","hard_generated_v20_m3","high_imbalance_seed3201_bpc_fallback_300s","gcap_frontier_not_closed","2.44340319194","2.14348953154","2.44340319194","0.122744236967","395.6563935","False","True","3","0","3","0","0","492.1559017","0","0","300","3492","False","focused_split_inherited_parent_lb","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\high_imbalance_seed3201_bpc_fallback_300s.json"
"high_imbalance_seed3201.txt","hard_generated_v20_m3","high_imbalance_seed3201_improved_relax_300s","gcap_frontier_not_closed","2.44340319194","2.14348953154","2.44340319194","0.122744236967","340.7158089","False","True","3","0","3","0","0","320.8854039","0","0","240","1746","False","adaptive_split_inherited_parent_lb","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\high_imbalance_seed3201_improved_relax_300s.json"
"high_imbalance_seed3202.txt","hard_generated_v20_m3","high_imbalance_seed3202_improved_relax_1200s","gcap_frontier_not_closed","1.74931345205","1.60644024991","1.74931345205","0.081673871528","1208.1476743","False","True","10","0","10","0","0","1188.1358765","0","0","1080","17493","False","adaptive_split_inherited_inventory_route_gini_relaxation","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\high_imbalance_seed3202_improved_relax_1200s.json"
"high_imbalance_seed3202.txt","hard_generated_v20_m3","high_imbalance_seed3202_improved_relax_300s","gcap_frontier_not_closed","1.74931345205","1.57423364041","1.74931345205","0.100084871258","318.1741141","False","True","3","0","3","0","0","298.1545998","0","0","300","4116","False","inventory_route_gini_relaxation","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\high_imbalance_seed3202_improved_relax_300s.json"
"moderate_seed3301.txt","hard_generated_v20_m3","moderate_seed3301_bpc_fallback_300s","gcap_frontier_not_closed","0.0491525526647","0.0427477151184","0.0491525526647","0.130305288314","302.1975338","False","True","5","0","5","0","0","321.0326689","0","0","540","8664","False","focused_split_inherited_parent_lb","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\moderate_seed3301_bpc_fallback_300s.json"
"moderate_seed3301.txt","hard_generated_v20_m3","moderate_seed3301_improved_relax_300s","gcap_frontier_not_closed","0.0491525526647","0.0427477151184","0.0491525526647","0.130305288314","302.9773296","False","True","5","0","5","0","0","282.9692001","0","0","480","7581","False","adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\moderate_seed3301_improved_relax_300s.json"
"moderate_seed3302.txt","hard_generated_v20_m3","moderate_seed3302_improved_relax_300s","gcap_frontier_not_closed","0.195636206549","0.131033733249","0.195636206549","0.33021736845","310.8629887","False","True","5","0","5","0","0","290.8503265","0","0","420","7980","False","adaptive_split_inherited_inventory_route_gini_relaxation","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\moderate_seed3302_improved_relax_300s.json"
"tight_T_seed3101.txt","hard_generated_v20_m3","tight_T_seed3101_improved_relax_300s","gcap_frontier_not_closed","0.107252734134","0.00336907581205","0.107252734134","0.968587506517","309.8371531","False","True","5","0","5","0","0","289.8263093","0","0","420","7581","False","adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\tight_T_seed3101_improved_relax_300s.json"
"tight_T_seed3102.txt","hard_generated_v20_m3","tight_T_seed3102_bpc_fallback_300s","gcap_frontier_not_closed","0.600704436685","0.469176890001","0.600704436685","0.21895551065","323.3636487","False","True","3","0","3","0","0","374.5806799","0","0","360","5145","False","focused_split_inherited_parent_lb","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\tight_T_seed3102_bpc_fallback_300s.json"
"tight_T_seed3102.txt","hard_generated_v20_m3","tight_T_seed3102_improved_relax_300s","gcap_frontier_not_closed","0.600704436685","0.469176890001","0.600704436685","0.21895551065","323.9046322","False","True","3","0","3","0","0","303.872909","0","0","300","4116","False","adaptive_split_inherited_inventory_route_gini_relaxation","unresolved_intervals","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\tight_T_seed3102_improved_relax_300s.json"
