"instance","variant","ledger","result_file"
"v12_m2_average","focused_route_pool","frontier_interval_ledger: interval_id=0, range=[0,0.379719], status=bound_fathomed, interval_lb=0.759438, cheap_prepass_lb=0.065587, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_route_pool.json"
"v12_m2_average","focused_route_pool","frontier_interval_ledger: interval_id=1, range=[0.379719,0.759438], status=unresolved, interval_lb=0.587614, cheap_prepass_lb=0.410791, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation|branch_price_tree|branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=true","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_route_pool.json"
"v12_m2_average","improved_full","frontier_interval_ledger: interval_id=0, range=[0,0.379719], status=bound_fathomed, interval_lb=0.759438, cheap_prepass_lb=0.065587, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full.json"
"v12_m2_average","improved_full","frontier_interval_ledger: interval_id=1, range=[0.379719,0.759438], status=unresolved, interval_lb=0.587614, cheap_prepass_lb=0.410791, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation|branch_price_tree|branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=true","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full.json"
"v12_m2_average","improved_full_long","frontier_interval_ledger: interval_id=0, range=[0,0.379719], status=bound_fathomed, interval_lb=0.759438, cheap_prepass_lb=0.065587, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full_long.json"
"v12_m2_average","improved_full_long","frontier_interval_ledger: interval_id=1, range=[0.379719,0.759438], status=unresolved, interval_lb=0.581677, cheap_prepass_lb=0.410791, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation|branch_price_tree|branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=true","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full_long.json"
"v12_m2_average","round4_improved_baseline","frontier_interval_ledger: interval_id=0, range=[0,0.379719], status=bound_fathomed, interval_lb=0.759438, cheap_prepass_lb=0.065587, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_round4_improved_baseline.json"
"v12_m2_average","round4_improved_baseline","frontier_interval_ledger: interval_id=1, range=[0.379719,0.759438], status=unresolved, interval_lb=0.587614, cheap_prepass_lb=0.410791, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=true","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_round4_improved_baseline.json"
"v12_m2_average","route_pool_incumbent_only","frontier_interval_ledger: interval_id=0, range=[0,0.379719], status=bound_fathomed, interval_lb=0.759438, cheap_prepass_lb=0.065587, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_route_pool_incumbent_only.json"
"v12_m2_average","route_pool_incumbent_only","frontier_interval_ledger: interval_id=1, range=[0.379719,0.759438], status=unresolved, interval_lb=0.587614, cheap_prepass_lb=0.410791, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=true","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_route_pool_incumbent_only.json"
