source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,model_type,bound_valid,bound_scope,can_merge_bound,gap_to_cutoff,bound_used_for_merge,closed_by_bound,gini_spread_cuts_added,required_movement_lb,required_movement_cuts_added,global_handling_capacity_lb,global_handling_capacity_cuts_added,transfer_subset_capacity_cuts_added,low_gini_ratio_band_domains_tightened,direct_gini_cap_rows,tight_mccormick_rows,inventory_conservation_rows,movement_reachability_domains,visit_inventory_linking_rows,objective_estimator_cutoff_rows,penalty_lb,support_duration_pair_cuts,support_duration_triple_cuts,transfer_compatibility_cuts,receiver_source_cover_cuts,variable_s_centering_rows,s_range_rows,sp_product_mccormick_rows,sp_product_estimator_rows,oracle_strengthening_families_enabled,json_path,lp_path,log_path,interval_lower_bound,incumbent_upper_bound,interval_status,reason,requires_pricing_closure,pricing_closure_available,interval_bound_valid,interval_closure_source,interval_closure_source_detail,interval_requires_pricing_closure,interval_pricing_closure_satisfied,interval_oracle_used_for_certificate,interval_oracle_is_diagnostic_only,interval_relaxation_bound_valid,interval_bpc_tree_nodes,interval_bpc_pricing_calls,interval_bpc_exact_pricing_closed,interval_final_lb,interval_final_ub_cutoff,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason,oracle_bound_merged,oracle_bound_value,oracle_bound_status,oracle_bound_source_json,oracle_bound_solver_status,oracle_bound_model_type,oracle_bound_valid,lower_bound_before_oracle,lower_bound_after_oracle,lower_bound_improvement_by_oracle,leaf_closed_by_oracle_bound
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,7,0.401041666667,0.458333333333,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,3.6558994,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,8,0.34375,0.372395833333,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63381039354,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.63381039354,1.65777317757,0,1,0,0,0,0,0,8.8756403,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,9,0.372395833333,0.401041666667,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64348735938,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.64348735938,1.65777317757,0,1,0,0,0,0,0,11.0906885,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,10,0.34375,0.358072916667,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,4.3072722,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,11,0.358072916667,0.372395833333,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64813331021,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.64813331021,1.65777317757,0,1,0,0,0,0,0,8.6741131,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,12,0.372395833333,0.38671875,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64742036938,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.64742036938,1.65777317757,0,1,0,0,0,0,0,11.2014992,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,13,0.38671875,0.401041666667,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,4.8652803,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,14,0.372395833333,0.379557291667,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,4.9743414,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,15,0.379557291667,0.38671875,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65458182771,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.65458182771,1.65777317757,0,1,0,0,0,0,0,22.22955,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,16,0.358072916667,0.365234375,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65120024771,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.65120024771,1.65777317757,0,1,0,0,0,0,0,9.0024666,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,17,0.365234375,0.372395833333,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65529476854,1.65777317757,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,1.65529476854,1.65777317757,0,1,0,0,0,0,0,9.2337252,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,18,0.358072916667,0.361653645833,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,5.5253585,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,19,0.361653645833,0.365234375,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65478097688,1.65777317757,unresolved,open_bpc_nodes,false,false,true,bpc_exact_tree,open_bpc_nodes,false,false,false,false,true,2,9,false,1.65478097688,1.65777317757,2,2,2306,2,9,100.4497495,28.2579467,8.7255872,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation|branch_price_tree,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,20,0.379557291667,0.383138020833,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65619735771,1.65777317757,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,1.65619735771,1.65777317757,0,1,0,0,0,0,0,9.9326137,focused_child_inventory_route_gini_relaxation,gamma_floor|focused_split_inherited_parent_lb|focused_child_inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.intervals.csv,21,0.383138020833,0.38671875,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,focused_child_inventory_route_gini_relaxation,false,false,true,relaxation_bound,focused_child_inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,1,0,0,0,0,0,4.8321339,focused_child_inventory_route_gini_relaxation,gamma_floor|focused_split_inherited_parent_lb|focused_child_inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,0,0,0.229166666667,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,3.402645,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,1,0.229166666667,0.458333333333,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5491551392,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.5491551392,1.65777317757,0,1,0,0,0,0,0,16.4845553,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,2,0.458333333333,0.6875,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,2.8230023,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,3,0.6875,0.916666666667,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71214335357,1.65777317757,bound_fathomed,cheap_projection_bound,false,false,true,relaxation_bound,cheap_projection_bound,false,false,false,false,true,0,0,false,1.71214335357,1.65777317757,0,0,0,0,0,0,0,0.0003719,cheap_projection_bound,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,4,0.229166666667,0.34375,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,3.5813674,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,5,0.34375,0.458333333333,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61484152604,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.61484152604,1.65777317757,0,1,0,0,0,0,0,10.4819408,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,6,0.34375,0.401041666667,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61484152604,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.61484152604,1.65777317757,0,1,0,0,0,0,0,10.6036847,adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,7,0.401041666667,0.458333333333,,inventory_route_gini_relaxation_fathomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65777317757,1.65777317757,bound_fathomed,inventory_route_gini_relaxation,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,1.65777317757,1.65777317757,0,0,0,0,0,0,0,3.6558994,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.merged.intervals.csv,8,0.34375,0.372395833333,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63381039354,1.65777317757,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,1.63381039354,1.65777317757,0,1,0,0,0,0,0,8.8756403,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
