leaf,variant,budget_seconds,json_path,status,solver_status,lower_bound,upper_bound,gap,gap_to_cutoff,runtime_seconds,nodes,best_bound,incumbent,thread_fairness_class,compact_bc_solver_threads,cut_counts,domains_tightened,variable_s_rows,s_range_rows,s_range_certificate_valid,sp_mccormick_rows,sp_estimator_rows,sp_paper_safe,s_global_L,s_global_U,p_lb,objective_estimator_rows,direct_gini_cap_rows,low_gini_centering_rows,diagnostic_only
low_gini_1,variable_s_centering,60,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_variable_s_centering_60s.json,interval_unresolved_timeout,time limit exceeded,0.045181063121,0.0491525526647,0.0807992531088,0.0039714795437,60.4054108,2455,0.045181063121,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=0;sp_product_estimator=0;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,1,0,False,0,0,False,3.24074074074,29.9501813302,0,1,1,41,False
low_gini_1,variable_s_centering,300,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_variable_s_centering_300s.json,interval_unresolved_timeout,time limit exceeded,0.047551870972,0.0491525526647,0.0325655862396,0.0016006716927,300.4732727,11582,0.047551870972,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=0;sp_product_estimator=0;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,1,0,False,0,0,False,3.24074074074,29.9501813302,0,1,1,41,False
low_gini_1,combined_safe,60,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_60s.json,interval_unresolved_timeout,time limit exceeded,0.044612735122,0.0491525526647,0.0923617858399,0.0045398075427,60.3898218,2493,0.044612735122,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=4;sp_product_estimator=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,1,0,False,4,1,True,3.24074074074,29.9501813302,0,1,1,41,False
low_gini_1,combined_safe,300,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_300s.json,interval_unresolved_timeout,time limit exceeded,0.046196408037,0.0491525526647,0.0601422401775,0.0029561346277,300.4198347,8044,0.046196408037,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=4;sp_product_estimator=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,1,0,False,4,1,True,3.24074074074,29.9501813302,0,1,1,41,False
low_gini_1,combined_safe,1200,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_1200s.json,interval_unresolved_timeout,time limit exceeded,0.048388162834,0.0491525526647,0.015551376058,0.0007643798307,1200.5076564,32329,0.048388162834,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=4;sp_product_estimator=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,1,0,False,4,1,True,3.24074074074,29.9501813302,0,1,1,41,False
low_gini_1,combined_safe,3600,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_3600s.json,interval_unresolved_timeout,time limit exceeded,0.048723364,0.0491525526647,0.00873176755697,0.0004291786647,3600.7327552,122375,0.048723364,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=4;sp_product_estimator=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,1,0,False,4,1,True,3.24074074074,29.9501813302,0,1,1,41,False
low_gini_2,variable_s_centering,60,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_variable_s_centering_60s.json,interval_unresolved_timeout,time limit exceeded,0.048773302847,0.0491525526647,0.00771577053764,0.0003792398177,60.4065159,1488,0.048773302847,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=0;sp_product_estimator=0;gini_spread=190;required_movement=5;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=17;movement_reachability=4;domain_width_before=684;domain_width_after=518,1,0,False,0,0,False,4.6455026455,28.7993876794,0,1,1,41,False
low_gini_2,variable_s_centering,300,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_variable_s_centering_300s.json,interval_unresolved_timeout,time limit exceeded,0.048868998462,0.0491525526647,0.00576886015736,0.0002835442027,300.4185119,5976,0.048868998462,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=0;sp_product_estimator=0;gini_spread=190;required_movement=5;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=17;movement_reachability=4;domain_width_before=684;domain_width_after=518,1,0,False,0,0,False,4.6455026455,28.7993876794,0,1,1,41,False
low_gini_2,combined_safe,60,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_combined_safe_60s.json,interval_unresolved_timeout,time limit exceeded,0.048849691094,0.0491525526647,0.00616166514822,0.0003028515707,60.4001542,2625,0.048849691094,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=4;sp_product_estimator=1;gini_spread=190;required_movement=5;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=17;movement_reachability=4;domain_width_before=684;domain_width_after=518,1,0,False,4,1,True,4.6455026455,28.7993876794,0,1,1,41,False
low_gini_2,combined_safe,300,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_combined_safe_300s.json,interval_unresolved_timeout,time limit exceeded,0.048920901548,0.0491525526647,0.0047129010426,0.0002316411167,300.3952926,7108,0.048920901548,0,one_thread_fair,1,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=4;sp_product_estimator=1;gini_spread=190;required_movement=5;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=17;movement_reachability=4;domain_width_before=684;domain_width_after=518,1,0,False,4,1,True,4.6455026455,28.7993876794,0,1,1,41,False
