event,source,generation,source_elapsed_seconds,content_sha256,duplicate,verifier_passed,published,objective,verification_seconds,reason
0,hga_initial_population_best,0,0.0010915,b2f823c780629adf6d166002dacc695619bab77d755c6a0887df86ee037ddeca,0,1,1,0.94812520251126897,1.7e-06,published_monotone_verified_upper_bound
1,hga_initial_population_best,0,0.0011092999999999999,48e72404785b9192b0cc780ef4cc02f61571bd2a5d79c06c7a4599e882f252f1,0,1,1,0.92667510891346128,5.9999999999999997e-07,published_monotone_verified_upper_bound
2,hga_strict_improvement,7,0.0067495000000000003,3ceeed28ac0ef00e46404f61aedc295293c6de1e36ea735ad567fc4f967ac981,0,1,1,0.91571178504338313,1.1000000000000001e-06,published_monotone_verified_upper_bound
3,hga_strict_improvement,57,0.038104899999999997,82a32debf51cbd85422c368935be401a5c1bef8a3b0ff214b63e155288b0796e,0,1,1,0.90612965863858208,1.5e-06,published_monotone_verified_upper_bound
4,hga_strict_improvement,71,0.051408200000000001,43062815c8927a9c8336627ccf7ea29db433b29df7108226e7c4ff30838b7890,0,1,1,0.88801088094612224,1.5e-06,published_monotone_verified_upper_bound
5,hga_strict_improvement,78,0.055983400000000003,15d36b266e1632ab4d6fb3b0d7dac75ef223064bd4cd461e8d1e4e453effc0ae,0,1,1,0.87983561733300364,1.3e-06,published_monotone_verified_upper_bound
6,hga_strict_improvement,180,0.1176977,4eed5221a53b959f228da99db12de78e9290c9680fb513040892c898d1b7e31a,0,1,1,0.87911290038737877,2.5000000000000002e-06,published_monotone_verified_upper_bound
7,hga_strict_improvement,311,0.2173137,dd77527ad39b3286ca4328c514735adfdd57c43e57092d27e182289c269e5b86,0,1,1,0.87123775720295726,1.9e-06,published_monotone_verified_upper_bound
8,hga_strict_improvement,451,0.2970604,5aaea85b8e2d58505bf0b0cce83748eeb078974e1c6cc54d2a6054b398b026c3,0,1,1,0.84489929377220485,1.7e-06,published_monotone_verified_upper_bound
9,hga_strict_improvement,503,0.34319250000000001,12017ec03494b64f5650580d897384faa4485f58880afbeff6017ad65449040a,0,1,1,0.8162382059163058,1.5999999999999999e-06,published_monotone_verified_upper_bound
