dimension_class,V,M,variable,family,semantic_original_decision,counted_once
V12_M2,12,2,x_0_3_5,routing_arc,True,True
V12_M2,12,2,x_0_3_6,routing_arc,True,True
V12_M2,12,2,x_0_3_7,routing_arc,True,True
V12_M2,12,2,x_0_3_8,routing_arc,True,True
V12_M2,12,2,x_0_3_9,routing_arc,True,True
V12_M2,12,2,x_0_3_10,routing_arc,True,True
V12_M2,12,2,x_0_3_11,routing_arc,True,True
V12_M2,12,2,x_0_3_12,routing_arc,True,True
V12_M2,12,2,x_0_4_0,routing_arc,True,True
V12_M2,12,2,x_0_4_1,routing_arc,True,True
V12_M2,12,2,x_0_4_2,routing_arc,True,True
V12_M2,12,2,x_0_4_3,routing_arc,True,True
V12_M2,12,2,x_0_4_5,routing_arc,True,True
V12_M2,12,2,x_0_4_6,routing_arc,True,True
V12_M2,12,2,x_0_4_7,routing_arc,True,True
V12_M2,12,2,x_0_4_8,routing_arc,True,True
V12_M2,12,2,x_0_4_9,routing_arc,True,True
V12_M2,12,2,x_0_4_10,routing_arc,True,True
V12_M2,12,2,x_0_4_11,routing_arc,True,True
V12_M2,12,2,x_0_4_12,routing_arc,True,True
V12_M2,12,2,x_0_5_0,routing_arc,True,True
V12_M2,12,2,x_0_5_1,routing_arc,True,True
V12_M2,12,2,x_0_5_2,routing_arc,True,True
V12_M2,12,2,x_0_5_3,routing_arc,True,True
V12_M2,12,2,x_0_5_4,routing_arc,True,True
V12_M2,12,2,x_0_5_6,routing_arc,True,True
V12_M2,12,2,x_0_5_7,routing_arc,True,True
V12_M2,12,2,x_0_5_8,routing_arc,True,True
V12_M2,12,2,x_0_5_9,routing_arc,True,True
V12_M2,12,2,x_0_5_10,routing_arc,True,True
V12_M2,12,2,x_0_5_11,routing_arc,True,True
V12_M2,12,2,x_0_5_12,routing_arc,True,True
V12_M2,12,2,x_0_6_0,routing_arc,True,True
V12_M2,12,2,x_0_6_1,routing_arc,True,True
V12_M2,12,2,x_0_6_2,routing_arc,True,True
V12_M2,12,2,x_0_6_3,routing_arc,True,True
V12_M2,12,2,x_0_6_4,routing_arc,True,True
V12_M2,12,2,x_0_6_5,routing_arc,True,True
V12_M2,12,2,x_0_6_7,routing_arc,True,True
V12_M2,12,2,x_0_6_8,routing_arc,True,True
V12_M2,12,2,x_0_6_9,routing_arc,True,True
V12_M2,12,2,x_0_6_10,routing_arc,True,True
V12_M2,12,2,x_0_6_11,routing_arc,True,True
V12_M2,12,2,x_0_6_12,routing_arc,True,True
V12_M2,12,2,x_0_7_0,routing_arc,True,True
V12_M2,12,2,x_0_7_1,routing_arc,True,True
V12_M2,12,2,x_0_7_2,routing_arc,True,True
V12_M2,12,2,x_0_7_3,routing_arc,True,True
V12_M2,12,2,x_0_7_4,routing_arc,True,True
V12_M2,12,2,x_0_7_5,routing_arc,True,True
V12_M2,12,2,x_0_7_6,routing_arc,True,True
V12_M2,12,2,x_0_7_8,routing_arc,True,True
V12_M2,12,2,x_0_7_9,routing_arc,True,True
V12_M2,12,2,x_0_7_10,routing_arc,True,True
V12_M2,12,2,x_0_7_11,routing_arc,True,True
V12_M2,12,2,x_0_7_12,routing_arc,True,True
V12_M2,12,2,x_0_8_0,routing_arc,True,True
V12_M2,12,2,x_0_8_1,routing_arc,True,True
V12_M2,12,2,x_0_8_2,routing_arc,True,True
V12_M2,12,2,x_0_8_3,routing_arc,True,True
V12_M2,12,2,x_0_8_4,routing_arc,True,True
V12_M2,12,2,x_0_8_5,routing_arc,True,True
V12_M2,12,2,x_0_8_6,routing_arc,True,True
V12_M2,12,2,x_0_8_7,routing_arc,True,True
V12_M2,12,2,x_0_8_9,routing_arc,True,True
V12_M2,12,2,x_0_8_10,routing_arc,True,True
V12_M2,12,2,x_0_8_11,routing_arc,True,True
V12_M2,12,2,x_0_8_12,routing_arc,True,True
V12_M2,12,2,x_0_9_0,routing_arc,True,True
V12_M2,12,2,x_0_9_1,routing_arc,True,True
V12_M2,12,2,x_0_9_2,routing_arc,True,True
V12_M2,12,2,x_0_9_3,routing_arc,True,True
V12_M2,12,2,x_0_9_4,routing_arc,True,True
V12_M2,12,2,x_0_9_5,routing_arc,True,True
V12_M2,12,2,x_0_9_6,routing_arc,True,True
V12_M2,12,2,x_0_9_7,routing_arc,True,True
V12_M2,12,2,x_0_9_8,routing_arc,True,True
V12_M2,12,2,x_0_9_10,routing_arc,True,True
V12_M2,12,2,x_0_9_11,routing_arc,True,True
V12_M2,12,2,x_0_9_12,routing_arc,True,True
V12_M2,12,2,x_0_10_0,routing_arc,True,True
V12_M2,12,2,x_0_10_1,routing_arc,True,True
V12_M2,12,2,x_0_10_2,routing_arc,True,True
V12_M2,12,2,x_0_10_3,routing_arc,True,True
V12_M2,12,2,x_0_10_4,routing_arc,True,True
V12_M2,12,2,x_0_10_5,routing_arc,True,True
V12_M2,12,2,x_0_10_6,routing_arc,True,True
V12_M2,12,2,x_0_10_7,routing_arc,True,True
V12_M2,12,2,x_0_10_8,routing_arc,True,True
V12_M2,12,2,x_0_10_9,routing_arc,True,True
V12_M2,12,2,x_0_10_11,routing_arc,True,True
V12_M2,12,2,x_0_10_12,routing_arc,True,True
V12_M2,12,2,x_0_11_0,routing_arc,True,True
V12_M2,12,2,x_0_11_1,routing_arc,True,True
V12_M2,12,2,x_0_11_2,routing_arc,True,True
V12_M2,12,2,x_0_11_3,routing_arc,True,True
V12_M2,12,2,x_0_11_4,routing_arc,True,True
V12_M2,12,2,x_0_11_5,routing_arc,True,True
V12_M2,12,2,x_0_11_6,routing_arc,True,True
V12_M2,12,2,x_0_11_7,routing_arc,True,True
V12_M2,12,2,x_0_11_8,routing_arc,True,True
V12_M2,12,2,x_0_11_9,routing_arc,True,True
V12_M2,12,2,x_0_11_10,routing_arc,True,True
V12_M2,12,2,x_0_11_12,routing_arc,True,True
V12_M2,12,2,x_0_12_0,routing_arc,True,True
V12_M2,12,2,x_0_12_1,routing_arc,True,True
V12_M2,12,2,x_0_12_2,routing_arc,True,True
V12_M2,12,2,x_0_12_3,routing_arc,True,True
V12_M2,12,2,x_0_12_4,routing_arc,True,True
V12_M2,12,2,x_0_12_5,routing_arc,True,True
V12_M2,12,2,x_0_12_6,routing_arc,True,True
V12_M2,12,2,x_0_12_7,routing_arc,True,True
V12_M2,12,2,x_0_12_8,routing_arc,True,True
V12_M2,12,2,x_0_12_9,routing_arc,True,True
V12_M2,12,2,x_0_12_10,routing_arc,True,True
V12_M2,12,2,x_0_12_11,routing_arc,True,True
V12_M2,12,2,x_1_0_1,routing_arc,True,True
V12_M2,12,2,x_1_0_2,routing_arc,True,True
V12_M2,12,2,x_1_0_3,routing_arc,True,True
V12_M2,12,2,x_1_0_4,routing_arc,True,True
V12_M2,12,2,x_1_0_5,routing_arc,True,True
V12_M2,12,2,x_1_0_6,routing_arc,True,True
V12_M2,12,2,x_1_0_7,routing_arc,True,True
V12_M2,12,2,x_1_0_8,routing_arc,True,True
V12_M2,12,2,x_1_0_9,routing_arc,True,True
V12_M2,12,2,x_1_0_10,routing_arc,True,True
V12_M2,12,2,x_1_0_11,routing_arc,True,True
V12_M2,12,2,x_1_0_12,routing_arc,True,True
V12_M2,12,2,x_1_1_0,routing_arc,True,True
V12_M2,12,2,x_1_1_2,routing_arc,True,True
V12_M2,12,2,x_1_1_3,routing_arc,True,True
V12_M2,12,2,x_1_1_4,routing_arc,True,True
V12_M2,12,2,x_1_1_5,routing_arc,True,True
V12_M2,12,2,x_1_1_6,routing_arc,True,True
V12_M2,12,2,x_1_1_7,routing_arc,True,True
V12_M2,12,2,x_1_1_8,routing_arc,True,True
V12_M2,12,2,x_1_1_9,routing_arc,True,True
V12_M2,12,2,x_1_1_10,routing_arc,True,True
V12_M2,12,2,x_1_1_11,routing_arc,True,True
V12_M2,12,2,x_1_1_12,routing_arc,True,True
V12_M2,12,2,x_1_2_0,routing_arc,True,True
V12_M2,12,2,x_1_2_1,routing_arc,True,True
V12_M2,12,2,x_1_2_3,routing_arc,True,True
V12_M2,12,2,x_1_2_4,routing_arc,True,True
V12_M2,12,2,x_1_2_5,routing_arc,True,True
V12_M2,12,2,x_1_2_6,routing_arc,True,True
V12_M2,12,2,x_1_2_7,routing_arc,True,True
V12_M2,12,2,x_1_2_8,routing_arc,True,True
V12_M2,12,2,x_1_2_9,routing_arc,True,True
V12_M2,12,2,x_1_2_10,routing_arc,True,True
V12_M2,12,2,x_1_2_11,routing_arc,True,True
V12_M2,12,2,x_1_2_12,routing_arc,True,True
V12_M2,12,2,x_1_3_0,routing_arc,True,True
V12_M2,12,2,x_1_3_1,routing_arc,True,True
V12_M2,12,2,x_1_3_2,routing_arc,True,True
V12_M2,12,2,x_1_3_4,routing_arc,True,True
V12_M2,12,2,x_1_3_5,routing_arc,True,True
V12_M2,12,2,x_1_3_6,routing_arc,True,True
V12_M2,12,2,x_1_3_7,routing_arc,True,True
V12_M2,12,2,x_1_3_8,routing_arc,True,True
V12_M2,12,2,x_1_3_9,routing_arc,True,True
V12_M2,12,2,x_1_3_10,routing_arc,True,True
V12_M2,12,2,x_1_3_11,routing_arc,True,True
V12_M2,12,2,x_1_3_12,routing_arc,True,True
V12_M2,12,2,x_1_4_0,routing_arc,True,True
V12_M2,12,2,x_1_4_1,routing_arc,True,True
V12_M2,12,2,x_1_4_2,routing_arc,True,True
V12_M2,12,2,x_1_4_3,routing_arc,True,True
V12_M2,12,2,x_1_4_5,routing_arc,True,True
V12_M2,12,2,x_1_4_6,routing_arc,True,True
V12_M2,12,2,x_1_4_7,routing_arc,True,True
V12_M2,12,2,x_1_4_8,routing_arc,True,True
V12_M2,12,2,x_1_4_9,routing_arc,True,True
V12_M2,12,2,x_1_4_10,routing_arc,True,True
V12_M2,12,2,x_1_4_11,routing_arc,True,True
V12_M2,12,2,x_1_4_12,routing_arc,True,True
V12_M2,12,2,x_1_5_0,routing_arc,True,True
V12_M2,12,2,x_1_5_1,routing_arc,True,True
V12_M2,12,2,x_1_5_2,routing_arc,True,True
V12_M2,12,2,x_1_5_3,routing_arc,True,True
V12_M2,12,2,x_1_5_4,routing_arc,True,True
V12_M2,12,2,x_1_5_6,routing_arc,True,True
V12_M2,12,2,x_1_5_7,routing_arc,True,True
V12_M2,12,2,x_1_5_8,routing_arc,True,True
V12_M2,12,2,x_1_5_9,routing_arc,True,True
V12_M2,12,2,x_1_5_10,routing_arc,True,True
V12_M2,12,2,x_1_5_11,routing_arc,True,True
V12_M2,12,2,x_1_5_12,routing_arc,True,True
V12_M2,12,2,x_1_6_0,routing_arc,True,True
V12_M2,12,2,x_1_6_1,routing_arc,True,True
V12_M2,12,2,x_1_6_2,routing_arc,True,True
V12_M2,12,2,x_1_6_3,routing_arc,True,True
V12_M2,12,2,x_1_6_4,routing_arc,True,True
V12_M2,12,2,x_1_6_5,routing_arc,True,True
V12_M2,12,2,x_1_6_7,routing_arc,True,True
V12_M2,12,2,x_1_6_8,routing_arc,True,True
V12_M2,12,2,x_1_6_9,routing_arc,True,True
V12_M2,12,2,x_1_6_10,routing_arc,True,True
V12_M2,12,2,x_1_6_11,routing_arc,True,True
V12_M2,12,2,x_1_6_12,routing_arc,True,True
V12_M2,12,2,x_1_7_0,routing_arc,True,True
V12_M2,12,2,x_1_7_1,routing_arc,True,True
V12_M2,12,2,x_1_7_2,routing_arc,True,True
V12_M2,12,2,x_1_7_3,routing_arc,True,True
V12_M2,12,2,x_1_7_4,routing_arc,True,True
V12_M2,12,2,x_1_7_5,routing_arc,True,True
V12_M2,12,2,x_1_7_6,routing_arc,True,True
V12_M2,12,2,x_1_7_8,routing_arc,True,True
V12_M2,12,2,x_1_7_9,routing_arc,True,True
V12_M2,12,2,x_1_7_10,routing_arc,True,True
V12_M2,12,2,x_1_7_11,routing_arc,True,True
V12_M2,12,2,x_1_7_12,routing_arc,True,True
V12_M2,12,2,x_1_8_0,routing_arc,True,True
V12_M2,12,2,x_1_8_1,routing_arc,True,True
V12_M2,12,2,x_1_8_2,routing_arc,True,True
V12_M2,12,2,x_1_8_3,routing_arc,True,True
V12_M2,12,2,x_1_8_4,routing_arc,True,True
V12_M2,12,2,x_1_8_5,routing_arc,True,True
V12_M2,12,2,x_1_8_6,routing_arc,True,True
V12_M2,12,2,x_1_8_7,routing_arc,True,True
V12_M2,12,2,x_1_8_9,routing_arc,True,True
V12_M2,12,2,x_1_8_10,routing_arc,True,True
V12_M2,12,2,x_1_8_11,routing_arc,True,True
V12_M2,12,2,x_1_8_12,routing_arc,True,True
V12_M2,12,2,x_1_9_0,routing_arc,True,True
V12_M2,12,2,x_1_9_1,routing_arc,True,True
V12_M2,12,2,x_1_9_2,routing_arc,True,True
V12_M2,12,2,x_1_9_3,routing_arc,True,True
V12_M2,12,2,x_1_9_4,routing_arc,True,True
V12_M2,12,2,x_1_9_5,routing_arc,True,True
V12_M2,12,2,x_1_9_6,routing_arc,True,True
V12_M2,12,2,x_1_9_7,routing_arc,True,True
V12_M2,12,2,x_1_9_8,routing_arc,True,True
V12_M2,12,2,x_1_9_10,routing_arc,True,True
V12_M2,12,2,x_1_9_11,routing_arc,True,True
V12_M2,12,2,x_1_9_12,routing_arc,True,True
V12_M2,12,2,x_1_10_0,routing_arc,True,True
V12_M2,12,2,x_1_10_1,routing_arc,True,True
V12_M2,12,2,x_1_10_2,routing_arc,True,True
V12_M2,12,2,x_1_10_3,routing_arc,True,True
V12_M2,12,2,x_1_10_4,routing_arc,True,True
V12_M2,12,2,x_1_10_5,routing_arc,True,True
V12_M2,12,2,x_1_10_6,routing_arc,True,True
V12_M2,12,2,x_1_10_7,routing_arc,True,True
V12_M2,12,2,x_1_10_8,routing_arc,True,True
V12_M2,12,2,x_1_10_9,routing_arc,True,True
V12_M2,12,2,x_1_10_11,routing_arc,True,True
V12_M2,12,2,x_1_10_12,routing_arc,True,True
V12_M2,12,2,x_1_11_0,routing_arc,True,True
V12_M2,12,2,x_1_11_1,routing_arc,True,True
V12_M2,12,2,x_1_11_2,routing_arc,True,True
V12_M2,12,2,x_1_11_3,routing_arc,True,True
V12_M2,12,2,x_1_11_4,routing_arc,True,True
V12_M2,12,2,x_1_11_5,routing_arc,True,True
V12_M2,12,2,x_1_11_6,routing_arc,True,True
V12_M2,12,2,x_1_11_7,routing_arc,True,True
V12_M2,12,2,x_1_11_8,routing_arc,True,True
V12_M2,12,2,x_1_11_9,routing_arc,True,True
V12_M2,12,2,x_1_11_10,routing_arc,True,True
V12_M2,12,2,x_1_11_12,routing_arc,True,True
V12_M2,12,2,x_1_12_0,routing_arc,True,True
V12_M2,12,2,x_1_12_1,routing_arc,True,True
V12_M2,12,2,x_1_12_2,routing_arc,True,True
V12_M2,12,2,x_1_12_3,routing_arc,True,True
V12_M2,12,2,x_1_12_4,routing_arc,True,True
V12_M2,12,2,x_1_12_5,routing_arc,True,True
V12_M2,12,2,x_1_12_6,routing_arc,True,True
V12_M2,12,2,x_1_12_7,routing_arc,True,True
V12_M2,12,2,x_1_12_8,routing_arc,True,True
V12_M2,12,2,x_1_12_9,routing_arc,True,True
V12_M2,12,2,x_1_12_10,routing_arc,True,True
V12_M2,12,2,x_1_12_11,routing_arc,True,True
V12_M2,12,2,load_0_1,vehicle_load,True,True
V12_M2,12,2,load_0_2,vehicle_load,True,True
V12_M2,12,2,load_0_3,vehicle_load,True,True
V12_M2,12,2,load_0_4,vehicle_load,True,True
V12_M2,12,2,load_0_5,vehicle_load,True,True
V12_M2,12,2,load_0_6,vehicle_load,True,True
V12_M2,12,2,load_0_7,vehicle_load,True,True
V12_M2,12,2,load_0_8,vehicle_load,True,True
V12_M2,12,2,load_0_9,vehicle_load,True,True
V12_M2,12,2,load_0_10,vehicle_load,True,True
V12_M2,12,2,load_0_11,vehicle_load,True,True
V12_M2,12,2,load_0_12,vehicle_load,True,True
V12_M2,12,2,load_1_1,vehicle_load,True,True
V12_M2,12,2,load_1_2,vehicle_load,True,True
V12_M2,12,2,load_1_3,vehicle_load,True,True
V12_M2,12,2,load_1_4,vehicle_load,True,True
V12_M2,12,2,load_1_5,vehicle_load,True,True
V12_M2,12,2,load_1_6,vehicle_load,True,True
V12_M2,12,2,load_1_7,vehicle_load,True,True
V12_M2,12,2,load_1_8,vehicle_load,True,True
V12_M2,12,2,load_1_9,vehicle_load,True,True
V12_M2,12,2,load_1_10,vehicle_load,True,True
V12_M2,12,2,load_1_11,vehicle_load,True,True
V12_M2,12,2,load_1_12,vehicle_load,True,True
V12_M2,12,2,z_0_1,visit_selection,True,True
V12_M2,12,2,z_0_2,visit_selection,True,True
V12_M2,12,2,z_0_3,visit_selection,True,True
V12_M2,12,2,z_0_4,visit_selection,True,True
V12_M2,12,2,z_0_5,visit_selection,True,True
V12_M2,12,2,z_0_6,visit_selection,True,True
V12_M2,12,2,z_0_7,visit_selection,True,True
V12_M2,12,2,z_0_8,visit_selection,True,True
V12_M2,12,2,z_0_9,visit_selection,True,True
V12_M2,12,2,z_0_10,visit_selection,True,True
V12_M2,12,2,z_0_11,visit_selection,True,True
V12_M2,12,2,z_0_12,visit_selection,True,True
V12_M2,12,2,z_1_1,visit_selection,True,True
V12_M2,12,2,z_1_2,visit_selection,True,True
V12_M2,12,2,z_1_3,visit_selection,True,True
V12_M2,12,2,z_1_4,visit_selection,True,True
V12_M2,12,2,z_1_5,visit_selection,True,True
V12_M2,12,2,z_1_6,visit_selection,True,True
V12_M2,12,2,z_1_7,visit_selection,True,True
V12_M2,12,2,z_1_8,visit_selection,True,True
V12_M2,12,2,z_1_9,visit_selection,True,True
V12_M2,12,2,z_1_10,visit_selection,True,True
V12_M2,12,2,z_1_11,visit_selection,True,True
V12_M2,12,2,z_1_12,visit_selection,True,True
V12_M3,12,3,d_0_1,drop_quantity,True,True
V12_M3,12,3,d_0_2,drop_quantity,True,True
V12_M3,12,3,d_0_3,drop_quantity,True,True
V12_M3,12,3,d_0_4,drop_quantity,True,True
V12_M3,12,3,d_0_5,drop_quantity,True,True
V12_M3,12,3,d_0_6,drop_quantity,True,True
V12_M3,12,3,d_0_7,drop_quantity,True,True
V12_M3,12,3,d_0_8,drop_quantity,True,True
V12_M3,12,3,d_0_9,drop_quantity,True,True
V12_M3,12,3,d_0_10,drop_quantity,True,True
V12_M3,12,3,d_0_11,drop_quantity,True,True
V12_M3,12,3,d_0_12,drop_quantity,True,True
V12_M3,12,3,d_1_1,drop_quantity,True,True
V12_M3,12,3,d_1_2,drop_quantity,True,True
V12_M3,12,3,d_1_3,drop_quantity,True,True
V12_M3,12,3,d_1_4,drop_quantity,True,True
V12_M3,12,3,d_1_5,drop_quantity,True,True
V12_M3,12,3,d_1_6,drop_quantity,True,True
V12_M3,12,3,d_1_7,drop_quantity,True,True
V12_M3,12,3,d_1_8,drop_quantity,True,True
V12_M3,12,3,d_1_9,drop_quantity,True,True
V12_M3,12,3,d_1_10,drop_quantity,True,True
V12_M3,12,3,d_1_11,drop_quantity,True,True
V12_M3,12,3,d_1_12,drop_quantity,True,True
V12_M3,12,3,d_2_1,drop_quantity,True,True
V12_M3,12,3,d_2_2,drop_quantity,True,True
V12_M3,12,3,d_2_3,drop_quantity,True,True
V12_M3,12,3,d_2_4,drop_quantity,True,True
V12_M3,12,3,d_2_5,drop_quantity,True,True
V12_M3,12,3,d_2_6,drop_quantity,True,True
V12_M3,12,3,d_2_7,drop_quantity,True,True
V12_M3,12,3,d_2_8,drop_quantity,True,True
V12_M3,12,3,d_2_9,drop_quantity,True,True
V12_M3,12,3,d_2_10,drop_quantity,True,True
V12_M3,12,3,d_2_11,drop_quantity,True,True
V12_M3,12,3,d_2_12,drop_quantity,True,True
V12_M3,12,3,Y_1,final_inventory,True,True
V12_M3,12,3,Y_2,final_inventory,True,True
V12_M3,12,3,Y_3,final_inventory,True,True
V12_M3,12,3,Y_4,final_inventory,True,True
V12_M3,12,3,Y_5,final_inventory,True,True
V12_M3,12,3,Y_6,final_inventory,True,True
V12_M3,12,3,Y_7,final_inventory,True,True
V12_M3,12,3,Y_8,final_inventory,True,True
V12_M3,12,3,Y_9,final_inventory,True,True
V12_M3,12,3,Y_10,final_inventory,True,True
V12_M3,12,3,Y_11,final_inventory,True,True
V12_M3,12,3,Y_12,final_inventory,True,True
V12_M3,12,3,mode_0_1,operation_mode,True,True
V12_M3,12,3,mode_0_2,operation_mode,True,True
V12_M3,12,3,mode_0_3,operation_mode,True,True
V12_M3,12,3,mode_0_4,operation_mode,True,True
V12_M3,12,3,mode_0_5,operation_mode,True,True
V12_M3,12,3,mode_0_6,operation_mode,True,True
V12_M3,12,3,mode_0_7,operation_mode,True,True
V12_M3,12,3,mode_0_8,operation_mode,True,True
V12_M3,12,3,mode_0_9,operation_mode,True,True
V12_M3,12,3,mode_0_10,operation_mode,True,True
V12_M3,12,3,mode_0_11,operation_mode,True,True
V12_M3,12,3,mode_0_12,operation_mode,True,True
V12_M3,12,3,mode_1_1,operation_mode,True,True
V12_M3,12,3,mode_1_2,operation_mode,True,True
V12_M3,12,3,mode_1_3,operation_mode,True,True
V12_M3,12,3,mode_1_4,operation_mode,True,True
V12_M3,12,3,mode_1_5,operation_mode,True,True
V12_M3,12,3,mode_1_6,operation_mode,True,True
V12_M3,12,3,mode_1_7,operation_mode,True,True
V12_M3,12,3,mode_1_8,operation_mode,True,True
V12_M3,12,3,mode_1_9,operation_mode,True,True
V12_M3,12,3,mode_1_10,operation_mode,True,True
V12_M3,12,3,mode_1_11,operation_mode,True,True
V12_M3,12,3,mode_1_12,operation_mode,True,True
V12_M3,12,3,mode_2_1,operation_mode,True,True
V12_M3,12,3,mode_2_2,operation_mode,True,True
V12_M3,12,3,mode_2_3,operation_mode,True,True
V12_M3,12,3,mode_2_4,operation_mode,True,True
V12_M3,12,3,mode_2_5,operation_mode,True,True
V12_M3,12,3,mode_2_6,operation_mode,True,True
V12_M3,12,3,mode_2_7,operation_mode,True,True
V12_M3,12,3,mode_2_8,operation_mode,True,True
V12_M3,12,3,mode_2_9,operation_mode,True,True
V12_M3,12,3,mode_2_10,operation_mode,True,True
V12_M3,12,3,mode_2_11,operation_mode,True,True
V12_M3,12,3,mode_2_12,operation_mode,True,True
V12_M3,12,3,p_0_1,pickup_quantity,True,True
V12_M3,12,3,p_0_2,pickup_quantity,True,True
V12_M3,12,3,p_0_3,pickup_quantity,True,True
V12_M3,12,3,p_0_4,pickup_quantity,True,True
V12_M3,12,3,p_0_5,pickup_quantity,True,True
V12_M3,12,3,p_0_6,pickup_quantity,True,True
V12_M3,12,3,p_0_7,pickup_quantity,True,True
V12_M3,12,3,p_0_8,pickup_quantity,True,True
V12_M3,12,3,p_0_9,pickup_quantity,True,True
V12_M3,12,3,p_0_10,pickup_quantity,True,True
V12_M3,12,3,p_0_11,pickup_quantity,True,True
V12_M3,12,3,p_0_12,pickup_quantity,True,True
V12_M3,12,3,p_1_1,pickup_quantity,True,True
V12_M3,12,3,p_1_2,pickup_quantity,True,True
V12_M3,12,3,p_1_3,pickup_quantity,True,True
V12_M3,12,3,p_1_4,pickup_quantity,True,True
V12_M3,12,3,p_1_5,pickup_quantity,True,True
V12_M3,12,3,p_1_6,pickup_quantity,True,True
V12_M3,12,3,p_1_7,pickup_quantity,True,True
V12_M3,12,3,p_1_8,pickup_quantity,True,True
V12_M3,12,3,p_1_9,pickup_quantity,True,True
V12_M3,12,3,p_1_10,pickup_quantity,True,True
V12_M3,12,3,p_1_11,pickup_quantity,True,True
V12_M3,12,3,p_1_12,pickup_quantity,True,True
V12_M3,12,3,p_2_1,pickup_quantity,True,True
V12_M3,12,3,p_2_2,pickup_quantity,True,True
V12_M3,12,3,p_2_3,pickup_quantity,True,True
V12_M3,12,3,p_2_4,pickup_quantity,True,True
V12_M3,12,3,p_2_5,pickup_quantity,True,True
V12_M3,12,3,p_2_6,pickup_quantity,True,True
V12_M3,12,3,p_2_7,pickup_quantity,True,True
V12_M3,12,3,p_2_8,pickup_quantity,True,True
V12_M3,12,3,p_2_9,pickup_quantity,True,True
V12_M3,12,3,p_2_10,pickup_quantity,True,True
V12_M3,12,3,p_2_11,pickup_quantity,True,True
V12_M3,12,3,p_2_12,pickup_quantity,True,True
V12_M3,12,3,x_0_0_1,routing_arc,True,True
V12_M3,12,3,x_0_0_2,routing_arc,True,True
V12_M3,12,3,x_0_0_3,routing_arc,True,True
V12_M3,12,3,x_0_0_4,routing_arc,True,True
V12_M3,12,3,x_0_0_5,routing_arc,True,True
V12_M3,12,3,x_0_0_6,routing_arc,True,True
V12_M3,12,3,x_0_0_7,routing_arc,True,True
V12_M3,12,3,x_0_0_8,routing_arc,True,True
V12_M3,12,3,x_0_0_9,routing_arc,True,True
V12_M3,12,3,x_0_0_10,routing_arc,True,True
V12_M3,12,3,x_0_0_11,routing_arc,True,True
V12_M3,12,3,x_0_0_12,routing_arc,True,True
V12_M3,12,3,x_0_1_0,routing_arc,True,True
V12_M3,12,3,x_0_1_2,routing_arc,True,True
V12_M3,12,3,x_0_1_3,routing_arc,True,True
V12_M3,12,3,x_0_1_4,routing_arc,True,True
V12_M3,12,3,x_0_1_5,routing_arc,True,True
V12_M3,12,3,x_0_1_6,routing_arc,True,True
V12_M3,12,3,x_0_1_7,routing_arc,True,True
V12_M3,12,3,x_0_1_8,routing_arc,True,True
V12_M3,12,3,x_0_1_9,routing_arc,True,True
V12_M3,12,3,x_0_1_10,routing_arc,True,True
V12_M3,12,3,x_0_1_11,routing_arc,True,True
V12_M3,12,3,x_0_1_12,routing_arc,True,True
V12_M3,12,3,x_0_2_0,routing_arc,True,True
V12_M3,12,3,x_0_2_1,routing_arc,True,True
V12_M3,12,3,x_0_2_3,routing_arc,True,True
V12_M3,12,3,x_0_2_4,routing_arc,True,True
V12_M3,12,3,x_0_2_5,routing_arc,True,True
V12_M3,12,3,x_0_2_6,routing_arc,True,True
V12_M3,12,3,x_0_2_7,routing_arc,True,True
V12_M3,12,3,x_0_2_8,routing_arc,True,True
V12_M3,12,3,x_0_2_9,routing_arc,True,True
V12_M3,12,3,x_0_2_10,routing_arc,True,True
V12_M3,12,3,x_0_2_11,routing_arc,True,True
V12_M3,12,3,x_0_2_12,routing_arc,True,True
V12_M3,12,3,x_0_3_0,routing_arc,True,True
V12_M3,12,3,x_0_3_1,routing_arc,True,True
V12_M3,12,3,x_0_3_2,routing_arc,True,True
V12_M3,12,3,x_0_3_4,routing_arc,True,True
V12_M3,12,3,x_0_3_5,routing_arc,True,True
V12_M3,12,3,x_0_3_6,routing_arc,True,True
V12_M3,12,3,x_0_3_7,routing_arc,True,True
V12_M3,12,3,x_0_3_8,routing_arc,True,True
V12_M3,12,3,x_0_3_9,routing_arc,True,True
V12_M3,12,3,x_0_3_10,routing_arc,True,True
V12_M3,12,3,x_0_3_11,routing_arc,True,True
V12_M3,12,3,x_0_3_12,routing_arc,True,True
V12_M3,12,3,x_0_4_0,routing_arc,True,True
V12_M3,12,3,x_0_4_1,routing_arc,True,True
V12_M3,12,3,x_0_4_2,routing_arc,True,True
V12_M3,12,3,x_0_4_3,routing_arc,True,True
V12_M3,12,3,x_0_4_5,routing_arc,True,True
V12_M3,12,3,x_0_4_6,routing_arc,True,True
V12_M3,12,3,x_0_4_7,routing_arc,True,True
V12_M3,12,3,x_0_4_8,routing_arc,True,True
V12_M3,12,3,x_0_4_9,routing_arc,True,True
V12_M3,12,3,x_0_4_10,routing_arc,True,True
V12_M3,12,3,x_0_4_11,routing_arc,True,True
V12_M3,12,3,x_0_4_12,routing_arc,True,True
V12_M3,12,3,x_0_5_0,routing_arc,True,True
V12_M3,12,3,x_0_5_1,routing_arc,True,True
V12_M3,12,3,x_0_5_2,routing_arc,True,True
V12_M3,12,3,x_0_5_3,routing_arc,True,True
V12_M3,12,3,x_0_5_4,routing_arc,True,True
