run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
stage2__high_imbalance_seed3202__baseline__900s,1,0,1,1,1,0,0.47499999999999998,1.3860197691885761,,1416,0,0.011848900000000001,0.00050069999999999997,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,1,0,1,1,2,0,0.47499999999999998,1.3860197691885761,1.6038245411468228,,,0.011848900000000001,0.00050069999999999997,passed
stage2__high_imbalance_seed3202__baseline__900s,2,0,1,1,1,0.47499999999999998,0.94999999999999996,1.568706680497123,,1416,0,0.010149500000000001,0.00048109999999999998,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,2,0,1,1,2,0.47499999999999998,0.94999999999999996,1.568706680497123,1.5929602116237016,,,0.010149500000000001,0.00048109999999999998,passed
stage2__high_imbalance_seed3202__baseline__900s,5,2,2,2,1,0.47499999999999998,0.71249999999999991,1.5929602116237016,,1416,0,0.0147641,0.00047639999999999998,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,5,2,2,2,2,0.47499999999999998,0.71249999999999991,1.5929602116237016,1.593190630570704,,,0.0147641,0.00047639999999999998,passed
stage2__high_imbalance_seed3202__baseline__900s,7,5,3,3,1,0.47499999999999998,0.59375,1.593190630570704,,1416,0,0.0172661,0.00046959999999999998,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,7,5,3,3,2,0.47499999999999998,0.59375,1.593190630570704,1.5934887725357108,,,0.0172661,0.00046959999999999998,passed
stage2__high_imbalance_seed3202__baseline__900s,8,5,3,3,1,0.59375,0.71249999999999991,1.6874563875630306,,1416,0,0.0143027,0.00046759999999999998,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,8,5,3,3,2,0.59375,0.71249999999999991,1.6874563875630306,1.6874563875630306,,,0.0143027,0.00046759999999999998,passed
stage2__high_imbalance_seed3202__baseline__900s,9,7,4,4,1,0.47499999999999998,0.53437500000000004,1.5934887725357108,,1416,0,0.0124742,0.0004794,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,9,7,4,4,2,0.47499999999999998,0.53437500000000004,1.5934887725357108,1.5946788532438145,,,0.0124742,0.0004794,passed
stage2__high_imbalance_seed3202__baseline__900s,13,9,5,5,1,0.47499999999999998,0.50468749999999996,1.5946788532438145,,1416,0,0.013114799999999999,0.00046559999999999999,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,13,9,5,5,2,0.47499999999999998,0.50468749999999996,1.5946788532438145,1.5990446963566884,,,0.013114799999999999,0.00046559999999999999,passed
stage2__high_imbalance_seed3202__baseline__900s,14,9,5,5,1,0.50468749999999996,0.53437500000000004,1.5993741813517173,,1416,0,0.0128982,0.00047179999999999998,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,14,9,5,5,2,0.50468749999999996,0.53437500000000004,1.5993741813517173,1.6051825831148405,,,0.0128982,0.00047179999999999998,passed
stage2__high_imbalance_seed3202__baseline__900s,15,13,6,6,1,0.47499999999999998,0.48984374999999997,1.5992132058544706,,1416,0,0.0127621,0.000473,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,15,13,6,6,2,0.47499999999999998,0.48984374999999997,1.5992132058544706,1.6190247781369389,,,0.0127621,0.000473,passed
stage2__high_imbalance_seed3202__baseline__900s,16,13,6,6,1,0.48984374999999997,0.50468749999999996,1.5990446963566882,,1416,0,0.012939300000000001,0.00049010000000000004,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,16,13,6,6,2,0.48984374999999997,0.50468749999999996,1.5990446963566882,1.6018242823482363,,,0.012939300000000001,0.00049010000000000004,passed
stage2__high_imbalance_seed3202__baseline__900s,21,16,7,7,1,0.48984374999999997,0.49726562499999993,1.6018242823482358,,1416,0,0.0144592,0.0004705,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,21,16,7,7,2,0.48984374999999997,0.49726562499999993,1.6018242823482358,1.6050015629188521,,,0.0144592,0.0004705,passed
stage2__high_imbalance_seed3202__baseline__900s,22,16,7,7,1,0.49726562499999993,0.50468749999999996,1.6018242823482358,,1416,0,0.0128313,0.00048539999999999998,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,22,16,7,7,2,0.49726562499999993,0.50468749999999996,1.6018242823482358,1.6035568052632443,,,0.0128313,0.00048539999999999998,passed
stage2__high_imbalance_seed3202__baseline__900s,23,21,8,8,1,0.48984374999999997,0.49355468749999998,1.6050817615088699,,1416,0,0.0126351,0.00048690000000000002,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,23,21,8,8,2,0.48984374999999997,0.49355468749999998,1.6050817615088699,1.6076990538514773,,,0.0126351,0.00048690000000000002,passed
stage2__high_imbalance_seed3202__baseline__900s,24,21,8,8,1,0.49355468749999998,0.49726562499999993,1.6050015629188512,,1416,0,0.014535299999999999,0.00048129999999999999,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,24,21,8,8,2,0.49355468749999998,0.49726562499999993,1.6050015629188512,1.6052842540125374,,,0.014535299999999999,0.00048129999999999999,passed
stage2__high_imbalance_seed3202__baseline__900s,29,24,9,9,1,0.49355468749999998,0.49541015624999996,1.6053217022317074,,1416,0,0.0127464,0.00048069999999999997,awaiting_reoptimization
stage2__high_imbalance_seed3202__baseline__900s,29,24,9,9,2,0.49355468749999998,0.49541015624999996,1.6053217022317074,1.6065596618426641,,,0.0127464,0.00048069999999999997,passed
stage2__high_imbalance_seed3202__baseline__900s,31,29,10,10,1,0.49355468749999998,0.49448242187499997,1.6065816289059227,,1416,0,0.013699599999999999,0.00049209999999999998,awaiting_reoptimization
