number,id,arm,leaf_id,solve_kind,model_sha256,original_rows,original_columns,original_nonzeros,logged_LP_optimum
2,micro,DS,L0,LP,2d00039fcb332c6200660c6123d90eb56048898708a1dc3897ea17a0ef6272b8,167,71,505,0.2083333333
3,micro,DS-X,L0,LP,2d00039fcb332c6200660c6123d90eb56048898708a1dc3897ea17a0ef6272b8,167,71,505,0.2083333333
5,micro-zero,DS,L0,LP,7e95d6e09222c024f03949884e42564a5bc8c767ce3436c88c5acb197160b375,171,75,511,0.1702380952
5,micro-zero,DS,L0.0,LP,f2cba098eacdccb61d22868a979a79ca5ae1dba7f399e5cb4f4bf1cd3bc2c274,171,75,511,
5,micro-zero,DS,L0.1,LP,8cbf70635a6fd026720140b50b1d1eddce37542058eed30df677be0f83bceaf9,167,71,507,0.2034722222
5,micro-zero,DS,L0.1.0,LP,f91c974e54f583930b7a80fc7223129bcf42a2f5c6f64a719b3198aef3a439fc,167,71,507,0.2034722222
5,micro-zero,DS,L0.1.1,LP,5164f5ccbee835e23219ea02c647fdb8524f91d2b93eb9749cdf2068eb7c6075,173,75,517,
5,micro-zero,DS,L0.1.0.0,LP,647110b780ea9b0a7f8cb3a3a3c9d61186032714edc1062a86c211b79198c135,167,71,507,
5,micro-zero,DS,L0.1.0.1,LP,e14517da550d08cdcaf4d67e81557eea1ec42bdc637d978fe1fc2dfd895bf944,167,71,507,0.2078125
5,micro-zero,DS,L0.1.0.1.0,LP,cdf40a395dba32fa5c452c95702e645562d9d0adba84cf2593e4e666a9f3288e,167,71,507,0.2078125
5,micro-zero,DS,L0.1.0.1.1,LP,cf4fb48871ef15fbb536ef5472c594ae9182187153e3619069f634c5eabfa375,173,75,517,
5,micro-zero,DS,L0.1.0.1.0.0,LP,7dea1dbcb65194c75b581b616ac7bcbd9ff448357bf08501374f45952aafc825,167,71,507,0.2078125
5,micro-zero,DS,L0.1.0.1.0.1,LP,c501857700ef78425c7dc96f89ca14e3290c53cd8dbe03d33bd3b9910c95ac44,173,75,517,
5,micro-zero,DS,L0.1.0.1.0.0.0,LP,de3305f48c8242fb080376ab9618c2d84b41b39055da5e7dc15615585ebe8269,167,71,507,0.2083007813
5,micro-zero,DS,L0.1.0.1.0.0.1,LP,271bf2c25e3fbcc034f8c2a3b7321232118b5372df4fd3e89e8aee37023f8f59,173,75,517,
5,micro-zero,DS,L0.1.0.1.0.0.0.0,LP,711f8ed5b31acb0a6b2f3db67874a3e0fc29c5e8fb13303f59056a0a85522bd3,167,71,507,
5,micro-zero,DS,L0.1.0.1.0.0.0.1,LP,64108ece2a00147a8329793022d5bcd253deadc3f44b493c5b1fedaef01eac1c,167,71,507,0.2083007813
5,micro-zero,DS,L0.1.0.1.0.0.0.1.0,LP,e71da52726af74e9f99b28467807b0ea20e3d69620f0659c19e45badb0b1a4d8,167,71,507,
5,micro-zero,DS,L0.1.0.1.0.0.0.1.1,LP,731be218fa86b7d177507ab3760147ef442eabb060385cc74340c26359f7ba03,167,71,507,0.2083007813
5,micro-zero,DS,L0.1.0.1.0.0.0.1.1,MIP,731be218fa86b7d177507ab3760147ef442eabb060385cc74340c26359f7ba03,167,71,507,
6,micro-zero,DS-X,L0,LP,7e95d6e09222c024f03949884e42564a5bc8c767ce3436c88c5acb197160b375,171,75,511,0.1702380952
6,micro-zero,DS-X,L0.0,LP,f2cba098eacdccb61d22868a979a79ca5ae1dba7f399e5cb4f4bf1cd3bc2c274,171,75,511,
6,micro-zero,DS-X,L0.1,LP,8cbf70635a6fd026720140b50b1d1eddce37542058eed30df677be0f83bceaf9,167,71,507,0.2034722222
6,micro-zero,DS-X,L0.1.0,LP,f91c974e54f583930b7a80fc7223129bcf42a2f5c6f64a719b3198aef3a439fc,167,71,507,0.2034722222
6,micro-zero,DS-X,L0.1.1,LP,5164f5ccbee835e23219ea02c647fdb8524f91d2b93eb9749cdf2068eb7c6075,173,75,517,
6,micro-zero,DS-X,L0.1.0.0,LP,647110b780ea9b0a7f8cb3a3a3c9d61186032714edc1062a86c211b79198c135,167,71,507,
6,micro-zero,DS-X,L0.1.0.1,LP,e14517da550d08cdcaf4d67e81557eea1ec42bdc637d978fe1fc2dfd895bf944,167,71,507,0.2078125
6,micro-zero,DS-X,L0.1.0.1.0,LP,cdf40a395dba32fa5c452c95702e645562d9d0adba84cf2593e4e666a9f3288e,167,71,507,0.2078125
6,micro-zero,DS-X,L0.1.0.1.1,LP,cf4fb48871ef15fbb536ef5472c594ae9182187153e3619069f634c5eabfa375,173,75,517,
6,micro-zero,DS-X,L0.1.0.1.0.0,LP,7dea1dbcb65194c75b581b616ac7bcbd9ff448357bf08501374f45952aafc825,167,71,507,0.2078125
6,micro-zero,DS-X,L0.1.0.1.0.1,LP,c501857700ef78425c7dc96f89ca14e3290c53cd8dbe03d33bd3b9910c95ac44,173,75,517,
6,micro-zero,DS-X,L0.1.0.1.0.0.0,LP,de3305f48c8242fb080376ab9618c2d84b41b39055da5e7dc15615585ebe8269,167,71,507,0.2083007813
6,micro-zero,DS-X,L0.1.0.1.0.0.1,LP,271bf2c25e3fbcc034f8c2a3b7321232118b5372df4fd3e89e8aee37023f8f59,173,75,517,
6,micro-zero,DS-X,L0.1.0.1.0.0.0.0,LP,711f8ed5b31acb0a6b2f3db67874a3e0fc29c5e8fb13303f59056a0a85522bd3,167,71,507,
6,micro-zero,DS-X,L0.1.0.1.0.0.0.1,LP,64108ece2a00147a8329793022d5bcd253deadc3f44b493c5b1fedaef01eac1c,167,71,507,0.2083007813
6,micro-zero,DS-X,L0.1.0.1.0.0.0.1.0,LP,e71da52726af74e9f99b28467807b0ea20e3d69620f0659c19e45badb0b1a4d8,167,71,507,
6,micro-zero,DS-X,L0.1.0.1.0.0.0.1.1,LP,731be218fa86b7d177507ab3760147ef442eabb060385cc74340c26359f7ba03,167,71,507,0.2083007813
6,micro-zero,DS-X,L0.1.0.1.0.0.0.1.1,MIP,731be218fa86b7d177507ab3760147ef442eabb060385cc74340c26359f7ba03,167,71,507,
8,E7,DS,L0,LP,135b3fc4e6b50573eeada79b0ab85c27a3180afa38e85e0beb353560a88ea1b0,3089,1304,15345,0.01232459632
8,E7,DS,L0.0,LP,cd29cfdafd5c602481f0bf6672d8f661000d19d40fad41c4818a9e9d52718e3a,3089,1304,15345,0.01232459632
