run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
gate__moderate_seed3302__baseline__presolve_on__30s,0,-1,0,0,1,0,0.19563620654899999,0.097818103274506185,0.12156205413135687,1,0,0.097818103274506185,0.12156205413135687,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,0.097818103274506185,0.19563620654899999,0.12156205413135687,0.097818103274506185,0,0.097818103274506185,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,2.2677478,0,1,3372,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,1,0,1,1,2,0,0.097818103274506185,0.048909051637253093,0.12240380302908745,3,0,0.048909051637253093,0.12240380302908745,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4,0.048909051637253093,0.097818103274506185,0.12240380302908745,0.048909051637253093,0,0.048909051637253093,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,2.3586421999999998,1,2,3372,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,3,1,2,2,3,0,0.048909051637253093,0.024454525818626546,0.12494329310862209,5,0,0.024454525818626546,0.12494329310862209,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6,0.024454525818626546,0.048909051637253093,0.12494329310862209,0.024454525818626546,0,0.024454525818626546,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,2.5137906000000001,2,3,3592,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,4,1,2,2,3,0.048909051637253093,0.097818103274506185,0.073363577455879639,0.14231896760504964,7,0.048909051637253093,0.073363577455879639,0.14231896760504964,0.048909051637253093,0,0.048909051637253093,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0.073363577455879639,0.097818103274506185,0.14231896760504964,0.073363577455879639,0,0.073363577455879639,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,2.7951961999999999,3,4,4294,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,5,3,3,3,4,0,0.024454525818626546,0.012227262909313273,0.1320756014771087,9,0,0.012227262909313273,0.1320756014771087,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10,0.012227262909313273,0.024454525818626546,0.1320756014771087,0.012227262909313273,0,0.012227262909313273,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,2.9483617,4,5,5728,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,6,3,3,3,4,0.024454525818626546,0.048909051637253093,0.036681788727939819,0.13362718017398428,11,0.024454525818626546,0.036681788727939819,0.13362718017398428,0.024454525818626546,0,0.024454525818626546,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,0.036681788727939819,0.048909051637253093,0.13362718017398428,0.036681788727939819,0,0.036681788727939819,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,3.1516647999999998,5,6,6397,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,9,5,4,4,5,0,0.012227262909313273,0.0061136314546566366,0.14880973380070311,13,0,0.0061136314546566366,0.14880973380070311,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14,0.0061136314546566366,0.012227262909313273,0.14880973380070311,0.0061136314546566366,0,0.0061136314546566366,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,3.2760129,6,7,7228,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,10,5,4,4,5,0.012227262909313273,0.024454525818626546,0.01834089436396991,0.1360521805655022,15,0.012227262909313273,0.01834089436396991,0.1360521805655022,0.012227262909313273,0,0.012227262909313273,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,0.01834089436396991,0.024454525818626546,0.1360521805655022,0.01834089436396991,0,0.01834089436396991,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,3.4550371000000002,7,8,7674,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,15,10,5,5,6,0.012227262909313273,0.01834089436396991,0.015284078636641591,0.1424237482327701,17,0.012227262909313273,0.015284078636641591,0.1424237482327701,0.012227262909313273,0,0.012227262909313273,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,18,0.015284078636641591,0.01834089436396991,0.1424237482327701,0.015284078636641591,0,0.015284078636641591,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,3.6244459999999998,8,9,7818,passed,
gate__moderate_seed3302__baseline__presolve_on__30s,16,10,5,5,6,0.01834089436396991,0.024454525818626546,0.021397710091298226,0.13802861591895599,19,0.01834089436396991,0.021397710091298226,0.13802861591895599,0.01834089436396991,0,0.01834089436396991,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,20,0.021397710091298226,0.024454525818626546,0.13802861591895599,0.021397710091298226,0,0.021397710091298226,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,3.7376657,9,10,8666,passed,
