interval_id,parent_id,depth,gamma_L,gamma_U,status,closed,split,children,time_limit_used,runtime_seconds,certificate_basis,solver_status
0,root,0,0,0.0122881381662,interval_closed,true,false,0,30,1.9359189,interval_exact_cutoff_mip_infeasible,integer infeasible
1,root,0,0.0122881381662,0.0245762763324,interval_unresolved_timeout,false,false,0,30,30.2463386,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
2,root,0,0.0245762763324,0.0368644144986,interval_unresolved_timeout,false,false,0,30,30.1191854,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
3,root,0,0.0368644144986,0.0491525526647,interval_closed,true,false,0,30,0.5069406,interval_exact_cutoff_mip_infeasible,integer infeasible
1,root,0,0.0122881381662,0.0245762763324,interval_unresolved_timeout,false,false,0,60,60.2264768,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
1,root,0,0.0122881381662,0.0245762763324,interval_unresolved_timeout,false,false,0,120,120.2596107,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
1,root,0,0.0122881381662,0.0245762763324,interval_unresolved_timeout,false,false,0,240,240.3079761,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
1,root,0,0.0122881381662,0.0245762763324,interval_unresolved_timeout,false,false,0,480,480.1572372,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
1,root,0,0.0122881381662,0.0245762763324,interval_unresolved_timeout,false,false,0,756.5328365,756.9008325,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
2,root,0,0.0245762763324,0.0368644144986,skipped_budget_exhausted,false,false,0,0,0,budget_exhausted,not_run
