result_package,fresh_run,source_round,instance,budget_seconds,interval_id,gamma_L,gamma_U,status,lower_bound,closure_source,paper_core_valid,source_csv_path
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,14,0.475,0.48984375,unresolved,1.74210803,bpc_exact_tree,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,15,0.48984375,0.5046875,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,16,0.5046875,0.51953125,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,17,0.51953125,0.534375,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,18,0.534375,0.54921875,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,20,0.5640625,0.57890625,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,21,0.57890625,0.59375,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,6,0.475,0.534375,unresolved,1.598599,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,7,0.534375,0.59375,unresolved,1.06421478404,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,2,0.0245762763324,0.0368644144986,unresolved,0.0245762763324,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,3,0.0368644144986,0.0491525526647,unresolved,0.0368644144986,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,7,0.0184322072493,0.0245762763324,unresolved,0.0184322072493,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,9,0.0153601727077,0.0184322072493,unresolved,0.0153601727077,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,11,0.013824155437,0.0153601727077,unresolved,0.013824155437,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,13,0.0130561468016,0.013824155437,unresolved,0.0130561468016,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,15,0.0126721424839,0.0130561468016,unresolved,0.0126721424839,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,17,0.012480140325,0.0126721424839,unresolved,0.012480140325,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,18,0.0122881381662,0.0123841392456,unresolved,0.0122881381662,bpc_exact_tree,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,19,0.0123841392456,0.012480140325,unresolved,0.0123841392456,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,1,0.0489090516373,0.0978181032745,unresolved,0.0489090516373,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,2,0.0978181032745,0.146727154912,unresolved,0.0978181032745,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,7,0.0366817887279,0.0489090516373,unresolved,0.0366817887279,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
