"instance","instance_scope","variant","status","objective","lower_bound","upper_bound","gap","runtime_seconds","certified_original_problem","verifier_passed","unresolved_intervals","invalid_bound_intervals","open_nodes","bound_time_seconds","pricing_time_seconds","master_time_seconds","nodes","pricing_calls","columns","large_compact_flow_relaxation","v20_cover_cuts_added","station_residual_cover_cuts_added","large_compact_flow_arc_variables","route_mask_all_subset_enumeration_certifying","result_file"
,"hard_generated_v20_m3","high_imbalance_seed3201_miplight_300s","gcap_frontier_not_closed","2.44340319194","2.2767395659","2.44340319194","0.0682096293371","354.6246039","False","True","2","0","2","334.6019278","0","0","0","0","0","mip-light","0","4","5040","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\high_imbalance_seed3201_miplight_300s.json"
,"hard_generated_v20_m3","high_imbalance_seed3201_relax300","gcap_frontier_not_closed","2.44340319194","2.14348953154","2.44340319194","0.122744236967","343.6556948","False","True","3","0","3","323.6395502","0","0","0","0","0","lp","0","4","5040","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\high_imbalance_seed3201_relax300.json"
,"hard_generated_v20_m3","high_imbalance_seed3202_miplight_1200s","gcap_frontier_not_closed","1.74931345205","1.69375051373","1.74931345205","0.0317627113992","1257.6784118","False","True","4","0","4","1326.4427946","0","0","0","0","0","mip-light","0","21","26460","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\high_imbalance_seed3202_miplight_1200s.json"
,"hard_generated_v20_m3","high_imbalance_seed3202_miplight_300s","gcap_frontier_not_closed","1.74931345205","1.65415045452","1.74931345205","0.0544001976401","341.4037256","False","True","2","0","2","321.3936163","0","0","0","0","0","mip-light","0","6","7560","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\high_imbalance_seed3202_miplight_300s.json"
,"hard_generated_v20_m3","high_imbalance_seed3202_miplight_fallback_300s","gcap_frontier_not_closed","1.74931345205","1.65415045452","1.74931345205","0.0544001976401","344.7530013","False","True","2","0","2","413.7450001","0","0","0","0","0","mip-light","0","7","8820","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\high_imbalance_seed3202_miplight_fallback_300s.json"
,"hard_generated_v20_m3","high_imbalance_seed3202_relax300","gcap_frontier_not_closed","1.74931345205","1.57429649291","1.74931345205","0.100048941449","319.8895549","False","True","3","0","3","299.8754847","0","0","0","0","0","lp","0","5","6300","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\high_imbalance_seed3202_relax300.json"
,"hard_generated_v20_m3","moderate_seed3301_miplight_300s","gcap_frontier_not_closed","0.0491525526647","0.00819209211079","0.0491525526647","0.833333333333","320.4425802","False","True","4","0","4","300.4298691","0","0","0","0","0","mip-light","0","0","7560","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\moderate_seed3301_miplight_300s.json"
,"hard_generated_v20_m3","moderate_seed3301_relax300","gcap_frontier_not_closed","0.0491525526647","0.0427477151184","0.0491525526647","0.130305288314","306.0706355","False","True","5","0","5","286.0419623","0","0","0","0","0","lp","0","0","10080","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\moderate_seed3301_relax300.json"
,"hard_generated_v20_m3","moderate_seed3302_lp_fallback_300s","gcap_frontier_not_closed","0.195636206549","0.131033733249","0.195636206549","0.33021736845","311.5579534","False","True","5","0","5","291.5502526","0","0","0","0","0","lp","0","0","8820","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\moderate_seed3302_lp_fallback_300s.json"
,"hard_generated_v20_m3","moderate_seed3302_miplight_300s","gcap_frontier_not_closed","0.195636206549","0.0326060344248","0.195636206549","0.833333333333","314.2910008","False","True","3","0","3","294.2809287","0","0","0","0","0","mip-light","0","0","8820","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\moderate_seed3302_miplight_300s.json"
,"hard_generated_v20_m3","moderate_seed3302_relax300","gcap_frontier_not_closed","0.195636206549","0.131033733249","0.195636206549","0.33021736845","311.7986439","False","True","5","0","5","291.786468","0","0","0","0","0","lp","0","0","8820","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\moderate_seed3302_relax300.json"
,"hard_generated_v20_m3","tight_T_seed3101_miplight_300s","gcap_frontier_not_closed","0.107252734134","0.071501822756","0.107252734134","0.333333333333","309.2686376","False","True","2","0","2","289.2573857","0","0","0","0","0","mip-light","0","0","8820","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\tight_T_seed3101_miplight_300s.json"
,"hard_generated_v20_m3","tight_T_seed3101_relax300","gcap_frontier_not_closed","0.107252734134","0.00336907581205","0.107252734134","0.968587506517","310.5820726","False","True","5","0","5","290.5689116","0","0","0","0","0","lp","0","0","8820","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\tight_T_seed3101_relax300.json"
,"hard_generated_v20_m3","tight_T_seed3102_cover6_300s","gcap_frontier_not_closed","0.600704436685","0.469176890001","0.600704436685","0.21895551065","328.7092643","False","True","3","0","3","308.6958039","0","0","0","0","0","lp","0","5","6300","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\tight_T_seed3102_cover6_300s.json"
,"hard_generated_v20_m3","tight_T_seed3102_lp_1200s","gcap_frontier_not_closed","0.600704436685","0.49959505959","0.600704436685","0.168318012854","1220.5059292","False","True","9","0","9","1200.4721254","0","0","0","0","0","lp","0","18","22680","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\tight_T_seed3102_lp_1200s.json"
,"hard_generated_v20_m3","tight_T_seed3102_lp_fallback_300s","gcap_frontier_not_closed","0.600704436685","0.469176890001","0.600704436685","0.21895551065","328.3207672","False","True","3","0","3","380.074117","0","0","0","0","0","lp","0","6","7560","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\tight_T_seed3102_lp_fallback_300s.json"
,"hard_generated_v20_m3","tight_T_seed3102_miplight_300s","gcap_frontier_not_closed","0.600704436685","0.31574776659","0.600704436685","0.474370843117","309.3712465","False","True","2","0","2","289.3586387","0","0","0","0","0","mip-light","0","4","5040","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\tight_T_seed3102_miplight_300s.json"
,"hard_generated_v20_m3","tight_T_seed3102_relax300","gcap_frontier_not_closed","0.600704436685","0.469176890001","0.600704436685","0.21895551065","327.5112385","False","True","3","0","3","307.4866427","0","0","0","0","0","lp","0","5","6300","False","E:\codes\ExactEBRP\results\relaxation_closure_round\raw\tight_T_seed3102_relax300.json"
