file,row_class,active,gamma_U,s_bucket_L,s_bucket_U,s_range_refinement_enabled,compact_bc_s_range_refinement,s_range_certificate_valid,compact_bc_s_range_rows_added,bucket_ratio_domain_rows_added,bucket_ratio_domain_bounds_tightened,bucket_subset_ratio_domain_cuts_added,bucket_subset_ratio_domain_max_size,bucket_h_cap_rows_added,audit_passed,failures
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,40,26,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,40,26,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_3600s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,40,26,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,40,26,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,40,26,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_3600s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,40,26,2700,3,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_1200s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_3600s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\audit_certificate_basis_test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\audit_option_consistency_test.json,,False,0.0,0.0,0.0,False,off,False,0,0,0,0,0,0,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_10800s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
