run_id,node_uid,parent_uid,event,row_attachment_mode,theoretical_full_rows,theoretical_full_bounds,inherited_rows,inherited_bounds,exact_duplicate_rows_omitted,identical_bounds_omitted,dominance_omissions,delta_rows_attached,delta_bounds_attached,row_factory_seconds,families,aggregate_signature,status,failure_reason
stage1__V12_M2__parent_delta__300s,1,0,branch_bounds_only,exact-incremental-delta,647,26,648,26,168,25,0,0,1,0.0048606999999999999,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,fff5208aff45d897,passed,
stage1__V12_M2__parent_delta__300s,2,0,branch_bounds_only,exact-incremental-delta,647,26,648,26,7,24,0,0,2,0.0042085999999999998,direct_gini_cap|direct_gini_floor|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|penalty_deviation_upper_bound|variable_s_low_gini_centering,71ffb8f3f51ba533,passed,
stage1__V12_M2__parent_delta__300s,1,0,deferred_first_relaxation_attach,exact-incremental-delta,647,26,648,26,168,26,0,479,0,0.0038857000000000002,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,fff5208aff45d897,passed,
stage1__V12_M2__parent_delta__300s,2,0,deferred_first_relaxation_attach,exact-incremental-delta,647,26,648,26,7,26,0,640,0,0.0041180000000000001,direct_gini_cap|direct_gini_floor|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|penalty_deviation_upper_bound|variable_s_low_gini_centering,71ffb8f3f51ba533,passed,
stage1__V12_M2__parent_delta__300s,3,2,branch_bounds_only,exact-incremental-delta,647,26,1288,26,168,25,0,0,1,0.0042326000000000004,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,3456708948608798,passed,
stage1__V12_M2__parent_delta__300s,4,2,branch_bounds_only,exact-incremental-delta,647,26,1288,26,486,25,0,0,1,0.0039732999999999999,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,92428433a37300d7,passed,
stage1__V12_M2__parent_delta__300s,3,2,deferred_first_relaxation_attach,exact-incremental-delta,647,26,1288,26,168,26,0,479,0,0.0040842999999999999,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,3456708948608798,passed,
stage1__V12_M2__parent_delta__300s,5,3,branch_bounds_only,exact-incremental-delta,647,26,1767,26,168,25,0,0,1,0.0043458999999999998,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,2cddd2a1968fc976,passed,
stage1__V12_M2__parent_delta__300s,6,3,branch_bounds_only,exact-incremental-delta,647,26,1767,26,486,25,0,0,1,0.0039849999999999998,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,2f590f08beced164,passed,
stage1__V12_M2__parent_delta__300s,5,3,deferred_first_relaxation_attach,exact-incremental-delta,647,26,1767,26,168,26,0,479,0,0.0040759999999999998,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,2cddd2a1968fc976,passed,
