file,instance_name,algorithm_preset,method,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,wall_time_seconds,time_budget_seconds,actual_runtime_seconds,gap_trajectory_available,progress_log,progress_checkpoints_written,compact_bc_progress_interval_seconds,unresolved_intervals,invalid_bound_intervals,open_nodes,compact_interval_bc_enabled,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_bound_valid,compact_bc_bound_scope,compact_bc_certificate_valid,compact_bc_enabled_families_requested,compact_bc_enabled_families_effective,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_receiver_source_cover_mode,compact_bc_total_root_cut_rounds,compact_bc_dynamic_cut_families,compact_bc_root_probe,compact_bc_dynamic_cut_violation_tol,compact_bc_domain_propagation_mode,compact_bc_domain_propagation_rounds,compact_bc_domain_propagation_rounds_completed,compact_bc_expensive_static_families,compact_bc_use_dynamic_instead_of_static,compact_bc_dynamic_cuts_added_by_family,compact_bc_dynamic_max_violation_by_family,compact_bc_dynamic_cuts_added_total,compact_bc_model_size_policy,compact_bc_rows_estimated,compact_bc_cols_estimated,compact_bc_nonzeros_estimated,compact_bc_memory_estimate_mb,compact_bc_model_rows,compact_bc_model_cols,compact_bc_model_nonzeros,compact_bc_disabled_families_due_to_size,compact_bc_model_size_stop_reason,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,cplex_threads,mip_threads,compact_bc_solver_threads,solver_thread_policy,thread_fairness_class,ablation_variant_semantics,certificate_uses_bpc_tree,no_archive_scanning,no_external_known_ub,row_certificate_source_class,duplicate_row_group_id,comparable_setting_hash,command_hash,row_quality_rank,selected_for_summary,duplicate_row_resolution_reason
results\gf_compact_bc_effectiveness_round3\raw\exact_high_imbalance_seed3201_300s.json,high_imbalance_seed3201.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,2.44340319194,2.315507,2.44340319194,0.052343466017,309.3079889,309.3079889,300,309.3079889,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_high_imbalance_seed3201_300s.progress.csv,12,30,1,0,2,True,1,1,True,original_fixed_interval,False,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=2;direct_gini_floor=2;tight_mccormick=896;inventory_conservation=4;visit_inventory_linking=80;objective_estimator_cutoff=2;penalty_lb=2;gini_spread=380;required_movement=2;global_handling_capacity=2;support_duration_pair=1140;support_duration_triple=6840;transfer_compat=120;receiver_source_cover=0,movement_reachability=24;low_gini_ratio_band_domains=24,off,4,"support,transfer,visit,objective,receiver",lp,1e-06,iterative,3,0,auto,False,dynamic_root_total=0,,0,resource-adaptive,0,0,0,5.37753295898,19742,4234,107076,,,4439,126.5371554,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,mixed_noncertified,6d03ddc4c600a07a,6d03ddc4c600a07a,3a1f9c8a0359b22c,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_high_imbalance_seed3201_300s_auto_oracle\interval_7.json,high_imbalance_seed3201.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,2.44340319194,2.44340319194,0,6.1499252,6.1499252,300,6.1499252,False,,0,30,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=534,off,2,"support,transfer,visit,objective,receiver",lp,1e-06,iterative,3,1,auto,False,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,resource-adaptive,11682,2483,93456,2.68876647949,9871,2117,53538,none,,0,6.1499252,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,compact_bc_leaf_diagnostic,0c078a15728ef8a0,0c078a15728ef8a0,6ac556f78e393d90,9,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_high_imbalance_seed3202_1200s_static.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,1.74931345205,1.74931345205,1.74931345205,0,295.1043675,295.1043675,1200,295.1043675,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_high_imbalance_seed3202_1200s_static.progress.csv,14,30,0,0,0,False,0,0,False,none,True,,,none,none,off,0,,lp,1e-06,iterative,3,0,auto,False,,,0,resource-adaptive,0,0,0,0,0,0,0,,,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,relaxation_only_certified,f7a6f3e23244a719,f7a6f3e23244a719,1294efbd38ab8d80,2,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_high_imbalance_seed3202_300s.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,1.74931345205,1.711009,1.74931345205,0.0218968487356,314.3783144,314.3783144,300,314.3783144,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_high_imbalance_seed3202_300s.progress.csv,14,30,1,0,1,True,0,1,True,original_fixed_interval,False,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=436;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0,movement_reachability=13;low_gini_ratio_band_domains=13,off,2,"support,transfer,visit,objective,receiver",lp,1e-06,iterative,3,0,auto,False,dynamic_root_total=0,,0,resource-adaptive,0,0,0,2.6848526001,9850,2111,53511,,,3196,120.3905912,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,mixed_noncertified,aee2779731ce337b,aee2779731ce337b,d87a7b589b97e711,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_high_imbalance_seed3202_300s_auto_oracle\interval_9.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,1.7110088864,1.74931345205,0.0218969136753,120.3905912,120.3905912,300,120.3905912,False,,0,30,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=436;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=13;domain_width_before=684;domain_width_after=536,off,2,"support,transfer,visit,objective,receiver",lp,1e-06,iterative,3,1,auto,False,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,resource-adaptive,11682,2483,93456,2.6848526001,9850,2111,53511,none,,0,120.3905912,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,compact_bc_leaf_diagnostic,e0706cdcbcdd8750,e0706cdcbcdd8750,d3f3ee2a7d9af350,9,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_moderate_seed3301_1200s_static300.json,moderate_seed3301.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.0491525526647,0.044543,0.0491525526647,0.0937805345774,8136.1729425,8136.1729425,1200,8136.1729425,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_1200s_static300.progress.csv,25,30,2,0,9,True,7,2,True,original_fixed_interval,False,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=9;direct_gini_floor=9;tight_mccormick=4068;inventory_conservation=18;visit_inventory_linking=360;objective_estimator_cutoff=9;penalty_lb=9;gini_spread=1710;required_movement=35;global_handling_capacity=9;support_duration_pair=5130;support_duration_triple=30780;transfer_compat=540;receiver_source_cover=0,movement_reachability=42;low_gini_ratio_band_domains=102,off,0,,lp,1e-06,iterative,3,0,auto,False,dynamic_root_total=0,,0,resource-adaptive,0,0,0,24.2280960083,88928,19071,482547,,,5229,607.4875694,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,mixed_noncertified,df9299579683dc81,df9299579683dc81,ee2d3dac77ad0584,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_moderate_seed3301_1200s_static300_auto_oracle\interval_11.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,0.7368804,0.7368804,1200,0.7368804,False,,0,30,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=9;movement_reachability=5;domain_width_before=684;domain_width_after=565,off,0,,lp,1e-06,iterative,3,1,auto,False,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,resource-adaptive,11682,2483,93456,2.69178009033,9880,2119,53611,none,,0,0.7368804,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,compact_bc_leaf_diagnostic,736d651d9667f4ab,736d651d9667f4ab,a47d0eae74ae3e0a,9,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_moderate_seed3301_300s_static30.json,moderate_seed3301.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.0491525526647,0.044391,0.0491525526647,0.096872947723,305.4513707,305.4513707,300,305.4513707,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_300s_static30.progress.csv,16,30,2,0,6,True,4,2,True,original_fixed_interval,False,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=6;direct_gini_floor=6;tight_mccormick=2712;inventory_conservation=12;visit_inventory_linking=240;objective_estimator_cutoff=6;penalty_lb=6;gini_spread=1140;required_movement=26;global_handling_capacity=6;support_duration_pair=3420;support_duration_triple=20520;transfer_compat=360;receiver_source_cover=0,movement_reachability=27;low_gini_ratio_band_domains=72,off,0,,lp,1e-06,iterative,3,0,auto,False,dynamic_root_total=0,,0,resource-adaptive,0,0,0,16.1527557373,59288,12714,321714,,,2981,64.8554399,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,mixed_noncertified,087f6643c690dcd6,087f6643c690dcd6,41f408c41262319c,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_moderate_seed3302_300s.json,moderate_seed3302.txt,paper-gf-compact-bc,gcap-frontier,interrupted_noncertified,False,0.195636206549,0.0489090516373,0.195636206549,0.7499999999997444,480.0319999998901,480.0319999998901,300,480.0319999998901,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3302_300s.progress.csv,16,,2,0,5,True,,,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,wrapper_checkpoint_only,8bdda5d4d6613299,8bdda5d4d6613299,0c0a9e1e95426c45,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_moderate_seed3302_300s_auto_oracle\interval_1.json,moderate_seed3302.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.14468086865,0.195636206549,0.260459650071,120.4799038,120.4799038,300,120.4799038,False,,0,30,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=440;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=2;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=3;movement_reachability=8;domain_width_before=683;domain_width_after=619,off,2,"support,transfer,visit,objective,receiver",lp,1e-06,iterative,3,1,auto,False,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,resource-adaptive,11682,2483,93456,2.68712615967,9858,2113,53557,none,,0,120.4799038,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,compact_bc_leaf_diagnostic,3617e974d9fbdce0,3617e974d9fbdce0,7ac76e860e085363,9,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_tight_T_seed3101_300s.json,tight_T_seed3101.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.107252734134,0.107252734134,0.107252734134,0,76.5301873,76.5301873,300,76.5301873,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_tight_T_seed3101_300s.progress.csv,8,30,0,0,0,False,0,0,False,none,True,,,none,none,off,2,"support,transfer,visit,objective,receiver",lp,1e-06,iterative,3,0,auto,False,,,0,resource-adaptive,0,0,0,0,0,0,0,,,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,relaxation_only_certified,a5c67ec20dd9c22f,a5c67ec20dd9c22f,82ba6a115c61ebfc,2,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_tight_T_seed3102_300s.json,tight_T_seed3102.txt,paper-gf-compact-bc,gcap-frontier,interrupted_noncertified,False,0.600704436685,0.450176109171,0.600704436685,0.25058634216969283,480.0470000000205,480.0470000000205,300,480.0470000000205,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_tight_T_seed3102_300s.progress.csv,16,,1,0,3,True,,,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,wrapper_checkpoint_only,19d4a132a2f1901c,19d4a132a2f1901c,2132ade0cb60e86e,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_V100_M5_high_imbalance_300s.json,V100_M5_high_imbalance_seed6201.txt,paper-gf-compact-bc,gcap-frontier,interrupted_noncertified,False,6.07870799652,1.61194290217,6.07870799652,0.7348214615518921,20.405999999959022,20.405999999959022,300,20.405999999959022,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_V100_M5_high_imbalance_300s.progress.csv,1,,4,0,0,True,,,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,wrapper_checkpoint_only,d3d9c9854e6b88b4,d3d9c9854e6b88b4,a490fee9c3ae51df,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_V100_M5_moderate_300s.json,V100_M5_moderate_seed6101.txt,paper-gf-compact-bc,gcap-frontier,interrupted_noncertified,False,1.71629103286,0.0,1.71629103286,1.0,20.516000000061467,20.516000000061467,300,20.516000000061467,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_V100_M5_moderate_300s.progress.csv,1,,0,0,0,True,,,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,wrapper_checkpoint_only,a5daf4a8313023a2,a5daf4a8313023a2,e5201ece4c9fb151,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_V12_M1_300s.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.357200583208,0.357200583208,0.357200583208,0,300.5376631,300.5376631,300,300.5376631,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_V12_M1_300s.progress.csv,22,30,0,0,0,True,5,0,True,original_fixed_interval,True,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=5;direct_gini_floor=5;tight_mccormick=1460;inventory_conservation=10;visit_inventory_linking=120;objective_estimator_cutoff=5;penalty_lb=5;gini_spread=330;required_movement=0;global_handling_capacity=5;support_duration_pair=330;support_duration_triple=1100;transfer_compat=60;receiver_source_cover=0,movement_reachability=55;low_gini_ratio_band_domains=55,off,10,"support,transfer,visit,objective,receiver",lp,1e-06,iterative,3,0,auto,False,dynamic_root_total=0,,0,resource-adaptive,0,0,0,10.3418731689,29070,2455,283710,,,5778,15.2743093,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,mixed_certified,6ecdeb6b0ba8a8c3,6ecdeb6b0ba8a8c3,8b9f6458f5328d7f,2,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_V12_M1_300s_auto_oracle\interval_12.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.357200583208,0.357200583208,0,4.6455146,4.6455146,300,4.6455146,False,,0,30,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=292;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=66;support_duration_triple=220;transfer_compat=12;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=11;domain_width_before=643;domain_width_after=479,off,2,"support,transfer,visit,objective,receiver",lp,1e-06,iterative,3,1,auto,False,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,resource-adaptive,1826,529,14608,2.06837463379,5814,491,56742,none,,0,4.6455146,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,compact_bc_leaf_diagnostic,4372de3760037f81,4372de3760037f81,744688a876928241,9,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_V12_M2_300s_static.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.718504070755,0.718504070755,0.718504070755,0,290.1962026,290.1962026,300,290.1962026,True,results\gf_compact_bc_timeprofile_round\progress_traces\exact_V12_M2_300s_static.progress.csv,24,30,0,0,0,False,0,0,False,none,True,,,none,none,off,0,,lp,1e-06,iterative,3,0,auto,False,,,0,resource-adaptive,0,0,0,0,0,0,0,,,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,relaxation_only_certified,e699e5d97675f6c0,e699e5d97675f6c0,895b0294cf647ff3,2,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_V50_M3_high_imbalance_300s.json,V50_M3_high_imbalance_seed5201.txt,paper-gf-compact-bc,gcap-frontier,model_size_limit,False,2.68277858158,0.538409750224,2.68277858158,0.7993089128112436,0,0,300,0,False,,0,0,4,0,0,False,0,0,False,none,False,,,none,none,off,0,,lp,1e-06,static,1,0,auto,False,,,0,resource-adaptive,0,0,0,0,0,0,0,,std_bad_alloc: std::bad_alloc,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,model_size_limit,a519113cb4500aa1,a519113cb4500aa1,5d2f24d640403d59,5,True,selected best audited comparable row
results\gf_compact_bc_effectiveness_round3\raw\exact_V50_M3_moderate_300s.json,V50_M3_moderate_seed5101.txt,paper-gf-compact-bc,gcap-frontier,model_size_limit,False,1.37151140999,0.0,1.37151140999,1.0,0,0,300,0,False,,0,0,0,0,0,False,0,0,False,none,False,,,none,none,off,0,,lp,1e-06,static,1,0,auto,False,,,0,resource-adaptive,0,0,0,0,0,0,0,,std_bad_alloc: std::bad_alloc,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True,model_size_limit,01cd59b943abb62c,01cd59b943abb62c,94e11ecb2ba8f575,5,True,selected best audited comparable row
