run_id,instance,arm,flow_variant,checkpoint_seconds,status,not_observed_reason,observation_elapsed_seconds,lower_bound,upper_bound,gap,nodes,open_nodes,simplex_iterations,event_source,observation_source
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,30,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,60,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,120,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,300,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,600,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,900,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,1200,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,1800,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,2400,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,3000,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage4__V12_M2__plain__3600s,V12_M2,plain,plain,3600,observed,,3570.7682601,0.6087371492166234,0.7243949354801448,0.11565778626352141,3787900,2327738,0,solver_final,full_precision_final_json
