source,instance,method,algorithm_preset,classification,status,certified_original_problem,lower_bound,upper_bound,gap,intervals_closed_by_relaxation_count,intervals_closed_by_bpc_count,intervals_closed_by_oracle_count,intervals_unresolved_count,certificate_uses_interval_oracle,certificate_uses_bpc_tree,certificate_uses_relaxation_only,bpc_core_certificate_valid,exact_portfolio_certificate_valid,frontier_lower_bound_source,full_certificate_basis,full_certificate_rejection_reason
results\bpc_core_repair_round\baseline_1200_v12_m2\leaf_7.json,regen_candidate_V12_M2_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\baseline_300_high_imbalance_seed3202\leaf_9.json,high_imbalance_seed3202.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.5046875,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\baseline_300_moderate_seed3301\leaf_2.json,moderate_seed3301.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.0245762763324,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\baseline_300_v12_m1\leaf_12.json,regen_candidate_V12_M1_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.223250364505,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\baseline_300_v12_m2\leaf_7.json,regen_candidate_V12_M2_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\baseline_300_v12_m2_forced\leaf_7.json,regen_candidate_V12_M2_low.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\all_improvements_300_high_imbalance_seed3202_leaf_9.json,high_imbalance_seed3202.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.5046875,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\all_improvements_300_moderate_seed3301_leaf_2.json,moderate_seed3301.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.0245762763324,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\all_improvements_300_v12_m1_leaf_12.json,regen_candidate_V12_M1_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.223250364505,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\all_improvements_300_v12_m2_forced_leaf_7.json,regen_candidate_V12_M2_low.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\all_improvements_300_v12_m2_leaf_7.json,regen_candidate_V12_M2_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\all_improvements_3600_moderate_seed3301_leaf_2.json,moderate_seed3301.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.0245762763324,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\all_improvements_3600_v12_m1_leaf_12.json,regen_candidate_V12_M1_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.223250364505,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\all_improvements_3600_v12_m2_leaf_7.json,regen_candidate_V12_M2_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\baseline_1200_moderate_seed3301_leaf_2.json,moderate_seed3301.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.0245762763324,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\baseline_1200_v12_m1_leaf_12.json,regen_candidate_V12_M1_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.223250364505,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\baseline_1200_v12_m2_leaf_7.json,regen_candidate_V12_M2_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\baseline_300_high_imbalance_seed3202_leaf_9.json,high_imbalance_seed3202.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.5046875,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\baseline_300_moderate_seed3301_leaf_2.json,moderate_seed3301.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.0245762763324,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\baseline_300_v12_m1_leaf_12.json,regen_candidate_V12_M1_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.223250364505,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\baseline_300_v12_m2_forced_leaf_7.json,regen_candidate_V12_M2_low.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\baseline_300_v12_m2_leaf_7.json,regen_candidate_V12_M2_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.493971548644,0,1,0,0,0,0,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\v100_m5_average_core_30.json,regen_V100_M5_average.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,process_exit_without_solver_json,False,0,0,1,0,0,0,1,False,False,False,False,False,,,
results\bpc_core_repair_round\raw\v50_m3_average_core_30.json,regen_V50_M3_average.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,process_exit_without_solver_json,False,0,0,1,0,0,0,1,False,False,False,False,False,,,
