source_stage,instance,family,V,M,arm,repetition,budget_seconds,return_code,emergency_timeout,status,verified_ub,common_verified_ub,valid_final_lb,common_ub_gap,strict_certificate,runtime_seconds,root_coverage_valid,parent_child_coverage_valid,all_relevant_leaves_closed,all_leaf_bounds_valid,global_bound_monotone,leaf_bounds_monotone,lifecycle_complete,failure_reason,run_id,run_path
stage2,V12_M1,v12,12,1,P-GRB,0,300,0,False,optimal,0.3572005832084155,0.3572005832084155,0.3572005832084151,1.2432488375612486e-15,True,34.8562911,False,False,False,False,False,False,False,,stage2__V12_M1__p_grb__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage2__V12_M1__p_grb__300s
stage1,V12_M1,v12,12,1,C4-CANDIDATE,0,300,0,False,optimal,0.3572005832084155,0.3572005832084155,0.3572005832084146,2.641903779817653e-15,True,134.8882327,True,True,True,True,True,True,True,none,stage1__V12_M1__c4_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c4_candidate__300s
stage1,V12_M1,v12,12,1,C5-CANDIDATE,0,300,0,False,optimal,0.3572005832084155,0.3572005832084155,0.3572005832084146,2.641903779817653e-15,True,54.1525926,True,True,True,True,True,True,True,none,stage1__V12_M1__c5_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s
stage2,V12_M2,v12,12,2,P-GRB,0,300,0,False,optimal,0.7185040707549709,0.7185040707549709,0.7185040707549712,0.0,True,169.249033,False,False,False,False,False,False,False,,stage2__V12_M2__p_grb__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage2__V12_M2__p_grb__300s
stage1,V12_M2,v12,12,2,C4-CANDIDATE,0,300,0,False,round29_c4_external_gini_tree_time_limit,0.7185040707549709,0.7185040707549709,0.6557601837879294,0.08732572231791685,False,295.0228494,True,True,False,True,True,True,True,overall_global_deadline,stage1__V12_M2__c4_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c4_candidate__300s
stage1,V12_M2,v12,12,2,C5-CANDIDATE,0,300,0,False,optimal,0.7185040707549709,0.7185040707549709,0.7185040707549704,7.725934130467664e-16,True,228.2343925,True,True,True,True,True,True,True,none,stage1__V12_M2__c5_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s
stage2,high_imbalance_seed3202,high_imbalance,20,3,P-GRB,0,300,0,False,time_limit,1.7630423841732887,1.7493134520506337,1.074868661415556,0.38554827886589416,False,295.017268,False,False,False,False,False,False,False,,stage2__high_imbalance_seed3202__p_grb__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage2__high_imbalance_seed3202__p_grb__300s
stage1,high_imbalance_seed3202,high_imbalance,20,3,C4-CANDIDATE,0,300,0,False,round29_c4_external_gini_tree_time_limit,1.7493134520506337,1.7493134520506337,1.610843602757366,0.07915668237213079,False,295.020539,True,True,False,True,True,True,True,overall_global_deadline,stage1__high_imbalance_seed3202__c4_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__high_imbalance_seed3202__c4_candidate__300s
stage1,high_imbalance_seed3202,high_imbalance,20,3,C5-CANDIDATE,0,300,0,False,optimal,1.7493134520506337,1.7493134520506337,1.749313452050631,1.5231891437048475e-15,True,211.6287695,True,True,True,True,True,True,True,none,stage1__high_imbalance_seed3202__c5_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__high_imbalance_seed3202__c5_candidate__300s
stage2,moderate_seed3302,moderate,20,3,P-GRB,0,300,0,False,time_limit,0.219953022089018,0.19563620654901237,0.12931018892684115,0.33902731397296176,False,295.0201237,False,False,False,False,False,False,False,,stage2__moderate_seed3302__p_grb__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage2__moderate_seed3302__p_grb__300s
