interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,interval_closure_source,interval_closure_source_detail,interval_requires_pricing_closure,interval_pricing_closure_satisfied,interval_oracle_used_for_certificate,interval_oracle_is_diagnostic_only,interval_relaxation_bound_valid,interval_bpc_tree_nodes,interval_bpc_pricing_calls,interval_bpc_exact_pricing_closed,interval_final_lb,interval_final_ub_cutoff,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason,oracle_bound_merged,oracle_bound_value,oracle_bound_status,oracle_bound_source_json,oracle_bound_solver_status,oracle_bound_model_type,oracle_bound_valid,lower_bound_before_oracle,lower_bound_after_oracle,lower_bound_improvement_by_oracle,leaf_closed_by_oracle_bound
0,0,0.0893001458021,0.357200583208,0.357200583208,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.357200583208,0.357200583208,0,0,0,0,0,0,0,13.6797572,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
1,0.0893001458021,0.178600291604,0.357200583208,0.357200583208,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.357200583208,0.357200583208,0,0,0,0,0,0,0,12.1549184,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
2,0.178600291604,0.267900437406,0.281588031688,0.357200583208,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.281588031688,0.357200583208,0,1,0,0,0,0,0,25.484289,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
3,0.267900437406,0.357200583208,0.357200583208,0.357200583208,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.357200583208,0.357200583208,0,0,0,0,0,0,0,4.5528024,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
4,0.178600291604,0.223250364505,0.31232723113,0.357200583208,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.31232723113,0.357200583208,0,1,0,0,0,0,0,27.5732434,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
5,0.223250364505,0.267900437406,0.326238104589,0.357200583208,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.326238104589,0.357200583208,0,1,0,0,0,0,0,17.6924021,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
6,0.178600291604,0.200925328055,0.357200583208,0.357200583208,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.357200583208,0.357200583208,0,0,0,0,0,0,0,9.4443979,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
7,0.200925328055,0.223250364505,0.33352498689,0.357200583208,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.33352498689,0.357200583208,0,1,0,0,0,0,0,25.2984221,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
8,0.223250364505,0.245575400956,0.342009397922,0.357200583208,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.342009397922,0.357200583208,0,1,0,0,0,0,0,21.0369006,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
9,0.245575400956,0.267900437406,0.34856314104,0.357200583208,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.34856314104,0.357200583208,0,1,0,0,0,0,0,17.3837435,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
