state_id,arm,policy,mode,cap_seconds,executable_sha256,completion_status,rows,columns,nonzeros,station_state_formulation,selector_variables,perspective_variables,aggregate_mccormick_rows,engineering_gate,certificate,false_certificate,lower_bound,verified_upper_bound,gap,normalized_gap_integral,work,time_seconds,nodes,simplex_iterations,root_bound,root_work,root_time_seconds,model_build_seconds,peak_memory_gb,artifact_dir
D1,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,3764,1404,16888,bit-product,0,0,0,True,False,False,0.04447177519960082,0.04500155005562836,0.011772369071124432,0.06379130368334347,410.82610618060073,298.0290397,32560,5084181,0.0318546,2.27425,1.48982,0.0333662,0.075242444,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D1
D2,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,2650,1037,10431,bit-product,0,0,0,True,True,False,0.5045438314681878,0.5045438521642074,4.101926814885713e-08,0.004074430788562569,5.887136926710325,4.3837917,1036,63167,0.207378,1.80014,1.58109,0.020609,0.019458929,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D2
D3,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,3757,1402,16319,bit-product,0,0,0,True,True,False,0.5063433075652058,0.506343307565206,2.1926290088907398e-16,0.0875486054310061,237.58013341940048,165.0395017,30167,1403089,0.110065,3.31881,2.26958,0.042171,0.092616821,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D3
D4,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,3757,1402,16319,bit-product,0,0,0,True,True,False,0.5063433075652061,0.506343307565206,0,0.02745142194506266,76.62864505252162,53.3378469,11847,433563,0.111279,2.94331,1.88262,0.0314467,0.055245124,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D4
D5,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,3757,1402,16465,bit-product,0,0,0,True,True,False,1e+100,0.506422789224163,0,0.0007029081234206054,2.410371655279133,1.6997791,39,8494,0.333313,2.03148,1.36778,0.0298458,0.030931842,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D5
D6,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,2731,1014,11129,bit-product,0,0,0,True,True,False,0.7062530985290787,0.7062530985290749,0,0.0022067425569310874,6.662700217151986,4.707336,1661,66266,0.373761,1.44041,1.11721,0.0235621,0.022348719,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D6
D7,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,2731,1014,11129,bit-product,0,0,0,True,True,False,0.7062530985290773,0.7062530985290749,0,0.0013824249567241603,3.558399959665791,2.7501502,609,26789,0.381768,1.41823,1.02636,0.0217558,0.020490386,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D7
D8,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,2731,1014,11271,bit-product,0,0,0,True,True,False,1e+100,0.7062530985290749,0,0.0003379176940888818,0.25206055457594456,0.2584064,1,946,0.65489,0.156668,0.105711,0.0253092,0.01221329,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D8
D9,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,10870,3372,53465,bit-product,0,0,0,True,False,False,0.5429068341143815,0.6007044366851081,0.09621637371229272,0.11652051786746741,594.309182262515,298.0426735,1393,1238634,0.442623,34.5047,16.4312,0.0931242,0.161635516,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D9
D10,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,300,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,10870,3372,53465,bit-product,0,0,0,True,True,False,1e+100,0.6007044366851081,0,0.016360507866293002,199.30559044359478,109.9300072,802,264564,0.464036,26.6136,14.7882,0.0854081,0.146988253,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_d1_d14_300s/F0-CLEAN/D10
