leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.23749999999999999,0,2.7841075712429042,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.23749999999999999,0.47499999999999998,0.23749999999999999,2.7349405112717182,replaced,1,1,0,2.6553649149201735,0,1,1,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L2,"",0,-1,0.47499999999999998,0.71249999999999991,0.47499999999999998,2.7752919840251629,open,1,1,0,2.6622174573541013,1,1,1,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound;native_terminal_mip_bound"
L3,"",0,-1,0.71249999999999991,0.94999999999999996,0.71249999999999991,2.7841075712429042,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1.0,"L1",1,0,0.23749999999999999,0.35624999999999996,2.7349405112717182,2.7841075712429042,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L1.1,"L1",1,1,0.35624999999999996,0.47499999999999998,2.7349405112717182,2.7352836679550601,open,1,1,0,2.6937870705895293,0,1,1,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound"
