run_id,panel_row_id,arm,completion_marker_valid,artifact_manifest_valid,result_hash_valid,root_coverage_valid,parent_child_coverage_valid,lifecycle_complete,global_bound_monotone,leaf_bounds_monotone,feasibility_gate,strict_certificate,false_certificate,all_gates_pass
diagnostic_r36_08_tight_T_seed5102__c6,r36_08_tight_T_seed5102,C6,True,True,True,True,True,True,True,True,True,False,False,True
diagnostic_r36_08_tight_T_seed5102__g1,r36_08_tight_T_seed5102,G1,True,True,True,True,True,True,True,True,True,False,False,True
diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__c6,r36_09_round31_sealed_moderate_V50_seed1112848618,C6,True,True,True,True,True,True,True,True,True,False,False,True
diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__g1,r36_09_round31_sealed_moderate_V50_seed1112848618,G1,True,True,True,True,True,True,True,True,True,False,False,True
diagnostic_r36_10_high_imbalance_seed6202__c6,r36_10_high_imbalance_seed6202,C6,True,True,True,True,True,True,True,True,True,False,False,True
diagnostic_r36_10_high_imbalance_seed6202__g1,r36_10_high_imbalance_seed6202,G1,True,True,True,True,True,True,True,True,True,False,False,True
