instance_id,component,identical_within_logged_precision,numeric_pairs,max_absolute_delta,max_relative_delta,problem_count,problems
V12_M1,startup,True,3,0.0,0.0,0,
V12_M1,proof_range_and_four_intervals,True,40,0.0,0.0,0,
V12_M1,parent_lp_bounds,True,6,3.1513876563860066e-07,3.1513876563860066e-07,0,
V12_M1,lp_and_child_lookahead,True,48,0.0,0.0,0,
V12_M1,controlling_leaf_sequence,True,3142,0.0,0.0,0,
V12_M1,targets_and_requeues,True,27,4.167915844677239e-07,4.167915844677239e-07,0,
V12_M1,split_decisions,True,10,4.167915844677239e-07,4.167915844677239e-07,0,
V12_M1,closures,True,32,4.3740631161526267e-07,4.3740631161526267e-07,0,
V12_M1,final_objective_and_certificate,True,5,0.0,0.0,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,startup,True,3,0.0,0.0,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,proof_range_and_four_intervals,True,40,0.0,0.0,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,parent_lp_bounds,True,24,4.399846672775709e-06,1.0197766316474855e-06,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,lp_and_child_lookahead,True,96,0.0,0.0,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,controlling_leaf_sequence,True,177,0.0,0.0,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,targets_and_requeues,True,27,4.5553030867395705e-06,1.0735803851097972e-06,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,split_decisions,True,31,4.11260558941251e-06,9.481709622245051e-07,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,closures,True,40,4.5553030867395705e-06,1.0735803851097972e-06,0,
round32_multi_m_high_imbalance_V20_M2_seed1052706459,final_objective_and_certificate,True,5,0.0,0.0,0,
