interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,interval_closure_source,interval_closure_source_detail,interval_requires_pricing_closure,interval_pricing_closure_satisfied,interval_oracle_used_for_certificate,interval_oracle_is_diagnostic_only,interval_relaxation_bound_valid,interval_bpc_tree_nodes,interval_bpc_pricing_calls,interval_bpc_exact_pricing_closed,interval_final_lb,interval_final_ub_cutoff,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason,oracle_bound_merged,oracle_bound_value,oracle_bound_status,oracle_bound_source_json,oracle_bound_solver_status,oracle_bound_model_type,oracle_bound_valid,lower_bound_before_oracle,lower_bound_after_oracle,lower_bound_improvement_by_oracle,leaf_closed_by_oracle_bound
0,0,0.0489090516373,0,0.195636206549,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0,0.195636206549,0,1,0,0,0,0,0,31.7496762,gamma_floor,gamma_floor,fixed,,,,0,0,0,,,,,,,,,,,,
1,0.0489090516373,0.0978181032745,0.144171,0.195636206549,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,interval_exact_cutoff_mip_timeout,false,true,false,true,true,0,0,false,0.144171,0.195636,0,1,0,0,0,0,0,30.4522547,interval_exact_oracle_bound,gamma_floor|interval_exact_oracle_bound,fixed,,,,0,0,0,,true,0.144171,interval_unresolved_timeout,E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3302__tailored_legacy_scheduler_static__300s_auto_oracle\interval_1.json,"time limit exceeded, no integer solution",original_compact_objective_bound,true,0.048909,0.144171,0.095262,false
2,0.0978181032745,0.146727154912,0.169674,0.195636206549,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,interval_exact_cutoff_mip_timeout,false,true,false,true,true,0,0,false,0.169674,0.195636,0,1,0,0,0,0,0,29.6273638,interval_exact_oracle_bound,gamma_floor|interval_exact_oracle_bound,fixed,,,,0,0,0,,true,0.169674,interval_unresolved_timeout,E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3302__tailored_legacy_scheduler_static__300s_auto_oracle\interval_2.json,"time limit exceeded, no integer solution",original_compact_objective_bound,true,0.097818,0.169674,0.071856,false
3,0.146727154912,0.195636206549,0.195636206549,0.195636206549,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.195636206549,0.195636206549,0,0,0,0,0,0,0,9.6590596,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
4,0,0.0244545258186,0.195636206549,0.195636206549,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.195636206549,0.195636206549,0,0,0,0,0,0,0,13.7390885,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
5,0.0244545258186,0.0489090516373,0.0244545258186,0.195636206549,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.0244545258186,0.195636206549,0,1,0,0,0,0,0,30.7424832,gamma_floor,gamma_floor,fixed,,,,0,0,0,,,,,,,,,,,,
6,0.0244545258186,0.0366817887279,0.0244545258186,0.195636206549,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,0.0244545258186,0.195636206549,0,1,0,0,0,0,0,28.5438457,gamma_floor,gamma_floor,fixed,,,,0,0,0,,,,,,,,,,,,
7,0.0366817887279,0.0489090516373,0.0366817887279,0.195636206549,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,0.0366817887279,0.195636206549,0,1,0,0,0,0,0,11.2070417,gamma_floor,gamma_floor,fixed,,,,0,0,0,,,,,,,,,,,,
