field,value
root_model_path,E:\codes\ExactEBRP\results\gf_cplex_equivalent_gurobi_replica_round28\runs\stage1__moderate_seed4301__s0_cplex__300s\global_root.lp
root_lp_fingerprint,fba861a27ff0f8a0
objective_definition,min G + lambda*sum_i(weight_i*e_i)
objective_fingerprint,58dcf10db41c413b
global_row_fingerprint,004efdebaf7554a8
shared_row_factory_version,round19_v2_projected_centering
active_global_families,inventory_conservation|movement_reachability_domains|visit_inventory_linking|global_handling_capacity|support_duration|transfer_compat|verified_incumbent_objective_row
active_interval_local_families,direct_gini_cap_floor|interval_tight_mccormick|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|low_gini_centering|variable_s_centering|sp_product_estimator
active_interval_bound_families,gini_interval_bound
unsupported_active_families,
cplex_environment_count,1
problem_object_count,1
lp_read_build_count,1
root_model_columns,3374
root_model_rows,11911
root_model_nonzeros,67111
CPXmipopt_count,1
CPXmipopt_return_code,0
native_status_code,108
native_status_text,"time limit exceeded, no integer solution"
CPXgetobjval_return_code,1217
native_objective_available,0
native_objective,0
CPXgetbestobjval_return_code,0
native_best_bound_available,1
native_best_bound,0.0052958539809932681
CPXgetmiprelgap_return_code,1217
CPXgetmiprelgap_available,0
CPXgetmiprelgap_value,0
relative_gap_parameter_id,2009
relative_gap_requested,0
relative_gap_setter_return_code,0
relative_gap_getter_return_code,0
relative_gap_effective,0
absolute_gap_parameter_id,2008
absolute_gap_requested,0
absolute_gap_setter_return_code,0
absolute_gap_getter_return_code,0
absolute_gap_effective,0
strict_gap_configuration_valid,1
free_problem_return_code,0
close_environment_return_code,0
free_problem_count,1
close_environment_count,1
solver_finalization_reached,1
lifecycle_valid,1
threads_requested,1
threads_set_return_code,0
threads_get_return_code,0
threads_effective,1
presolve_requested,0
presolve_set_return_code,0
presolve_get_return_code,0
preprocessing_reduce_parameter_id,1057
preprocessing_reduce_requested,0
preprocessing_reduce_set_return_code,0
preprocessing_reduce_get_return_code,0
preprocessing_reduce_effective,0
preprocessing_linear_parameter_id,1058
preprocessing_linear_requested,0
preprocessing_linear_set_return_code,0
preprocessing_linear_get_return_code,0
preprocessing_linear_effective,0
continuous_branch_presolve_valid,1
search_requested,1
search_set_return_code,0
search_get_return_code,0
node_select_requested,1
node_select_set_return_code,0
node_select_get_return_code,0
time_limit_parameter_id,1039
time_limit_requested,258.29660150000001
time_limit_set_return_code,0
time_limit_get_return_code,0
time_limit_effective,258.29660150000001
interval_oracle_count,0
child_process_count,0
child_estimate_mode,parent-copy
row_attachment_mode,full-inherited-pack
row_timing_mode,deferred
interval_local_attachment,forced_local_user_cut_at_first_child_relaxation
interval_local_flag,1
local_rows_attached,116934
theoretical_full_rows,116934
exact_duplicate_rows_omitted,0
delta_rows_attached,116934
theoretical_full_bounds,3948
identical_bounds_omitted,0
delta_bounds_attached,3854
local_row_failures,0
post_row_reoptimizations,80
post_row_reoptimization_failures,0
native_mip_start_attempted,0
native_mip_start_mapping_complete,0
native_mip_start_stored,0
native_mip_start_accepted,0
native_mip_start_failure_reason,
nonoptimal_relaxation_fallbacks,0
solver_final_status,"time limit exceeded, no integer solution"
best_bound_source,CPXgetbestobjval
presolve_effective,0
search_effective,1
dynamic_search_compatibility,rejected_after_reproduced_continuous_branch_sibling_loss
node_select_effective,1
heuristic_frequency_effective,0
probing_effective,0
native_cuts,CPLEX_default
root_connectivity_flow_variant_requested,round20-current
root_connectivity_flow_variant_resolved,round20-current
lp_text_analyzer_rows,11911
lp_text_analyzer_columns,3376
lp_text_analyzer_nonzeros,67111
connectivity_flow_columns,1260
connectivity_flow_upper_link_rows,1260
connectivity_flow_lower_link_rows,0
connectivity_flow_station_balance_rows,60
connectivity_flow_depot_balance_rows,3
connectivity_flow_start_upper_rows,0
connectivity_flow_start_lower_rows,0
connectivity_flow_total_rows,1323
connectivity_flow_total_nonzeros,5160
