comparison_group,row_type,variant,budget_seconds,status,lower_bound,upper_bound,gap,gap_to_cutoff,nodes,json,gini_branch_mode,branch_callback_calls,gini_branches_created,plain_cplex_role,tailored_bc_role,diagnostic_only
moderate_seed3301_low_gini1_60s,baseline_from_gf_compact_bc_lowgini_round,plain,60,interval_unresolved_timeout,0.044912876975,0.0491525526647,0.0862554528678,0.0042396656897,1968,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_plain_60s.json,not_applicable,0,0,benchmark_only,baseline,True
moderate_seed3301_low_gini1_300s,baseline_from_gf_compact_bc_lowgini_round,plain,300,interval_unresolved_timeout,0.045502061979,0.0491525526647,0.0742685880549,0.0036504806857,4365,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_plain_300s.json,not_applicable,0,0,benchmark_only,baseline,True
moderate_seed3301_low_gini1_60s,baseline_from_gf_compact_bc_lowgini_round,current_tailored,60,interval_unresolved_timeout,0.045181063121,0.0491525526647,0.0807992531088,0.0039714795437,2452,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_current_tailored_60s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
moderate_seed3301_low_gini1_300s,baseline_from_gf_compact_bc_lowgini_round,current_tailored,300,interval_unresolved_timeout,0.04752220582,0.0491525526647,0.033169118516,0.0016303368447,11427,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_current_tailored_300s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
moderate_seed3301_low_gini1_60s,baseline_from_gf_compact_bc_lowgini_round,combined_safe,60,interval_unresolved_timeout,0.044612735122,0.0491525526647,0.0923617858399,0.0045398075427,2493,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_60s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
moderate_seed3301_low_gini1_300s,baseline_from_gf_compact_bc_lowgini_round,combined_safe,300,interval_unresolved_timeout,0.046196408037,0.0491525526647,0.0601422401775,0.0029561346277,8044,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_300s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
moderate_seed3301_low_gini2_60s,baseline_from_gf_compact_bc_lowgini_round,plain,60,interval_unresolved_timeout,0.048867537161,0.0491525526647,0.00579859006803,0.0002850055037,3480,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_plain_60s.json,not_applicable,0,0,benchmark_only,baseline,True
moderate_seed3301_low_gini2_300s,baseline_from_gf_compact_bc_lowgini_round,plain,300,interval_unresolved_timeout,0.048894652654,0.0491525526647,0.00524693015354,0.0002578900107,15098,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_plain_300s.json,not_applicable,0,0,benchmark_only,baseline,True
moderate_seed3301_low_gini2_60s,baseline_from_gf_compact_bc_lowgini_round,current_tailored,60,interval_unresolved_timeout,0.048773302847,0.0491525526647,0.00771577053764,0.0003792398177,1488,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_current_tailored_60s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
moderate_seed3301_low_gini2_300s,baseline_from_gf_compact_bc_lowgini_round,current_tailored,300,interval_unresolved_timeout,0.048868998462,0.0491525526647,0.00576886015736,0.0002835442027,5975,results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_current_tailored_300s.json,not_applicable,0,0,static_compact_bc_baseline,baseline,True
