source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,model_type,bound_valid,bound_scope,can_merge_bound,gap_to_cutoff,bound_used_for_merge,closed_by_bound,gini_spread_cuts_added,required_movement_lb,required_movement_cuts_added,global_handling_capacity_lb,global_handling_capacity_cuts_added,transfer_subset_capacity_cuts_added,low_gini_ratio_band_domains_tightened,direct_gini_cap_rows,tight_mccormick_rows,inventory_conservation_rows,movement_reachability_domains,visit_inventory_linking_rows,objective_estimator_cutoff_rows,penalty_lb,support_duration_pair_cuts,support_duration_triple_cuts,transfer_compatibility_cuts,receiver_source_cover_cuts,oracle_strengthening_families_enabled,json_path,lp_path,log_path
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s.auto_oracle.csv,6,0.475,0.59375,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,2.3074208821,0,20.0925297,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.135982299843,2.3074208821,false,190,16,1,1920,1,0,12,1,448,2,12,40,1,8.44738686667,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_6.json,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_6.lp,results\interval_cutoff_work\high_imbalance_seed3201_interval_cutoff_475000000_593750000_1072140770\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s.auto_oracle.csv,7,0.59375,0.7125,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,5.8511934,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,2.44340319194,true,190,18,1,2160,1,0,12,1,448,2,12,40,1,8.44738686667,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_7.json,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_7.lp,results\interval_cutoff_work\high_imbalance_seed3201_interval_cutoff_593750000_712500000_1072160869\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3202_300s.auto_oracle.csv,9,0.5046875,0.534375,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,1.6199114099,0,20.1244988,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.129402032151,1.6199114099,false,190,13,1,1560,1,0,13,1,436,2,13,40,1,3.92809856027,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3202_300s_auto_oracle\interval_9.json,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3202_300s_auto_oracle\interval_9.lp,results\interval_cutoff_work\high_imbalance_seed3202_interval_cutoff_504687500_534375000_1071412990\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048809709088,0,60.1185461,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.000342833576745,0.048809709088,false,190,31,5,3360,1,0,13,1,452,2,4,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_1070629587\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.5274211,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,50,9,4200,1,0,18,1,452,2,3,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_3.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_1070689711\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,7,0.0184322072493,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.046284985002,0,60.1191069,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00286755766275,0.046284985002,false,190,26,4,3000,1,0,11,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_7.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_7.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_24576276_1070690244\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,9,0.0153601727077,0.0184322072493,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,18.8855818,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,25,4,2880,1,0,11,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_9.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_9.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_15360173_18432207_1070750370\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,10,0.0122881381662,0.013824155437,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,2.0124516,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,24,3,2760,1,0,11,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_10.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_10.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_13824155_1070769260\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,11,0.013824155437,0.0153601727077,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,3.3807361,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,25,4,2880,1,0,11,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_11.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_11.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_13824155_15360173_1070771278\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s.auto_oracle.csv,1,0.0489090516373,0.0978181032745,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.14334433612,0,20.1291315,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.052291860429,0.14334433612,false,190,13,2,1560,1,0,10,1,440,2,8,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_1.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_48909052_97818103_1072128751\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s.auto_oracle.csv,2,0.0978181032745,0.146727154912,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.1687901305,0,20.0858406,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.026846066049,0.1687901305,false,190,16,2,1920,1,0,11,1,440,2,8,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_97818103_146727155_1072148888\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s.auto_oracle.csv,7,0.0366817887279,0.0489090516373,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.13883995597,0,20.1184783,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.056796240579,0.13883995597,false,190,11,2,1320,1,0,10,1,440,2,8,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_7.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_7.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_36681789_48909052_1072168978\interval_cutoff.cplex.log
