parent_id,parent_L,parent_U,left_id,left_L,left_U,right_id,right_L,right_U,exact_coverage,atomic_replacement,tolerance
ROOT,0,0.19563620654901237,R,0,0.19563620654901237,NA,0,0,1,true,9.9999999999999995e-08
R,0,0.19563620654901237,R.0,0,0.097818103274506185,R.1,0.097818103274506185,0.19563620654901237,true,true,9.9999999999999995e-08
R.0,0,0.097818103274506185,R.0.0,0,0.048909051637253093,R.0.1,0.048909051637253093,0.097818103274506185,true,true,9.9999999999999995e-08
R.1,0.097818103274506185,0.19563620654901237,R.1.0,0.097818103274506185,0.14672715491175928,R.1.1,0.14672715491175928,0.19563620654901237,true,true,9.9999999999999995e-08
R.0.0,0,0.048909051637253093,R.0.0.0,0,0.024454525818626546,R.0.0.1,0.024454525818626546,0.048909051637253093,true,true,9.9999999999999995e-08
R.0.1,0.048909051637253093,0.097818103274506185,R.0.1.0,0.048909051637253093,0.073363577455879639,R.0.1.1,0.073363577455879639,0.097818103274506185,true,true,9.9999999999999995e-08
R.0.0.0,0,0.024454525818626546,R.0.0.0.0,0,0.012227262909313273,R.0.0.0.1,0.012227262909313273,0.024454525818626546,true,true,9.9999999999999995e-08
R.0.0.1,0.024454525818626546,0.048909051637253093,R.0.0.1.0,0.024454525818626546,0.036681788727939819,R.0.0.1.1,0.036681788727939819,0.048909051637253093,true,true,9.9999999999999995e-08
R.0.0.0.0,0,0.012227262909313273,R.0.0.0.0.0,0,0.0061136314546566366,R.0.0.0.0.1,0.0061136314546566366,0.012227262909313273,true,true,9.9999999999999995e-08
R.0.0.0.1,0.012227262909313273,0.024454525818626546,R.0.0.0.1.0,0.012227262909313273,0.01834089436396991,R.0.0.0.1.1,0.01834089436396991,0.024454525818626546,true,true,9.9999999999999995e-08
R.0.0.1.0,0.024454525818626546,0.036681788727939819,R.0.0.1.0.0,0.024454525818626546,0.030568157273283183,R.0.0.1.0.1,0.030568157273283183,0.036681788727939819,true,true,9.9999999999999995e-08
R.0.0.1.1,0.036681788727939819,0.048909051637253093,R.0.0.1.1.0,0.036681788727939819,0.042795420182596453,R.0.0.1.1.1,0.042795420182596453,0.048909051637253093,true,true,9.9999999999999995e-08
R.0.0.1.0.0,0.024454525818626546,0.030568157273283183,R.0.0.1.0.0.0,0.024454525818626546,0.027511341545954866,R.0.0.1.0.0.1,0.027511341545954866,0.030568157273283183,true,true,9.9999999999999995e-08
R.0.0.1.0.1,0.030568157273283183,0.036681788727939819,R.0.0.1.0.1.0,0.030568157273283183,0.033624973000611499,R.0.0.1.0.1.1,0.033624973000611499,0.036681788727939819,true,true,9.9999999999999995e-08
R.0.0.0.1.0,0.012227262909313273,0.01834089436396991,R.0.0.0.1.0.0,0.012227262909313273,0.015284078636641591,R.0.0.0.1.0.1,0.015284078636641591,0.01834089436396991,true,true,9.9999999999999995e-08
R.0.0.0.1.1,0.01834089436396991,0.024454525818626546,R.0.0.0.1.1.0,0.01834089436396991,0.021397710091298226,R.0.0.0.1.1.1,0.021397710091298226,0.024454525818626546,true,true,9.9999999999999995e-08
R.0.0.1.1.0,0.036681788727939819,0.042795420182596453,R.0.0.1.1.0.0,0.036681788727939819,0.039738604455268139,R.0.0.1.1.0.1,0.039738604455268139,0.042795420182596453,true,true,9.9999999999999995e-08
R.0.0.1.1.1,0.042795420182596453,0.048909051637253093,R.0.0.1.1.1.0,0.042795420182596453,0.045852235909924773,R.0.0.1.1.1.1,0.045852235909924773,0.048909051637253093,true,true,9.9999999999999995e-08
R.0.1.0,0.048909051637253093,0.073363577455879639,R.0.1.0.0,0.048909051637253093,0.061136314546566366,R.0.1.0.1,0.061136314546566366,0.073363577455879639,true,true,9.9999999999999995e-08
R.0.1.1,0.073363577455879639,0.097818103274506185,R.0.1.1.0,0.073363577455879639,0.085590840365192905,R.0.1.1.1,0.085590840365192905,0.097818103274506185,true,true,9.9999999999999995e-08
R.0.0.1.0.0.1,0.027511341545954866,0.030568157273283183,R.0.0.1.0.0.1.0,0.027511341545954866,0.029039749409619023,R.0.0.1.0.0.1.1,0.029039749409619023,0.030568157273283183,true,true,9.9999999999999995e-08
R.0.0.1.0.0.0,0.024454525818626546,0.027511341545954866,R.0.0.1.0.0.0.0,0.024454525818626546,0.025982933682290706,R.0.0.1.0.0.0.1,0.025982933682290706,0.027511341545954866,true,true,9.9999999999999995e-08
R.0.0.1.0.1.0,0.030568157273283183,0.033624973000611499,R.0.0.1.0.1.0.0,0.030568157273283183,0.032096565136947343,R.0.0.1.0.1.0.1,0.032096565136947343,0.033624973000611499,true,true,9.9999999999999995e-08
R.0.0.1.0.1.1,0.033624973000611499,0.036681788727939819,R.0.0.1.0.1.1.0,0.033624973000611499,0.035153380864275663,R.0.0.1.0.1.1.1,0.035153380864275663,0.036681788727939819,true,true,9.9999999999999995e-08
R.0.0.0.1.1.0,0.01834089436396991,0.021397710091298226,R.0.0.0.1.1.0.0,0.01834089436396991,0.01986930222763407,R.0.0.0.1.1.0.1,0.01986930222763407,0.021397710091298226,true,true,9.9999999999999995e-08
R.0.0.0.1.1.1,0.021397710091298226,0.024454525818626546,R.0.0.0.1.1.1.0,0.021397710091298226,0.022926117954962386,R.0.0.0.1.1.1.1,0.022926117954962386,0.024454525818626546,true,true,9.9999999999999995e-08
R.0.0.1.1.0.1,0.039738604455268139,0.042795420182596453,R.0.0.1.1.0.1.0,0.039738604455268139,0.041267012318932296,R.0.0.1.1.0.1.1,0.041267012318932296,0.042795420182596453,true,true,9.9999999999999995e-08
