leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L0,"",0,0,0.048909051637253093,1,1,0,1,0.11390810778313859,"OPTIMAL",1.6603141586088794,0.69455880000000003
L0.0,"L0",1,0,0.024454525818626546,1,1,0,1,0.12718072622373938,"OPTIMAL",0.4970549554933153,1.0186739
L0.1,"L0",1,0.024454525818626546,0.048909051637253093,1,1,0,1,0.12795074422382444,"OPTIMAL",1.7106128131939708,1.7049852999999999
L1,"",0,0.048909051637253093,0.097818103274506185,1,1,0,1,0.13602141227306505,"OPTIMAL",1.005119321443722,2.1900170000000001
L1.0,"L1",1,0.048909051637253093,0.073363577455879639,1,1,0,1,0.13829658349168333,"OPTIMAL",1.0279402976656138,2.6863310999999999
L1.1,"L1",1,0.073363577455879639,0.097818103274506185,1,1,0,1,0.15224934499153531,"OPTIMAL",1.079809633383825,3.1937190000000002
L2,"",0,0.097818103274506185,0.14672715491175928,1,1,0,1,0.16793102793366324,"OPTIMAL",1.0187648552786734,3.6828607
L2.0,"L2",1,0.097818103274506185,0.12227262909313273,1,1,0,1,0.16799921735011053,"OPTIMAL",1.0401872902654878,4.1711412000000001
L2.1,"L2",1,0.12227262909313273,0.14672715491175928,1,1,0,1,0.18761082173341034,"OPTIMAL",0.75585221778159217,4.5768418000000004
L0.0.0,"L0.0",2,0,0.012227262909313273,1,1,0,1,0.14629997828286342,"OPTIMAL",0.58095141036280362,5.5572721999999999
L0.0.1,"L0.0",2,0.012227262909313273,0.024454525818626546,1,1,0,1,0.13356551251543708,"OPTIMAL",0.48802671398722758,5.8837580999999997
L0.1.0,"L0.1",2,0.024454525818626546,0.036681788727939819,1,1,0,1,0.13315081183075003,"OPTIMAL",0.91285945948957947,6.3491004999999996
L0.1.1,"L0.1",2,0.036681788727939819,0.048909051637253093,1,1,0,1,0.13497394130883036,"OPTIMAL",1.432656228469138,6.9696788999999999
L0.1.0.0,"L0.1.0",3,0.024454525818626546,0.030568157273283183,1,1,0,1,0.13624048312373421,"OPTIMAL",0.69221559662453958,7.3691994000000003
L0.1.0.1,"L0.1.0",3,0.030568157273283183,0.036681788727939819,1,1,0,1,0.13651461427267089,"OPTIMAL",0.70929366316712505,7.7843277000000004
L0.0.1.0,"L0.0.1",3,0.012227262909313273,0.01834089436396991,1,1,0,1,0.14103417046926175,"OPTIMAL",0.47609021768399934,8.1080568999999993
L0.0.1.1,"L0.0.1",3,0.01834089436396991,0.024454525818626546,1,1,0,1,0.13676511114282683,"OPTIMAL",0.53722322777881826,8.4440258999999998
L0.1.1.0,"L0.1.1",3,0.036681788727939819,0.042795420182596453,1,1,0,1,0.13726909569495274,"OPTIMAL",1.2368862701442673,8.9934527000000006
L0.1.1.1,"L0.1.1",3,0.042795420182596453,0.048909051637253093,1,1,0,1,0.13847691016803068,"OPTIMAL",1.249019601722331,9.5471611999999997
L0.1.0.0.0,"L0.1.0.0",4,0.024454525818626546,0.027511341545954866,1,1,0,1,0.13811331761649226,"OPTIMAL",0.48807691282282539,9.8778153
L0.1.0.0.1,"L0.1.0.0",4,0.027511341545954866,0.030568157273283183,1,1,0,1,0.13784318724516584,"OPTIMAL",0.5437734483932799,10.219124600000001
L0.1.0.1.0,"L0.1.0.1",4,0.030568157273283183,0.033624973000611499,1,1,0,1,0.13802235169291716,"OPTIMAL",0.54779113521554434,10.5619122
L0.1.0.1.1,"L0.1.0.1",4,0.033624973000611499,0.036681788727939819,1,1,0,1,0.13819724901274916,"OPTIMAL",0.65264603493318418,10.94473
L0.0.1.1.0,"L0.0.1.1",4,0.01834089436396991,0.021397710091298226,1,1,0,1,0.13860369647719725,"OPTIMAL",0.57855015813605515,11.2924121
L0.0.1.1.1,"L0.0.1.1",4,0.021397710091298226,0.024454525818626546,1,1,0,1,0.13836622590440059,"OPTIMAL",0.4949844704833668,11.6157696
L0.1.1.0.0,"L0.1.1.0",4,0.036681788727939819,0.039738604455268139,1,1,0,1,0.13840994015107277,"OPTIMAL",1.1935077684540785,12.154627
L0.1.1.0.1,"L0.1.1.0",4,0.039738604455268139,0.042795420182596453,1,1,0,1,0.13902547698211068,"OPTIMAL",1.1569305470403872,12.682839100000001
L0.1.0.0.1.0,"L0.1.0.0.1",5,0.027511341545954866,0.029039749409619023,1,1,0,1,0.13878187637289657,"OPTIMAL",0.55828792931926174,13.037944599999999
L0.1.0.0.1.1,"L0.1.0.0.1",5,0.029039749409619023,0.030568157273283183,1,1,0,1,0.13867586367583726,"OPTIMAL",0.54184108847008161,13.376742500000001
L0.1.0.1.0.0,"L0.1.0.1.0",5,0.030568157273283183,0.032096565136947343,1,1,0,1,0.13877131378418206,"OPTIMAL",0.53743717225795518,13.7118085
L0.1.0.1.0.1,"L0.1.0.1.0",5,0.032096565136947343,0.033624973000611499,1,1,0,1,0.13886361810089343,"OPTIMAL",0.61863150645940534,14.078146200000001
