leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,closure_source,lower_bound_sources
L0,"",0,-1,0,0.048909051637253093,0,0.11390810778313859,replaced,1,1,0,0.11390810778313859,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L1,"",0,-1,0.048909051637253093,0.097818103274506185,0.048909051637253093,0.13602141227306505,replaced,1,1,0,0.13602141227306505,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L2,"",0,-1,0.097818103274506185,0.14672715491175928,0.097818103274506185,0.16913382052074485,open,1,1,0,0.16793102793366324,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_partial_native_mip_bound"
L3,"",0,-1,0.14672715491175928,0.19563620654901237,0.14672715491175928,0.14672715491175928,open,0,0,0,0,0,"","objective_nonnegative_penalty_G_floor"
L0.0,"L0",1,0,0,0.024454525818626546,0.12718072622373938,0.12718072622373938,replaced,1,1,0,0.12718072622373938,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1,"L0",1,1,0.024454525818626546,0.048909051637253093,0.12795074422382444,0.12795074422382444,replaced,1,1,0,0.12795074422382444,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.0,"L1",1,0,0.048909051637253093,0.073363577455879639,0.13829658349168333,0.13829658349168333,replaced,1,1,0,0.13829658349168333,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.1,"L1",1,1,0.073363577455879639,0.097818103274506185,0.15224934499153531,0.15224934499153531,open,1,1,0,0.15224934499153531,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.0.0,"L0.0",2,0,0,0.012227262909313273,0.14629997828286342,0.14629997828286342,open,1,1,0,0.14629997828286342,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.0.1,"L0.0",2,1,0.012227262909313273,0.024454525818626546,0.13356551251543708,0.13356551251543708,replaced,1,1,0,0.13356551251543708,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0,"L0.1",2,0,0.024454525818626546,0.036681788727939819,0.13315081183075003,0.13315081183075003,replaced,1,1,0,0.13315081183075003,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.1,"L0.1",2,1,0.036681788727939819,0.048909051637253093,0.13497394130883036,0.13497394130883036,replaced,1,1,0,0.13497394130883036,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.0,"L0.1.0",3,0,0.024454525818626546,0.030568157273283183,0.13624048312373421,0.13624048312373421,replaced,1,1,0,0.13624048312373421,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.1,"L0.1.0",3,1,0.030568157273283183,0.036681788727939819,0.13651461427267089,0.13651461427267089,replaced,1,1,0,0.13651461427267089,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.0.1.0,"L0.0.1",3,0,0.012227262909313273,0.01834089436396991,0.14103417046926175,0.14103417046926175,open,1,1,0,0.14103417046926175,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.0.1.1,"L0.0.1",3,1,0.01834089436396991,0.024454525818626546,0.13676511114282683,0.13676511114282683,replaced,1,1,0,0.13676511114282683,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.1.0,"L0.1.1",3,0,0.036681788727939819,0.042795420182596453,0.13726909569495274,0.13726909569495274,replaced,1,1,0,0.13726909569495274,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.1.1,"L0.1.1",3,1,0.042795420182596453,0.048909051637253093,0.13847691016803068,0.13847691016803068,replaced,1,1,0,0.13847691016803068,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.0.0,"L0.1.0.0",4,0,0.024454525818626546,0.027511341545954866,0.13811331761649226,0.13811331761649226,replaced,1,1,0,0.13811331761649226,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.0.1,"L0.1.0.0",4,1,0.027511341545954866,0.030568157273283183,0.13784318724516584,0.13784318724516584,replaced,1,1,0,0.13784318724516584,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.1.0,"L0.1.0.1",4,0,0.030568157273283183,0.033624973000611499,0.13802235169291716,0.13802235169291716,replaced,1,1,0,0.13802235169291716,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.1.1,"L0.1.0.1",4,1,0.033624973000611499,0.036681788727939819,0.13819724901274916,0.13819724901274916,replaced,1,1,0,0.13819724901274916,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.0.1.1.0,"L0.0.1.1",4,0,0.01834089436396991,0.021397710091298226,0.13860369647719725,0.13860369647719725,replaced,1,1,0,0.13860369647719725,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.0.1.1.1,"L0.0.1.1",4,1,0.021397710091298226,0.024454525818626546,0.13836622590440059,0.13836622590440059,replaced,1,1,0,0.13836622590440059,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.1.0.0,"L0.1.1.0",4,0,0.036681788727939819,0.039738604455268139,0.13840994015107277,0.13840994015107277,replaced,1,1,0,0.13840994015107277,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.1.0.1,"L0.1.1.0",4,1,0.039738604455268139,0.042795420182596453,0.13902547698211068,0.13902547698211068,replaced,1,1,0,0.13902547698211068,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.0.1.0,"L0.1.0.0.1",5,0,0.027511341545954866,0.029039749409619023,0.13878187637289657,0.17573098376118979,open,1,1,0,0.13878187637289657,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
L0.1.0.0.1.1,"L0.1.0.0.1",5,1,0.029039749409619023,0.030568157273283183,0.13867586367583726,0.14910604736156646,open,1,1,0,0.13867586367583726,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
