bucket_name,variant,budget_seconds,LB,gap_to_cutoff,objective_estimator_rows,sp_mccormick_rows,sp_estimator_rows,bucket_h_cap_rows
dominant_k4,plain_fixed_interval_mip,300,0.045204487708,0.003948064956699998,0,0,0,0
dominant_k4,plain_fixed_interval_mip,1200,0.048035857993,0.0011166946716999956,0,0,0,0
dominant_k4,static_tailored_compact_bc,300,0.048388162834,0.0007643898306999991,1,4,1,0
dominant_k4,static_tailored_compact_bc,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
dominant_k4,best_combined_paper_safe,300,0.0478618176612,0.0012907350035,1,4,1,0
dominant_k4,best_combined_paper_safe,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
dominant_k4,bucket_ratio_domain_tightening,300,0.0475877807262,0.0015647719384999995,1,4,1,1
dominant_k4,bucket_ratio_domain_tightening,1200,0.0487188313812,0.0004337212834999993,1,4,1,1
dominant_k4,denominator_estimator_strengthening,300,0.0478666730616,0.0012858796030999972,1,4,1,0
dominant_k4,denominator_estimator_strengthening,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
dominant_k4,targeted_low_gini_centering,300,0.0478744320508,0.001278120613900001,1,4,1,0
dominant_k4,targeted_low_gini_centering,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
dominant_k4,transfer_inventory_cuts,300,0.0478839138638,0.0012686388009000016,1,4,1,0
dominant_k4,transfer_inventory_cuts,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
dominant_k4,best_new_combined_paper_safe,300,0.0472899044908,0.0018626481739,1,4,1,1
dominant_k4,best_new_combined_paper_safe,1200,0.0487233640003,0.0004291886643999973,1,4,1,1
adaptive_child,plain_fixed_interval_mip,300,0.044978068667,0.004174483997699999,0,0,0,0
adaptive_child,plain_fixed_interval_mip,1200,0.047188723442,0.0019638292226999976,0,0,0,0
adaptive_child,static_tailored_compact_bc,300,0.048388162834,0.0007643898306999991,1,4,1,0
adaptive_child,static_tailored_compact_bc,1200,0.048388162834,0.0007643898306999991,1,4,1,0
adaptive_child,best_combined_paper_safe,300,0.0483418936082,0.0008106590564999974,1,4,1,0
adaptive_child,best_combined_paper_safe,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
adaptive_child,bucket_ratio_domain_tightening,300,0.048388162834,0.0007643898306999991,1,4,1,1
adaptive_child,bucket_ratio_domain_tightening,1200,0.0487233640003,0.0004291886643999973,1,4,1,1
adaptive_child,denominator_estimator_strengthening,300,0.0483101072025,0.0008424454621999977,1,4,1,0
adaptive_child,denominator_estimator_strengthening,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
adaptive_child,targeted_low_gini_centering,300,0.0483262742494,0.0008262784152999955,1,4,1,0
adaptive_child,targeted_low_gini_centering,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
adaptive_child,transfer_inventory_cuts,300,0.0483156737422,0.0008368789224999992,1,4,1,0
adaptive_child,transfer_inventory_cuts,1200,0.0487233640003,0.0004291886643999973,1,4,1,0
adaptive_child,best_new_combined_paper_safe,300,0.048388162834,0.0007643898306999991,1,4,1,1
adaptive_child,best_new_combined_paper_safe,1200,0.0483887315311,0.000763821133599997,1,4,1,1
dominant_k4,best_new_combined_paper_safe,3600,0.0487638722254,0.0003886804393000015,1,4,1,1
adaptive_child,best_new_combined_paper_safe,3600,0.0487233640003,0.0004291886643999973,1,4,1,1
dominant_k4,best_new_combined_paper_safe,10800,0.04890059983,0.00025195283469999635,1,4,1,1
