serial_order,stage,run_id,panel_ordinal,panel_row_id,instance_id,V,M,scenario,arm,process_cap_seconds,watchdog_seconds
1,exploratory_smoke,smoke_r36_01_V12_M1__c6,1,r36_01_V12_M1,V12_M1,12,1,v12,C6,180,270
2,exploratory_smoke,smoke_r36_01_V12_M1__g2a,1,r36_01_V12_M1,V12_M1,12,1,v12,G2A,180,270
3,exploratory_smoke,smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__c6,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,C6,180,270
4,exploratory_smoke,smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__g2a,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,G2A,180,270
5,exploratory_smoke,smoke_r36_08_tight_T_seed5102__c6,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,C6,180,270
6,exploratory_smoke,smoke_r36_08_tight_T_seed5102__g2a,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,G2A,180,270
7,exploratory_smoke,smoke_r36_09_round31_sealed_moderate_V50_seed1112848618__c6,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,C6,180,270
8,exploratory_smoke,smoke_r36_09_round31_sealed_moderate_V50_seed1112848618__g2a,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,G2A,180,270
9,exploratory_smoke,smoke_r36_10_high_imbalance_seed6202__c6,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,C6,180,270
10,exploratory_smoke,smoke_r36_10_high_imbalance_seed6202__g2a,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,G2A,180,270
11,exploratory_smoke,smoke_r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,C6,180,270
12,exploratory_smoke,smoke_r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__g2a,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,G2A,180,270
