parent_id,depth,phase,eligible,split_point,unconditional,child_lookahead_required,reason
R,0,initial_partition,1,0.097818103274506185,1,false,"accepted_initial_partition_breakpoint"
R.0,1,initial_partition,1,0.048909051637253093,1,false,"accepted_initial_partition_breakpoint"
R.1,1,initial_partition,1,0.14672715491175928,1,false,"accepted_initial_partition_breakpoint"
R.0.0,2,adaptive_refinement,1,0.024454525818626546,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.1,2,adaptive_refinement,1,0.073363577455879639,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.0,3,adaptive_refinement,1,0.012227262909313273,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1,3,adaptive_refinement,1,0.036681788727939819,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.0.0,4,adaptive_refinement,1,0.0061136314546566366,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.0.1,4,adaptive_refinement,1,0.01834089436396991,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.0,4,adaptive_refinement,1,0.030568157273283183,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.1,4,adaptive_refinement,1,0.042795420182596453,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.0.0,5,adaptive_refinement,1,0.027511341545954866,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.0.1,5,adaptive_refinement,1,0.033624973000611499,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.0.1.0,5,adaptive_refinement,1,0.015284078636641591,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.0.1.1,5,adaptive_refinement,1,0.021397710091298226,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.1.0,5,adaptive_refinement,1,0.039738604455268139,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.1.1,5,adaptive_refinement,1,0.045852235909924773,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.1.0,3,adaptive_refinement,1,0.061136314546566366,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.1.1,3,adaptive_refinement,1,0.085590840365192905,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.0.0.1,6,adaptive_refinement,1,0.029039749409619023,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.0.0.0,6,adaptive_refinement,1,0.025982933682290706,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.0.1.0,6,adaptive_refinement,1,0.032096565136947343,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.0.1.1,6,adaptive_refinement,1,0.035153380864275663,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.0.1.1.0,6,adaptive_refinement,1,0.01986930222763407,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.0.1.1.1,6,adaptive_refinement,1,0.022926117954962386,1,false,"accepted_unconditional_adaptive_midpoint"
R.0.0.1.1.0.1,6,adaptive_refinement,1,0.041267012318932296,1,false,"accepted_unconditional_adaptive_midpoint"
