event,source,generation,source_elapsed_seconds,content_sha256,duplicate,verifier_passed,published,objective,verification_seconds,reason
0,hga_initial_population_best,0,0.0028928999999999999,b4da1ca47a36186ba9d69ab62f758776a4e47300d3b4bce5ed1cb91189748de1,0,1,1,0.29692737300221939,1.7999999999999999e-06,published_monotone_verified_upper_bound
1,hga_initial_population_best,0,0.0029136000000000001,add7b42c984fbd4a75c7376def0c4fdbd474e6d33ca6a46b173619bb8c476231,0,1,1,0.20450174378997543,7.9999999999999996e-07,published_monotone_verified_upper_bound
2,hga_initial_population_best,0,0.0029190000000000002,b994ca4172da1a767dce3b74cd0ff3d391c5b0f35d12bf65453f0d158f18e121,0,1,1,0.047527440420317035,7.9999999999999996e-07,published_monotone_verified_upper_bound
3,hga_initial_population_best,0,0.0029244000000000002,128fbdb0cab0f9c51ae922aa84d4a7a9ea06894788a681a02e284545a6704bf9,0,1,1,0.043101797623452009,3.4999999999999999e-06,published_monotone_verified_upper_bound
4,hga_initial_population_best,0,0.0029326000000000001,badd5ce17e119a579c649defaedfb7b9f1a9cb4df97328b80630a107150a3653,0,1,1,0.037428391514941511,6.9999999999999997e-07,published_monotone_verified_upper_bound
5,hga_strict_improvement,1,0.0063810999999999998,244b0d331a2d755c2953c21f4e28d13644dfc9a41a203bd0d363f932439736f5,0,1,1,0.024544558066395512,1.3e-06,published_monotone_verified_upper_bound
6,hga_strict_improvement,3,0.0155468,17f31f27bfddfd6845620527228992110ee38696eb663cab991fa446b1c96c5e,0,1,1,0.022368290896060433,3.8999999999999999e-06,published_monotone_verified_upper_bound
7,hga_strict_improvement,6,0.027334600000000001,3c64c209a0967f984e0cd3e85fc5bf342c2f6bc58f686558b85ea63c64b53b6d,0,1,1,0.021843246664897491,4.6e-06,published_monotone_verified_upper_bound
8,hga_strict_improvement,11,0.0469346,9f047ee3470ec398d0b1edae5cdf259e435e204002073f6c1bbccb9ef3684e82,0,1,1,0.021283067139923763,4.8999999999999997e-06,published_monotone_verified_upper_bound
9,hga_strict_improvement,13,0.056947200000000003,3bd93284f8dc18defaaeba4b6524ecc9bf1f0cc1652186bfd2db234f6a87c85f,0,1,1,0.020865507671712715,4.4000000000000002e-06,published_monotone_verified_upper_bound
10,hga_strict_improvement,17,0.0748167,e04b97de792ee99edc7c9ecdefdce637e61a95820fbacf89f91f3f63a91cd228,0,1,1,0.020727638734787314,1.7e-06,published_monotone_verified_upper_bound
11,hga_strict_improvement,27,0.11638030000000001,935bc9e637f558b8735b0b116a29b88eef489fe7a5feda4dcd50a7a3da730ab4,0,1,1,0.020382503842219304,1.9e-06,published_monotone_verified_upper_bound
