leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"OPTIMAL",0,16.911705699999999,0.0019998550415039062,0.00030561462430711561,0,17,0,0.00042425200000000002,375c0da72e9eab427db93e371fa957fabd6a184d60a31a46099c2a2ff258b498,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0_lp.gurobi.log"
L0.0,LP,"INFEASIBLE",0,16.8933727,0.00099992752075195312,3.7237000000000003e-05,0,0,0,0.00046285299999999999,a8c5fb71f957f9bfa2ee6c7e29ff2f446eb7fdabeb08bd38c31dcbf8aacb8c17,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.0_lp.gurobi.log"
L0.1,LP,"OPTIMAL",0,16.877640100000001,0.00099992752075195312,0.00038490443101229626,0,20,0,0.00054959200000000001,bb57a7b11ad3682493c18e20ea7feaa4fc29d74c49107c16dc917525a810625c,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1_lp.gurobi.log"
L0.1.0,LP,"OPTIMAL",0,16.860545900000002,0.00099992752075195312,0.0003806499991458116,0,19,0,0.00054959200000000001,0dd9528ed9d9ad282238f544e220e6fa681646c82d9c1a5531e7e6fc00500147,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0_lp.gurobi.log"
L0.1.1,LP,"INFEASIBLE",0,16.843856200000001,0,3.3569499999999998e-05,0,0,0,0.00054959200000000001,a41aa82b6b151fda0ca75b10def61c5bd26b634f6140fef8ef7c0d9d8c2e9203,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.1_lp.gurobi.log"
L0.1.0.0,LP,"INFEASIBLE",0,16.827095700000001,0,3.8452999999999999e-05,0,0,0,0.00054959200000000001,632982ac17dcf736b6c423f1cbcb8c0bf7430487d18503b592627cc4f272c8c8,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.0_lp.gurobi.log"
L0.1.0.1,LP,"OPTIMAL",0,16.8122349,0.0010001659393310547,0.00037461727415369746,0,19,0,0.00055021099999999999,132f142518c6703b3fa122ab48b33edb3e0a7fa404bc59701ff010cbcd31c23e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1_lp.gurobi.log"
L0.1.0.1.0,LP,"OPTIMAL",0,16.795854599999998,0.00099992752075195312,0.00037513327152211858,0,19,0,0.00055021099999999999,0dfe03e9cd3f5982535b60450b351919b30aa0ac51562d824002be5b134cc3ba,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0_lp.gurobi.log"
L0.1.0.1.1,LP,"INFEASIBLE",0,16.779259199999998,0.0010001659393310547,3.34715e-05,0,0,0,0.00055021099999999999,0794038a1001ff237a964b86994e8d078127595edcda16531ba05fbca02e093e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.1_lp.gurobi.log"
L0.1.0.1.0.0,LP,"OPTIMAL",0,16.763685200000001,0.0010001659393310547,0.00038019434065524548,0,19,0,0.00055021099999999999,63c53ba44a68b6314df0ac74f0cdea0772c036d4ed0c6626d3d1beaf449384e7,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.0_lp.gurobi.log"
L0.1.0.1.0.1,LP,"INFEASIBLE",0,16.747661799999999,0,3.34715e-05,0,0,0,0.00055021099999999999,265d7ac943a02514c236059bb8c29a6af761bee13acce33d9e61adcde0a9c062,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.1_lp.gurobi.log"
L0.1.0.1.0.0.0,LP,"OPTIMAL",0,16.731387900000001,0.00099992752075195312,0.00038894011923109651,0,22,0,0.00055021099999999999,fcab84b33df94b69cd5c56bf05d9f32ed11c076fea08366d76c24b7ac700f2b4,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.0.0_lp.gurobi.log"
L0.1.0.1.0.0.1,LP,"INFEASIBLE",0,16.715002599999998,0,3.34715e-05,0,0,0,0.00055021099999999999,e36bd28dc8d8c97edf9f189abeaf3847258d1d99aee3c3089cc06d177c1baa79,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.0.1_lp.gurobi.log"
L0.1.0.1.0.0.0.0,LP,"INFEASIBLE",0,16.699562199999999,0,3.8452999999999999e-05,0,0,0,0.00055021099999999999,f01944cb4c49a8fb3426b4bf2fc8c9ca7aa4a6328dbe4b0b0b94a4d5e7da9d71,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.0.0.0_lp.gurobi.log"
L0.1.0.1.0.0.0.1,LP,"OPTIMAL",0,16.6839963,0,0.00038891606923109644,0,22,0,0.00055021900000000001,713fd01612dd50e216b38d87a9fc9166effee550d65ae79dede5ecf04e98e870,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.0.0.1_lp.gurobi.log"
L0.1.0.1.0.0.0.1.0,LP,"INFEASIBLE",0,16.666661699999999,0,3.8452999999999999e-05,0,0,0,0.00055021900000000001,65c96d3809ed4c97fcfa9f2db845b85e890860732478a1b299f5a74b2ce04e24,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.0.0.1.0_lp.gurobi.log"
L0.1.0.1.0.0.0.1.1,LP,"OPTIMAL",0,16.650444100000001,0.00099992752075195312,0.00038891931923109647,0,22,0,0.00055022100000000004,180125f3cc03aa0be791ff88328361b62563583afdb617218b3972d8c1b58e49,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.0.0.1.1_lp.gurobi.log"
L0.1.0.1.0.0.0.1.1,MIP,"OPTIMAL",0,16.644069900000002,0.00099992752075195312,0.00035508253529785883,0,0,0,0.00055022100000000004,180125f3cc03aa0be791ff88328361b62563583afdb617218b3972d8c1b58e49,1,0,"not_requested","E:\codes\ExactEBRP-round66\results\unified_exact_round66\local_raw\native_correctness\micro\ARC\external\native_logs\L0.1.0.1.0.0.0.1.1_terminal_mip.gurobi.log"
