query,vehicle,model_reused,work_limit,time_limit,columns,rows
0,0,0,29.922132390780977,14.999693300000001,288,456
1,1,0,29.920686742541918,14.9997737,288,456
2,2,0,29.920004106769486,14.9997773,288,456
3,0,1,29.762271276797378,14.999892900000001,288,456
4,1,1,29.761997890694097,14.9998288,288,456
5,2,1,29.761739432193551,14.9998267,288,456
6,0,1,29.727615774354955,14.999848,288,456
7,1,1,29.727332176553972,14.999900800000001,288,456
8,0,1,29.562571102248519,14.9998957,288,456
9,1,1,29.56237743875618,14.9999024,288,456
10,2,1,29.562247043773358,14.999832700000001,288,456
11,0,1,29.269511385183776,14.999891399999999,288,456
