"instance","variant","focused_retry_attempts","focused_retry_intervals","focused_retry_lb_improvements","focused_retry_seconds","focused_retry_stopped_reason","result_file"
"v12_m1_average","baseline_round3","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_baseline_round3.json"
"v12_m1_average","improved_full","0","0","0","3E-06","completed_retry_passes","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_improved_full.json"
"v12_m1_average","improved_full_long","0","0","0","2.4E-06","completed_retry_passes","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_improved_full_long.json"
"v12_m1_average","route_mask_support_only","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_route_mask_support_only.json"
"v12_m1_average","strong_incumbent_only","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_strong_incumbent_only.json"
"v12_m1_average","support_both","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_support_both.json"
"v12_m1_average","support_pricing_only","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_support_pricing_only.json"
"v12_m2_average","baseline_round3","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_baseline_round3.json"
"v12_m2_average","improved_full","0","0","0","2.2E-06","completed_retry_passes","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_improved_full.json"
"v12_m2_average","improved_full_long","0","0","0","2.2E-06","completed_retry_passes","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_improved_full_long.json"
"v12_m2_average","route_mask_support_only","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_route_mask_support_only.json"
"v12_m2_average","strong_incumbent_only","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_strong_incumbent_only.json"
"v12_m2_average","support_both","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_support_both.json"
"v12_m2_average","support_pricing_only","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_support_pricing_only.json"
"v4_smoke","baseline_round3","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_baseline_round3.json"
"v4_smoke","improved_full","0","0","0","0","","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_improved_full.json"
"v4_smoke","improved_full_long","0","0","0","0","","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_improved_full_long.json"
"v4_smoke","route_mask_support_only","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_route_mask_support_only.json"
"v4_smoke","strong_incumbent_only","0","0","0","0","","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_strong_incumbent_only.json"
"v4_smoke","support_both","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_support_both.json"
"v4_smoke","support_pricing_only","0","0","0","0","disabled","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_support_pricing_only.json"
