baseline_policy,candidate_policy,state_id,big_m_affected,d13_mandatory_negative_control,vehicle_count,station_count,identical_vehicle_capacities,objective_section_identical,bounds_and_types_identical,baseline_rows,candidate_rows,removed_cardinality_rows,added_route_start_rows,all_non_symmetry_rows_identical,candidate_row_formula_valid,optimal_representative_preserved,status,failure_reason
m1-tight-big-m-v0,m1-s1-route-start-order,D1,true,false,3,12,true,true,true,16049,16049,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D2,true,false,3,10,true,true,true,5719,5719,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D3,true,false,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D4,true,false,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D5,true,false,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D6,true,false,2,12,true,true,true,10921,10921,1,1,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D7,true,false,2,12,true,true,true,10921,10921,1,1,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D8,true,false,2,12,true,true,true,10921,10921,1,1,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D9,false,false,3,20,true,true,true,10870,10870,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D10,false,false,3,20,true,true,true,10870,10870,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D11,false,false,3,20,true,true,true,10870,10870,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D12,true,false,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D13,false,true,3,20,true,true,true,10884,10884,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,D14,false,false,3,20,true,true,true,10891,10891,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,C1,true,false,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,C2,true,false,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,C3,false,false,3,20,true,true,true,10905,10905,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,C4,false,false,3,20,true,true,true,10863,10863,2,2,true,true,true,pass,none
m1-tight-big-m-v0,m1-s1-route-start-order,C5,false,false,3,20,true,true,true,10870,10870,2,2,true,true,true,pass,none
