stage,source_audit,mechanism,candidate_policy,state_id,baseline_certificate,candidate_certificate,work_ratio,work_absolute_increase,gi_ratio,gi_absolute_increase,gap_ratio,gap_absolute_increase,severe_regression,reason
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D3,false,true,0.7961538926379566,-138.81963587658026,0.6804691220300418,-0.08040659713548151,1.3712362440171052e-15,-0.159901622966683,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D4,true,true,0.7731674982146489,-79.56834095800144,0.857974408787914,-0.013850872707336995,0.0,-2.1926290088907398e-16,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D5,true,true,0.9424593193755784,-1.107014166506623,1.0199640214652597,8.082374114397675e-05,0.0,0.0,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D6,true,true,0.6538011178604822,-17.381426434384203,0.8356054848317634,-0.002237065926969409,0.0,0.0,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D7,true,true,1.0796425101069789,1.8164698132547166,1.1077652884158853,0.0009009074635179179,3.4888497408935964e-08,-4.505755100167881e-09,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D8,true,true,1.037334734101819,0.0687578131201172,1.0364771343172383,8.13215445504556e-05,0.0,0.0,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D9,false,false,0.9707725424648674,-18.882618563293136,0.9901436052596372,-0.001130210180663005,1.0198076181648859,0.0018372809796059902,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D10,true,true,0.9821931967859034,-3.548995428498415,1.0001583626591468,2.339058826409529e-06,0.0,0.0,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D11,false,false,0.9647103161633445,-22.266358017117227,0.9719830669429163,-0.0012028373974552684,0.9557770062075044,-0.0006923105120163597,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D12,true,true,1.0236392161410597,12.649127537366212,1.0847541020714555,0.017717303203037577,1.0,0.0,false,none
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D13,true,false,1.198251415798875,93.14606357668316,0.841586997931419,-0.0028969001380529016,0.0,0.0018103466067606127,true,baseline_certifies_candidate_does_not
symmetry,symmetry_m1_severe_regression_audit.csv,symmetry,m1-s1r-used-first-route-start-order,D14,false,false,0.9439088344152593,-36.14349864857752,1.2597317607430647,0.021272078610150957,4.2174601260823374,0.05003593237977884,true,capped_gap_ratio_and_absolute
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D1,false,false,0.9946643843764077,-1.3647303434549087,1.0020626936308652,0.0004972892682500729,1.0005687642988756,0.00010957719462639792,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D2,true,true,0.9889015055437895,-0.20660217919349222,0.9372154925973631,-0.0017570999303530947,0.0,8.801796076697226e-16,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D3,false,false,0.9982605690082036,-0.458519067396594,1.0008504178789965,0.0002647710753460042,1.005771401414138,0.001545889574802617,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D4,false,false,1.0196721231544985,4.851220260691207,1.0596319977865034,0.013090643290471438,1.5140543997938707,0.05284074872970011,true,capped_gap_ratio_and_absolute
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D5,true,true,1.1314825135032514,2.529566969255164,1.0500482893182974,0.0005057596653599578,0.0,0.0,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D6,true,true,0.8781486391653999,-6.11772762288318,0.9825302575121856,-0.0005932010530628265,0.0,0.0,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D9,false,false,1.0108757317124288,2.5916374142774714,1.0336669282845523,0.004323385862610191,1.035894743473345,0.004124778377665353,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D10,true,true,1.031096402336409,6.19768682832958,1.0001144511781894,4.218186004677216e-06,0.0,0.0,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1,a1-root-sparse-2x2,D11,false,false,0.9968052617776384,-0.7531746124844005,1.0465063366728418,0.0027828831109097396,1.0201905248410323,0.001102123541289933,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D1,false,false,0.9981196249536595,-0.4801590434285856,1.0016043256262743,0.0003869095710496151,1.0005687642988756,0.00010957719462639792,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D2,true,true,1.0827293067758699,1.5400336622682538,0.993861556563063,-0.00017153587549133265,0.0,0.0,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D3,false,false,0.9979864068529316,-0.5304790263418226,1.001270040973132,0.00039536283734903366,1.005771401414138,0.001545889574802617,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D4,false,false,1.0254266689483371,6.2578383184443,0.9822877902550516,-0.0038939388091828453,1.0146206447283823,0.0015060652325062929,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D5,true,true,1.1979923388727824,3.8091367987559863,1.0391811480126327,0.0004000567688525452,0.0,0.0,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D6,true,true,1.149310544058649,7.496356491374847,1.00276873441198,9.421208213096499e-05,0.0,9.674350288089215e-09,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D9,false,false,1.000399566531931,0.09523023146294918,1.0015966571181487,0.000205073448119375,1.0,0.0,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D10,true,true,1.031096402336409,6.19768682832958,1.0018914930193061,6.974091178164887e-05,0.0,0.0,false,none
adaptive,adaptive_branching_severe_regression_audit.csv,A1-R1,a1r-root-sparse-top1,D11,false,false,1.0015766357128038,0.37170986982638965,1.024056281488481,0.0014392906539265338,1.0133061413139237,0.0007263313708419719,false,none
