leaf_id,parent_id,child_index,depth,gamma_L,gamma_U,base_lower_bound,current_lower_bound,cutoff,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,lp_native_status,terminal_mip_started,terminal_native_status,closure_source,model_sha256,row_signature,parent_child_coverage_valid,parent_replaced,lower_bound_sources
R,"",-1,0,0,0.10725273413394144,0,0.0016924392371626496,0.10725273413394144,replaced,1,1,0,0.0016924392371626496,"OPTIMAL",0,"not_run","",8137cef8a592d7b4d33bd811647e69f80608c630fad38e223575f0c91acd0d0f,8137cef8a592d7b4d33bd811647e69f80608c630fad38e223575f0c91acd0d0f,1,1,"objective_nonnegative_penalty_and_root_gini_floor;complete_optimal_interval_lp_bound"
R.0,"R",0,1,0,0.053626367066970722,0.0016924392371626496,0.0016924392371626496,0.10725273413394144,replaced,1,1,0,0.001692377285039745,"OPTIMAL",0,"not_run","",28ee56bfe50c2ea339dc608a804482ba2520790e7eea6cb7a8b5be6342675794,28ee56bfe50c2ea339dc608a804482ba2520790e7eea6cb7a8b5be6342675794,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1,"R",1,1,0.053626367066970722,0.10725273413394144,0.0016924392371626496,0.054748196684815148,0.10725273413394144,replaced,1,1,0,0.054748196684815148,"OPTIMAL",0,"not_run","",5d63e084d0b1bbeea7973c42d5b70b3fbd0ae17ec0bf713fc8a237dca8d8f8d7,5d63e084d0b1bbeea7973c42d5b70b3fbd0ae17ec0bf713fc8a237dca8d8f8d7,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0,"R.0",0,2,0,0.026813183533485361,0.0016924392371626496,0.0016925727951540379,0.10725273413394144,replaced,1,1,0,0.0016925727951540379,"OPTIMAL",0,"not_run","",570973833865eeaa98ae29313d55e47726c607277eaa010442a807365946595f,570973833865eeaa98ae29313d55e47726c607277eaa010442a807365946595f,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.1,"R.0",1,2,0.026813183533485361,0.053626367066970722,0.0016924392371626496,0.027935013151329742,0.10725273413394144,replaced,1,1,0,0.027935013151329742,"OPTIMAL",0,"not_run","",e0b491daa83bf4ff12dfc3ebfff69148b248447b74d861736b9c237994e8f3c1,e0b491daa83bf4ff12dfc3ebfff69148b248447b74d861736b9c237994e8f3c1,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0,"R.0.0",0,3,0,0.01340659176674268,0.0016925727951540379,0.0017279597593749347,0.10725273413394144,replaced,1,1,0,0.0017279597593749347,"OPTIMAL",0,"not_run","",3687bc361f1559d99d72ca790e13a749baa284afe2314a8127835b6e1644063b,3687bc361f1559d99d72ca790e13a749baa284afe2314a8127835b6e1644063b,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1,"R.0.0",1,3,0.01340659176674268,0.026813183533485361,0.0016925727951540379,0.014528421384587114,0.10725273413394144,replaced,1,1,0,0.014528421384587114,"OPTIMAL",0,"not_run","",c5305204b98eee17a1d277b9fc9de981027373b4c38a7022a14fa1b8b05f6a8a,c5305204b98eee17a1d277b9fc9de981027373b4c38a7022a14fa1b8b05f6a8a,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.1.0,"R.0.1",0,3,0.026813183533485361,0.040219775300228043,0.027935013151329742,0.027935013151329742,0.10725273413394144,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
R.0.1.1,"R.0.1",1,3,0.040219775300228043,0.053626367066970722,0.027935013151329742,0.027935013151329742,0.10725273413394144,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
R.1.0,"R.1",0,2,0.053626367066970722,0.080439550600456086,0.054748196684815148,0.054748196684815148,0.10725273413394144,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
