leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L0,"",0,0,0.038485115501984357,1,1,0,1,0.11754996384998385,"OPTIMAL",0.10574203290794118,0.135349
L1,"",0,0.038485115501984357,0.076970231003968714,1,1,0,1,0.11849893164089166,"OPTIMAL",0.11310082592645877,0.26174019999999998
L2,"",0,0.076970231003968714,0.11545534650595307,1,1,0,1,0.14358980098770613,"OPTIMAL",0.13259188598875207,0.39394869999999998
L3,"",0,0.11545534650595307,0.15394046200793743,1,0,1,0,0,"INFEASIBLE",0.12820700060090956,0.52126790000000001
L1.0,"L1",1,0.038485115501984357,0.057727673252976536,1,0,1,0,0,"INFEASIBLE",0.075559329865032832,1.6068351999999999
L1.1,"L1",1,0.057727673252976536,0.076970231003968714,1,1,0,1,0.13265028720639616,"OPTIMAL",0.10578720093615987,1.7306689
L2.0,"L2",1,0.076970231003968714,0.096212788754960893,1,1,0,1,0.14566450591106131,"OPTIMAL",0.11094923855559427,3.5233857999999998
L2.1,"L2",1,0.096212788754960893,0.11545534650595307,1,0,1,0,0,"INFEASIBLE",0.12027939993235173,3.6474731999999999
L1.1.0,"L1.1",2,0.057727673252976536,0.067348952128472625,1,0,1,0,0,"INFEASIBLE",0.10071228427425988,4.4813023999999997
L1.1.1,"L1.1",2,0.067348952128472625,0.076970231003968714,1,1,0,1,0.14005784806403679,"OPTIMAL",0.11991640694446459,4.6060825999999997
L2.0.0,"L2.0",2,0.076970231003968714,0.086591509879464804,1,1,0,1,0.14659996818055143,"OPTIMAL",0.11165710771555427,8.3309172999999994
L2.0.1,"L2.0",2,0.086591509879464804,0.096212788754960893,1,1,0,1,0.15307489313934544,"OPTIMAL",0.11877514817033223,8.4692697999999993
