row,interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason
tight_T_seed3101,2,0.053626367067,0.0804395506005,0.053626367067,0.107252734134,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,66.3153785,gamma_floor,gamma_floor,fixed,,,,0,0,0,
tight_T_seed3101,3,0.0804395506005,0.107252734134,0.0804395506005,0.107252734134,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,64.4235877,gamma_floor,gamma_floor,fixed,,,,0,0,0,
tight_T_seed3101,4,0.053626367067,0.0670329588337,0.107252734134,0.107252734134,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,16.5281174,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
tight_T_seed3101,5,0.0670329588337,0.0804395506005,0.0670329588337,0.107252734134,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,63.8890236,gamma_floor,gamma_floor,fixed,,,,0,0,0,
tight_T_seed3101,6,0.0670329588337,0.0737362547171,0.107252734134,0.107252734134,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,15.404026,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
tight_T_seed3101,7,0.0737362547171,0.0804395506005,0.0737362547171,0.107252734134,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,61.4089959,gamma_floor,gamma_floor,fixed,,,,0,0,0,
tight_T_seed3101,8,0.0737362547171,0.0770879026588,0.107252734134,0.107252734134,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,15.2942944,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
tight_T_seed3101,9,0.0770879026588,0.0804395506005,0.0770879026588,0.107252734134,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,61.4073665,gamma_floor,gamma_floor,fixed,,,,0,0,0,
tight_T_seed3101,10,0.0770879026588,0.0787637266296,0.107252734134,0.107252734134,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,15.481712,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
tight_T_seed3101,11,0.0787637266296,0.0804395506005,0.107252734134,0.107252734134,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,30.8168474,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
tight_T_seed3101,12,0.0804395506005,0.0938461423672,0.107252734134,0.107252734134,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,15.4052185,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
tight_T_seed3101,13,0.0938461423672,0.107252734134,0.107252734134,0.107252734134,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,15.2952631,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
tight_T_seed3102,8,0.150176,0.18772,0.450176109171,,unresolved,wrapper synthesized unresolved controlling interval from latest progress checkpoint,none,,,,,1,,,,,,,adaptive_split_inherited_adaptive_split_inherited_cheap_projection_bound,,,,,,,,,
moderate_seed3301,16,0.0092161,0.0093121,0.00921610362464,,unresolved,wrapper synthesized unresolved controlling interval from latest progress checkpoint,none,,,,,10,,,,,,,gamma_floor,,,,,,,,,
moderate_seed3302,17,0.0252187,0.0259829,0.0252187297505,,unresolved,wrapper synthesized unresolved controlling interval from latest progress checkpoint,none,,,,,6,,,,,,,gamma_floor,,,,,,,,,
