progress_log,checkpoints,first_gap,best_gap,final_gap,final_time_seconds
results\gf_compact_bc_timeprofile_round\progress_traces\exact_high_imbalance_seed3201_300s.progress.csv,12,1.0,0.287015734552,0.287015734552,309.3079931
results\gf_compact_bc_timeprofile_round\progress_traces\exact_high_imbalance_seed3202_1200s_static.progress.csv,14,1.0,0.0,0.0,295.1043726
results\gf_compact_bc_timeprofile_round\progress_traces\exact_high_imbalance_seed3202_300s.progress.csv,14,1.0,0.0,0.391638598107,314.3783192
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_1200s.progress.csv,22,1.0,0.75,0.75,569.3108016
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_1200s_static300.progress.csv,22,1.0,0.75,0.83984375,624.9010444
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_300s.progress.csv,16,1.0,0.75,0.75,300.8928872
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_300s_static30.progress.csv,16,1.0,0.75,0.84375,305.4513768
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3302_300s.progress.csv,16,1.0,0.75,0.84375,309.3441229
results\gf_compact_bc_timeprofile_round\progress_traces\exact_tight_T_seed3101_300s.progress.csv,8,1.0,0.0,0.0,76.5301927
results\gf_compact_bc_timeprofile_round\progress_traces\exact_tight_T_seed3102_300s.progress.csv,16,1.0,0.250586342169,0.474370843117,314.5056782
results\gf_compact_bc_timeprofile_round\progress_traces\exact_V100_M5_high_imbalance_300s.progress.csv,2,1.0,0.734821461552,0.734821461552,20.1126548
results\gf_compact_bc_timeprofile_round\progress_traces\exact_V100_M5_moderate_300s.progress.csv,2,1.0,1.0,1.0,20.194167
results\gf_compact_bc_timeprofile_round\progress_traces\exact_V12_M1_300s.progress.csv,22,1.0,0.0241809296353,0.0241809296353,300.53767
results\gf_compact_bc_timeprofile_round\progress_traces\exact_V12_M2_300s.progress.csv,7,1.0,0.0,0.0,72.40276
results\gf_compact_bc_timeprofile_round\progress_traces\exact_V12_M2_300s_static.progress.csv,24,1.0,0.0,0.0,290.1962082
results\gf_compact_bc_timeprofile_round\progress_traces\exact_V50_M3_high_imbalance_300s.progress.csv,2,1.0,0.799308912811,0.799308912811,20.0335408
results\gf_compact_bc_timeprofile_round\progress_traces\exact_V50_M3_moderate_300s.progress.csv,2,1.0,1.0,1.0,20.054452
