run_id,instance,arm,flow_variant,checkpoint_seconds,status,observation_elapsed_seconds,lower_bound,upper_bound,gap,nodes,open_nodes,simplex_iterations,event_source,observation_source,not_observed_reason
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,30,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,60,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,120,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,300,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,600,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,900,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,1200,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,1800,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,2400,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,3000,observed,6.3362537,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f0__3600s,moderate_seed3301,F0,round20-current,3600,observed,3571.3211898,0.04645929906778639,0.04915255266474515,0.00269325359695876,18224,8517,6235304,solver_final,full_precision_final_json,
