elapsed_seconds,event,algorithm_preset,column_tracks,rmp_column_space,relaxed_columns_in_rmp,pricing_engine,large_instance_mode,station_set_backend,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0002408,initial_empty_incumbent,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.493696053863,0,1,0,-1,"","seed_initial",0,0,0,0,0.0002408,0.0002408,0,0,0,0,0
13.2197868,initial_after_seed,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.00515451203429,0.985569698717,4,0,"[0,0.0893001]",cheap_projection_bound,0,1,0.357200583208,0,13.2197868,13.2197868,0,0,0,0,0
27.0789435,interval_relaxation_0,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.0937385386592,0.737574508369,3,1,"[0.0893001,0.1786]",cheap_projection_bound,0,1,0.357200583208,0,27.0789435,13.2197868,13.8589246,0,0,0,0
39.2302354,interval_relaxation_1,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.183038684461,0.487574508369,2,2,"[0.1786,0.2679]",cheap_projection_bound,0,1,0.357200583208,0,39.2302354,13.2197868,26.0101669,0,0,0,0
64.7804968,interval_relaxation_2,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.272338830263,0.237574508369,2,3,"[0.2679,0.357201]",cheap_projection_bound,0,1,0.357200583208,0,64.7804968,13.2197868,51.5602927,0,0,0,0
69.3467189,interval_relaxation_3,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.281588031688,0.211680929636,1,2,"[0.1786,0.2679]",inventory_route_gini_relaxation,1,1,0.357200583208,0,69.3467189,13.2197868,56.1264517,0,0,0,0
97.1732049,adaptive_split_child_4,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.31232723113,0.125625080663,1,4,"[0.1786,0.22325]",inventory_route_gini_relaxation,1,1,0.357200583208,0,97.1732049,13.2197868,83.9528551,0,0,0,0
114.8836278,adaptive_split_child_5,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.31232723113,0.125625080663,2,4,"[0.1786,0.22325]",inventory_route_gini_relaxation,2,1,0.357200583208,0,97.1732049,13.2197868,101.6632325,0,0,0,0
124.2721334,adaptive_split_child_6,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.326238104589,0.0866809296366,1,5,"[0.22325,0.2679]",inventory_route_gini_relaxation,1,1,0.357200583208,0,124.2721334,13.2197868,111.0516865,0,0,0,0
149.8028519,adaptive_split_child_7,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.326238104589,0.0866809296366,2,5,"[0.22325,0.2679]",inventory_route_gini_relaxation,2,1,0.357200583208,0,124.2721334,13.2197868,136.582357,0,0,0,0
170.7938872,adaptive_split_child_8,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,0.357200583208,0.33352498689,0.0662809565028,2,7,"[0.200925,0.22325]",inventory_route_gini_relaxation,2,1,0.357200583208,0,170.7938872,13.2197868,157.5732983,0,0,0,0
