file,method,algorithm_preset,status,certified_original_problem,tailored_bc_enabled,tailored_bc_mode,tailored_bc_callback_available,tailored_bc_source_class,tailored_bc_candidate_projection_checks,tailored_bc_candidate_projection_verified,tailored_bc_candidate_projection_rejections,tailored_bc_candidate_projection_unsupported_mismatches,tailored_bc_candidate_route_projection_checks,tailored_bc_candidate_route_projection_verified,tailored_bc_candidate_route_projection_rejections,tailored_bc_candidate_route_projection_unsupported_mismatches,audit_passed,failures
results\gf_tailored_bc_low_gini_strengthening_round\raw\certificate_basis_test.json,certificate-basis-test,custom,diagnostic_passed,False,False,off,False,off,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_high_imbalance_seed3201_hard_best_combined_paper_safe_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.json,interval-cutoff-oracle,custom,interval_unresolved_timeout,False,False,off,False,off,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_3600s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_compatible_source_transfer_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_compatible_source_transfer_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_full_gini_auto_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_full_gini_auto_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_full_paced_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_full_paced_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_centering_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
