result_package,fresh_run,source_round,run_id,status,wrapper_artifact,certified_original_problem,finalization_source,zero_gap_without_certificate,passed,raw_json_path
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__tight_T_seed3102__tailored_static_no_callback__1800s,wrapper_timeout_noncertified,True,False,wrapper_best_checkpoint,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__tight_T_seed3102__tailored_static_no_callback__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__tight_T_seed3102__tailored_static_no_callback__300s,gcap_frontier_not_closed,False,False,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__tight_T_seed3102__tailored_static_no_callback__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__tight_T_seed3102__tailored_static_no_callback__900s,gcap_frontier_not_closed,False,False,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__tight_T_seed3102__tailored_static_no_callback__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_callback_telemetry_only__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_callback_telemetry_only__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_callback_telemetry_only__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_callback_telemetry_only__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_callback_telemetry_only__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_callback_telemetry_only__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_cheap_cuts__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_cheap_cuts__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_cheap_cuts__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_full_static_baseline__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_full_static_baseline__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_full_static_baseline__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_full_static_baseline__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_full_static_baseline__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_full_static_baseline__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_route_cutset_callback__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_route_cutset_callback__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_route_cutset_callback__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_route_cutset_callback__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_route_cutset_callback__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_route_cutset_callback__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_static_no_callback__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_static_no_callback__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_static_no_callback__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_static_no_callback__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_static_no_callback__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M1__tailored_static_no_callback__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_callback_telemetry_only__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_callback_telemetry_only__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_callback_telemetry_only__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_callback_telemetry_only__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_callback_telemetry_only__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_callback_telemetry_only__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_cheap_cuts__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_cheap_cuts__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_cheap_cuts__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_cheap_cuts__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_cheap_cuts__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_cheap_cuts__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_full_static_baseline__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_full_static_baseline__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_full_static_baseline__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_full_static_baseline__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_full_static_baseline__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_full_static_baseline__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_route_cutset_callback__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_route_cutset_callback__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_route_cutset_callback__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_route_cutset_callback__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_route_cutset_callback__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_route_cutset_callback__900s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_static_no_callback__1800s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_static_no_callback__1800s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_static_no_callback__300s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_static_no_callback__300s.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M2__tailored_static_no_callback__900s,optimal,False,True,solver_final_json,False,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__V12_M2__tailored_static_no_callback__900s.json
