stage,state_id,role,state_kind,changed_model,baseline_certificate,candidate_certificate,certificate_gain,certificate_loss,baseline_work,candidate_work,work_ratio_candidate_over_baseline,baseline_process_time,candidate_process_time,baseline_gap,candidate_gap,gap_ratio_candidate_over_baseline,baseline_gi,candidate_gi,gi_ratio_candidate_over_baseline,baseline_root_work,candidate_root_work,baseline_nodes,candidate_nodes,baseline_iterations_per_node,candidate_iterations_per_node,severe_regression,severe_regression_reason,material_improvement
development,D1,retain historically preferable; severe fragmentation guard,parent,True,False,True,True,False,665.7574622622477,431.25578561192424,0.6477671074786223,298.0681925,277.7324799,0.1625115584040541,3.0838466209851717e-16,1.897616791857828e-15,0.19726555174597207,0.05695807917145957,0.2887380927249128,18.288924836660055,2.2742535608980408,5652,34270,181.13375796178343,157.457397140356,False,none,True
development,D2,complete parent is already easy; harmful-split negative control,parent,True,True,True,False,False,7.798190809248318,5.887136926710325,0.7549362500502597,5.1903764,4.315854,2.529196102638948e-12,4.101926814885713e-08,16218.302766660867,0.004640742565088452,0.0039029990444778497,0.8410289926098192,2.045222607504328,1.800138866056285,1021,1036,78.13614103819785,60.972007722007724,False,none,True
development,D3,strong-control difficult parent,parent,True,True,True,False,False,349.01793759503596,237.58013341940048,0.6807103814104354,185.0273606,145.5796715,4.3852580177814796e-16,2.1926290088907398e-16,0.5,0.11548457341192489,0.07851398192108769,0.6798655404911456,8.373309807405313,3.318805483459207,20399,30167,50.11358399921565,46.510723638412834,False,none,True
development,D4,strong-control exact midpoint left child,child,True,True,True,False,False,129.52841701703966,76.62864505252162,0.5915971708543385,70.0501176,48.2376208,0.0,0.0,1.0,0.04219990768062234,0.025180825725311867,0.5967033367912931,7.784479710399424,2.943307922255173,8604,11847,43.57752208275221,36.59685996454799,False,none,True
development,D5,strong-control exact midpoint right child,child,True,True,True,False,False,8.361526207009655,2.410371655279133,0.2882693416972687,5.089073,1.6512768,0.0,0.0,1.0,0.0019981790376332326,0.0006798638455094782,0.3402417064262426,6.5746066330905775,2.031479495269185,47,39,289.06382978723406,217.7948717948718,False,none,True
development,D6,V12 M2 historically expensive parent,parent,True,True,True,False,False,9.501641712092052,6.662700217151986,0.7012156866189607,6.4091954,4.5833995,6.287961224877803e-16,0.0,0.0,0.003713263537014118,0.0021586780288728132,0.5813425326144864,3.157944615763831,1.4404142635104444,882,1661,53.28798185941043,39.89524382901866,False,none,True
development,D7,V12 M2 exact midpoint left child,child,True,True,True,False,False,5.424760527933533,3.558399959665791,0.6559552152288832,4.0423949,2.6529259,0.0,0.0,1.0,0.0025262818164925732,0.0013402409387936244,0.5305191725024493,2.8434109939986962,1.4182342012497757,455,609,47.487912087912086,43.98850574712644,False,none,True
development,D8,V12 M2 exact midpoint right child,child,True,True,True,False,False,0.6099470937080658,0.25206055457594456,0.4132498657278402,0.633545,0.2546179,0.0,0.0,1.0,0.0008212084390390239,0.0003404138101846176,0.4145279005936288,0.585943298832348,0.15666836668902925,1,1,1024,946,False,none,True
development,D9,tight3102 matched difficult parent,parent,False,False,False,False,False,645.9835160343289,644.9052827015047,0.9983308655622617,298.0435731,298.0436381,0.09275628014997997,0.09275628014997997,1.0,0.11466723679782291,0.11463696520621336,0.9997360048741479,34.51813716096647,34.51813716096647,1585,1585,863.3085173501577,863.3085173501577,False,none,False
development,D10,tight3102 exact midpoint left child,child,False,True,True,False,False,199.30559044359478,199.30559044359478,1.0,99.230069,100.7899118,0.0,0.0,1.0,0.014748009324197217,0.015093501811204177,1.0234263811075917,26.613616465643048,26.613616465643048,802,802,329.8802992518703,329.8802992518703,False,none,False
development,D11,tight3102 exact midpoint right child,child,False,False,False,False,False,630.4591145062127,621.0715408361863,0.9851099405908678,298.0417115,298.0413076,0.01567315442191947,0.015998133816877976,1.020734779114025,0.04295597592379122,0.04331491608273351,1.008356000561577,52.925588401047825,52.925588401047825,4233,4085,440.7325773682967,445.25728274173804,False,none,False
development,D12,numerical-endpoint parent,parent,True,True,True,False,False,257.2047290551788,115.8245560515515,0.4503204761320829,125.8892269,68.4741847,6.316677466488924e-09,1.3725171758618295e-15,2.1728466953446217e-07,0.10700317642611258,0.05106365903778374,0.47721629154667217,9.953195095127542,4.325816349552136,8546,8854,80.448864966066,76.18522701603794,False,none,True
development,D13,high-imbalance difficult K1 interval,child,False,True,True,False,False,469.8380750590921,469.8380750590921,1.0,243.1005691,248.9160019,0.0,0.0,1.0,0.018296258754407255,0.018630653916173613,1.0182766961407237,19.817643564489646,19.817643564489646,14010,14010,95.30292648108494,95.30292648108494,False,none,False
development,D14,moderate3301 difficult K1 interval,child,False,False,False,False,False,643.9168860650122,636.2380197191388,0.9880747554349768,298.0410143,298.0419987,0.015551376060316213,0.015551376060316213,1.0,0.08197366010825913,0.08329112607213922,1.0160718206572716,20.22104519187402,20.22104519187402,6568,6481,427.7492387332521,425.27110013886744,False,none,False
confirmation,C1,numerical-endpoint midpoint left child,child,True,False,False,False,False,126.10066761662394,56.21245087379639,0.44577441131949935,64.4853889,33.9610792,2.7193150457407306e-07,1.7913702960484084e-07,0.6587579099575961,0.016996680066391795,0.009510797831179902,0.5595679741001878,8.928015352512817,4.163434609201704,2478,2193,108.20984665052461,99.52941176470588,False,none,True
confirmation,C2,numerical-endpoint midpoint right child,child,True,True,True,False,False,19.03364861525721,13.644224709072239,0.7168475674251518,11.2885394,8.4305267,0.0,0.0,1.0,0.0013491722975831656,0.0007761706354461827,0.5752939315731378,6.636691761522228,2.820549099816381,722,1513,71.45567867036011,69.70852610707205,False,none,True
confirmation,C3,tight3101 highest-Work K1-AM fixed interval,parent,False,False,False,False,False,2590.302564350318,2590.302564350318,1.0,1198.3528239,1198.160045,0.34370038244258194,0.34370038244258194,1.0,0.43939283458118666,0.43937771506173445,0.999965589972657,26.890767226667865,26.890767226667865,10222,10222,571.2670710232832,571.2670710232832,False,none,False
confirmation,C4,high3202 highest-Work K1-AM fixed interval,child,False,True,True,False,False,306.9041562390463,306.9041562390463,1.0,157.1788016,157.1630113,2.5386485728414124e-16,2.5386485728414124e-16,1.0,0.004325860623038942,0.004332824826311541,1.0016099000590792,21.446884583572782,21.446884583572782,3411,3411,169.98240985048372,169.98240985048372,False,none,False
confirmation,C5,moderate3302 highest-Work K1-AM fixed interval,parent,False,False,False,False,False,2512.188183976839,2508.2252919810767,0.9984225337810925,1198.0507333,1198.0520824,0.25126116903783263,0.25126116903783263,1.0,0.2570891026642612,0.25709533504712057,1.0000242421121501,41.644547607904904,41.644547607904904,8492,8492,562.3928403203015,562.3928403203015,False,none,False
confirmation,C6,additional confirmation K1 root V10 M1 Q30,parent,True,True,True,False,False,0.656998425480512,0.795390837886861,1.2106434460708675,0.6237992,0.8461674,0.0,0.0,1.0,9.626117242860952e-05,8.80373159226539e-05,0.9145672517955804,0.5759788107584182,0.795390837886861,56,1,49.82142857142857,3008,False,none,False
confirmation,C7,additional confirmation K1 root V12 M1 Q20,parent,True,True,True,False,False,4.524969241928158,1.058003595534643,0.23381453861193796,4.1736487,0.9949259,4.108009046149315e-10,0.0,0.0,0.00046061610544380517,0.0001226718027686877,0.2663211323244831,3.778432222018543,0.7750169948607422,150,131,58.61333333333334,45.29770992366412,False,none,True
confirmation,C8,additional confirmation K1 root V10 M1 Q20,parent,True,True,True,False,False,1.5894980634056448,1.0478059125308412,0.6592055295027044,1.3788008,0.9315137,1.3079623402270068e-15,5.605552886687172e-16,0.42857142857142855,0.0002846353030832415,0.00015425428169364832,0.541936576463731,1.183017236246742,0.5814785542507068,226,356,31.809734513274336,30.662921348314608,False,none,True
