leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,iterations,telemetry_seconds
R.0.1.0.0.1.0.0.1.0,"R.0.1.0.0.1.0.0.1",9,0.16053766500315492,0.16163723805112173,1,1,0,1,0.39789833437666949,"OPTIMAL",0.63042368680539795,3254,19.770810099999998
R.0.1.0.0.1.0.0.1.1,"R.0.1.0.0.1.0.0.1",9,0.16163723805112173,0.16273681109908855,1,1,0,1,0.39794909865574923,"OPTIMAL",0.6053065907567613,3333,20.191204899999999
R.0.1.0.0.1.0.1.0.0,"R.0.1.0.0.1.0.1.0",9,0.16273681109908855,0.16383638414705537,1,1,0,1,0.39800606899835334,"OPTIMAL",0.65314269394907665,3247,20.579926799999999
R.0.1.0.0.1.0.1.0.1,"R.0.1.0.0.1.0.1.0",9,0.16383638414705537,0.16493595719502219,1,1,0,1,0.39806919048273137,"OPTIMAL",0.57925302131634293,3194,20.944607099999999
R.0.1.0.0.0.0.1.0.0,"R.0.1.0.0.0.0.1.0",9,0.14514364233161953,0.14624321537958634,1,1,0,1,0.39844674426352222,"OPTIMAL",0.61295127983862197,3092,21.319995599999999
R.0.1.0.0.0.0.1.0.1,"R.0.1.0.0.0.0.1.0",9,0.14624321537958634,0.14734278842755316,1,1,0,1,0.39806017850833947,"OPTIMAL",0.58691452885919249,2811,21.6819065
R.0.1.0.0.0.1.0.1.1.0,"R.0.1.0.0.0.1.0.1.1",10,0.15284065366738719,0.1533904401913706,1,1,0,1,0.39800028120350611,"OPTIMAL",0.70190838106929299,3538,22.080338699999999
R.0.1.0.0.0.1.0.1.1.1,"R.0.1.0.0.0.1.0.1.1",10,0.1533904401913706,0.15394022671535401,1,1,0,1,0.39800005615881046,"OPTIMAL",0.61146563387644703,2975,23.517579300000001
R.0.1.0.0.0.1.0.1.0.0,"R.0.1.0.0.0.1.0.1.0",10,0.15174108061942038,0.15229086714340379,1,1,0,1,0.39800573443442555,"OPTIMAL",0.68100119317132846,3579,24.987739699999999
R.0.1.0.0.0.1.0.1.0.1,"R.0.1.0.0.0.1.0.1.0",10,0.15229086714340379,0.15284065366738719,1,1,0,1,0.39800142388135817,"OPTIMAL",0.61326038451123077,3393,26.424286899999998
R.0.1.0.0.0.1.1.0.0.0,"R.0.1.0.0.0.1.1.0.0",10,0.15394022671535401,0.15449001323933742,1,1,0,1,0.39800186709403268,"OPTIMAL",0.59942220605555618,2963,27.827759100000002
R.0.1.0.0.0.1.1.0.0.1,"R.0.1.0.0.0.1.1.0.0",10,0.15449001323933742,0.15503979976332083,1,1,0,1,0.39800570136680352,"OPTIMAL",0.60080656224701601,2959,29.2867423
R.0.1.0.0.0.1.1.0.1.0,"R.0.1.0.0.0.1.1.0.1",10,0.15503979976332083,0.15558958628730424,1,1,0,1,0.39801046869190576,"OPTIMAL",0.60606532023245219,3107,30.700735600000002
R.0.1.0.0.0.1.1.0.1.1,"R.0.1.0.0.0.1.1.0.1",10,0.15558958628730424,0.15613937281128765,1,1,0,1,0.39801812465461811,"OPTIMAL",0.61474164875157711,3027,32.105550299999997
R.0.1.0.0.0.1.0.0.1.0,"R.0.1.0.0.0.1.0.0.1",10,0.15064150757145356,0.15119129409543697,1,1,0,1,0.39802338134387877,"OPTIMAL",0.72065608256297098,3486,33.612242500000001
R.0.1.0.0.0.1.0.0.1.1,"R.0.1.0.0.0.1.0.0.1",10,0.15119129409543697,0.15174108061942038,1,1,0,1,0.39801351327895679,"OPTIMAL",0.66132679600355959,3246,34.752357099999998
R.0.1.0.0.0.1.1.1.0.0,"R.0.1.0.0.0.1.1.1.0",10,0.15613937281128765,0.15668915933527106,1,1,0,1,0.39802693232828018,"OPTIMAL",0.63238985917607238,3021,36.165283199999998
R.0.1.0.0.0.1.1.1.0.1,"R.0.1.0.0.0.1.1.1.0",10,0.15668915933527106,0.15723894585925446,1,1,0,1,0.39803807991844808,"OPTIMAL",0.60979666604734151,3208,37.495882799999997
R.0.1.0.0.0.1.0.0.0.0,"R.0.1.0.0.0.1.0.0.0",10,0.14954193452348677,0.15009172104747015,1,1,0,1,0.39804754672424214,"OPTIMAL",0.69968987550332928,3608,38.887968800000003
R.0.1.0.0.0.1.0.0.0.1,"R.0.1.0.0.0.1.0.0.0",10,0.15009172104747015,0.15064150757145356,1,1,0,1,0.39803459883884151,"OPTIMAL",0.68172633976314045,3353,40.037788200000001
R.0.1.0.0.0.1.1.1.1.0,"R.0.1.0.0.0.1.1.1.1",10,0.15723894585925446,0.15778873238323787,1,1,0,1,0.39805014152865237,"OPTIMAL",0.61306875354859436,3056,41.151575399999999
R.0.1.0.0.0.1.1.1.1.1,"R.0.1.0.0.0.1.1.1.1",10,0.15778873238323787,0.15833851890722128,1,1,0,1,0.39806417130022298,"OPTIMAL",0.6394697501621267,3160,43.114433400000003
R.0.1.0.0.0.0.1.1.1.1,"R.0.1.0.0.0.0.1.1.1",10,0.14899214799950339,0.14954193452348677,1,1,0,1,0.39806189862487545,"OPTIMAL",0.70885660383901183,3574,44.7916776
R.0.1.0.0.0.0.1.1.1.0,"R.0.1.0.0.0.0.1.1.1",10,0.14844236147551998,0.14899214799950339,1,1,0,1,0.39807935137793654,"OPTIMAL",0.61659942658152034,2965,45.8534845
R.0.1.0.0.1.0.0.0.0.0,"R.0.1.0.0.1.0.0.0.0",10,0.15833851890722128,0.15888830543120469,1,1,0,1,0.39808022428629103,"OPTIMAL",0.64495544402807226,3475,46.956583999999999
R.0.1.0.0.1.0.0.0.0.1,"R.0.1.0.0.1.0.0.0.0",10,0.15888830543120469,0.1594380919551881,1,1,0,1,0.39809745908876981,"OPTIMAL",0.62917702993362279,3283,48.625388600000001
R.0.1.0.0.0.0.1.1.0.0,"R.0.1.0.0.0.0.1.1.0",10,0.14734278842755316,0.14789257495153657,1,1,0,1,0.39811954627415197,"OPTIMAL",0.63074200726328222,3114,50.313048600000002
R.0.1.0.0.0.0.1.1.0.1,"R.0.1.0.0.0.0.1.1.0",10,0.14789257495153657,0.14844236147551998,1,1,0,1,0.39809838468639752,"OPTIMAL",0.71458248291674309,3340,51.401981499999998
R.0.1.0.0.1.0.0.0.1.0,"R.0.1.0.0.1.0.0.0.1",10,0.1594380919551881,0.15998787847917151,1,1,0,1,0.39811628658500287,"OPTIMAL",0.60333206853588384,3152,52.679168599999997
R.0.1.0.0.1.0.0.0.1.1,"R.0.1.0.0.1.0.0.0.1",10,0.15998787847917151,0.16053766500315492,1,1,0,1,0.39813669964079235,"OPTIMAL",0.62847724749455036,3070,54.280717199999998
R.0.1.0.0.1.0.0.1.0.0,"R.0.1.0.0.1.0.0.1.0",10,0.16053766500315492,0.16108745152713833,1,1,0,1,0.39815869116448765,"OPTIMAL",0.62467123809849434,3100,55.986333799999997
R.0.1.0.0.1.0.0.1.0.1,"R.0.1.0.0.1.0.0.1.0",10,0.16108745152713833,0.16163723805112173,1,1,0,1,0.39818225410666375,"OPTIMAL",0.62592509718381006,3117,57.650102199999999
R.0.1.0.0.1.0.0.1.1.0,"R.0.1.0.0.1.0.0.1.1",10,0.16163723805112173,0.16218702457510514,1,1,0,1,0.39820738145981238,"OPTIMAL",0.53808717124875749,2948,59.184440700000003
R.0.1.0.0.1.0.0.1.1.1,"R.0.1.0.0.1.0.0.1.1",10,0.16218702457510514,0.16273681109908855,1,1,0,1,0.39823374304553921,"OPTIMAL",0.71065267858966596,3705,60.788057299999998
R.0.1.0.0.1.0.1.0.0.0,"R.0.1.0.0.1.0.1.0.0",10,0.16273681109908855,0.16328659762307196,1,1,0,1,0.39826230157670178,"OPTIMAL",0.57091964434154274,3112,62.364582300000002
R.0.1.0.0.1.0.1.0.0.1,"R.0.1.0.0.1.0.1.0.0",10,0.16328659762307196,0.16383638414705537,1,1,0,1,0.39829208053221071,"OPTIMAL",0.58850386266664834,3295,63.956761100000001
R.0.0.1.1.1.0,"R.0.0.1.1.1",6,0.12315218137228323,0.13194876575601774,1,0,1,0,0,"INFEASIBLE",0.48616732912219135,2298,65.646521300000003
R.0.0.1.1.1.1,"R.0.0.1.1.1",6,0.13194876575601774,0.14074535013975226,1,1,0,1,0.40128730526732642,"OPTIMAL",0.69562955953918926,3115,66.038677199999995
R.0.1.0.0.0.0.1.0.1.0,"R.0.1.0.0.0.0.1.0.1",10,0.14624321537958634,0.14679300190356975,1,1,0,1,0.39850502786814729,"OPTIMAL",0.68423151678141381,3265,66.434236900000002
R.0.1.0.0.0.0.1.0.1.1,"R.0.1.0.0.0.0.1.0.1",10,0.14679300190356975,0.14734278842755316,1,1,0,1,0.3983119383144974,"OPTIMAL",0.58301976886488904,2786,67.452379199999996
R.0.1.0.0.1.0.1.0.1.0,"R.0.1.0.0.1.0.1.0.1",10,0.16383638414705537,0.16438617067103878,1,1,0,1,0.39832339628162111,"OPTIMAL",0.56976030458125748,3176,68.4587547
R.0.1.0.0.1.0.1.0.1.1,"R.0.1.0.0.1.0.1.0.1",10,0.16438617067103878,0.16493595719502219,1,1,0,1,0.39835624202238612,"OPTIMAL",0.58298881240695699,3052,70.236064299999995
R.0.1.0.0.0.0.0.1.0,"R.0.1.0.0.0.0.0.1",9,0.14294449623568589,0.14404406928365271,1,1,0,1,0.3992241658630129,"OPTIMAL",0.75813457786307015,3347,72.336511400000006
R.0.1.0.0.0.0.0.1.1,"R.0.1.0.0.0.0.0.1",9,0.14404406928365271,0.14514364233161953,1,1,0,1,0.39883473936072483,"OPTIMAL",0.6860156770903868,3337,72.730379900000003
R.0.1.0.0.0.0.1.0.0.0,"R.0.1.0.0.0.0.1.0.0",10,0.14514364233161953,0.14569342885560294,1,1,0,1,0.39889227844482278,"OPTIMAL",0.64018988889688178,2836,73.099085200000005
R.0.1.0.0.0.0.1.0.0.1,"R.0.1.0.0.0.0.1.0.0",10,0.14569342885560294,0.14624321537958634,1,1,0,1,0.39869847449242024,"OPTIMAL",0.70629038550971313,3256,74.200278100000006
R.0.1.0.0.1.0.1.1.1,"R.0.1.0.0.1.0.1.1",9,0.166035530242989,0.16713510329095579,1,1,0,1,0.39968140127582474,"OPTIMAL",0.51555498721298054,3284,75.222165799999999
R.0.1.0.0.1.0.1.1.0,"R.0.1.0.0.1.0.1.1",9,0.16493595719502219,0.166035530242989,1,1,0,1,0.39859272227592246,"OPTIMAL",0.55694064800832821,2841,75.569800099999995
R.0.1.0.0.1.0.1.1.0.0,"R.0.1.0.0.1.0.1.1.0",10,0.16493595719502219,0.1654857437190056,1,1,0,1,0.39859285561764884,"OPTIMAL",0.6001074463617343,3129,75.947528199999994
R.0.1.0.0.1.0.1.1.0.1,"R.0.1.0.0.1.0.1.1.0",10,0.1654857437190056,0.166035530242989,1,1,0,1,0.39913161475184133,"OPTIMAL",0.44246995849150322,2627,78.165606100000005
R.0.1.0.0.0.0.0.1.1.0,"R.0.1.0.0.0.0.0.1.1",10,0.14404406928365271,0.14459385580763612,1,1,0,1,0.39928095936527602,"OPTIMAL",0.71386427320957668,3378,80.313124700000003
R.0.1.0.0.0.0.0.1.1.1,"R.0.1.0.0.0.0.0.1.1",10,0.14459385580763612,0.14514364233161953,1,1,0,1,0.39908643998310755,"OPTIMAL",0.75982190240585856,3470,81.386021900000003
R.0.1.0.0.0.0.0.0.0,"R.0.1.0.0.0.0.0.0",9,0.14074535013975226,0.14184492318771907,1,1,0,1,0.40162477533168678,"OPTIMAL",0.74700367113816812,3665,82.478646900000001
R.0.1.0.0.0.0.0.0.1,"R.0.1.0.0.0.0.0.0",9,0.14184492318771907,0.14294449623568589,1,1,0,1,0.39964409868886452,"OPTIMAL",0.77393034290655172,3258,82.905284199999997
R.0.1.0.0.0.0.0.1.0.0,"R.0.1.0.0.0.0.0.1.0",10,0.14294449623568589,0.1434942827596693,1,1,0,1,0.39967145483309768,"OPTIMAL",0.64382426602287213,2846,83.301106799999999
R.0.1.0.0.0.0.0.1.0.1,"R.0.1.0.0.0.0.0.1.0",10,0.1434942827596693,0.14404406928365271,1,1,0,1,0.39947583684958088,"OPTIMAL",0.77331644767932972,3398,84.401417499999994
R.0.1.0.0.0.0.0.0.1.0,"R.0.1.0.0.0.0.0.0.1",10,0.14184492318771907,0.14239470971170248,1,1,0,1,0.40058058339451325,"OPTIMAL",0.70597305434624325,3158,85.436047500000001
R.0.1.0.0.0.0.0.0.1.1,"R.0.1.0.0.0.0.0.0.1",10,0.14239470971170248,0.14294449623568589,1,1,0,1,0.39987964405097998,"OPTIMAL",0.70498493696216435,3082,86.5002365
R.0.1.0.0.1.0.1.1.1.1,"R.0.1.0.0.1.0.1.1.1",10,0.16658531676697241,0.16713510329095579,1,1,0,1,0.40023118779980776,"OPTIMAL",0.50772509088974993,3205,87.452712300000002
R.0.1.0.0.1.0.1.1.1.0,"R.0.1.0.0.1.0.1.1.1",10,0.166035530242989,0.16658531676697241,1,1,0,1,0.39968140127582469,"OPTIMAL",0.58028920106162996,3347,89.822179000000006
R.0.1.0.0.1.1.0,"R.0.1.0.0.1.1",7,0.16713510329095579,0.17153339548282304,1,1,0,1,0.40078097432379151,"OPTIMAL",0.50670382756230981,2855,92.045811799999996
R.0.1.0.0.1.1.0.0,"R.0.1.0.0.1.1.0",8,0.16713510329095579,0.1693342493868894,1,1,0,1,0.40078097432379151,"OPTIMAL",0.50764473268530008,3187,92.391005300000003
R.0.1.0.0.1.1.0.0.0,"R.0.1.0.0.1.1.0.0",9,0.16713510329095579,0.16823467633892258,1,1,0,1,0.40078097432379151,"OPTIMAL",0.49412841128897261,2810,92.728919000000005
R.0.1.0.0.1.1.0.0.0.0,"R.0.1.0.0.1.1.0.0.0",10,0.16713510329095579,0.16768488981493918,1,1,0,1,0.40078097432379151,"OPTIMAL",0.49412831449346883,2810,93.112793800000006
R.0.1.0.0.1.1.0.0.0.1,"R.0.1.0.0.1.1.0.0.0",10,0.16768488981493918,0.16823467633892258,1,1,0,1,0.40133076084777491,"OPTIMAL",0.49414753983873166,2810,95.309229599999995
R.0.1.0.0.1.1.0.0.1,"R.0.1.0.0.1.1.0.0",9,0.16823467633892258,0.1693342493868894,1,1,0,1,0.40188054737175832,"OPTIMAL",0.51209665401520843,3207,97.397100899999998
R.0.1.0.0.1.1.0.1,"R.0.1.0.0.1.1.0",8,0.1693342493868894,0.17153339548282304,1,1,0,1,0.40298012041972509,"OPTIMAL",0.48896314432704679,2781,97.730724800000004
R.0.1.0.0.1.1.1,"R.0.1.0.0.1.1",7,0.17153339548282304,0.17593168767469031,1,1,0,1,0.40517926651565866,"OPTIMAL",0.50466181884990013,2874,98.068555099999998
R.0.0.1.1.1.1.0,"R.0.0.1.1.1.1",7,0.13194876575601774,0.13634705794788499,1,1,0,1,0.43217605330741926,"OPTIMAL",0.64275017829644654,2859,98.441908299999994
R.0.0.1.1.1.1.1,"R.0.0.1.1.1.1",7,0.13634705794788499,0.14074535013975226,1,1,0,1,0.40290664018383537,"OPTIMAL",0.7200848776656511,3329,98.848819500000005
R.0.1.0.0.0.0.0.0.0.0,"R.0.1.0.0.0.0.0.0.0",10,0.14074535013975226,0.14129513666373567,1,1,0,1,0.40307465256922026,"OPTIMAL",0.66477715631830159,3247,99.233075799999995
R.0.1.0.0.0.0.0.0.0.1,"R.0.1.0.0.0.0.0.0.0",10,0.14129513666373567,0.14184492318771907,1,1,0,1,0.40182699541731454,"OPTIMAL",0.75122823281339601,3669,100.2383506
R.0.1.0.0.1.1.0.0.1.0,"R.0.1.0.0.1.1.0.0.1",10,0.16823467633892258,0.16878446286290599,1,1,0,1,0.40188054737175832,"OPTIMAL",0.51209965591520834,3207,101.29418339999999
R.0.1.0.0.1.1.0.0.1.1,"R.0.1.0.0.1.1.0.0.1",10,0.16878446286290599,0.1693342493868894,1,1,0,1,0.40243033389574173,"OPTIMAL",0.51206771722053812,3207,103.5257189
R.0.0.1.1.1.1.1.0,"R.0.0.1.1.1.1.1",8,0.13634705794788499,0.13854620404381862,1,1,0,1,0.4087282684626396,"OPTIMAL",0.73172760889889321,3434,105.7776784
R.0.0.1.1.1.1.1.1,"R.0.0.1.1.1.1.1",8,0.13854620404381862,0.14074535013975226,1,1,0,1,0.40371630946078985,"OPTIMAL",0.66672967104397829,3116,106.15962
R.0.1.0.0.1.1.0.1.0,"R.0.1.0.0.1.1.0.1",9,0.1693342493868894,0.17043382243485622,1,1,0,1,0.40298012041972514,"OPTIMAL",0.55596217449082008,3461,106.5196663
R.0.1.0.0.1.1.0.1.1,"R.0.1.0.0.1.1.0.1",9,0.17043382243485622,0.17153339548282304,1,1,0,1,0.40407969346769196,"OPTIMAL",0.52999087933119349,3015,106.8620756
R.0.1.0.0.1.1.0.1.0.0,"R.0.1.0.0.1.1.0.1.0",10,0.1693342493868894,0.16988403591087281,1,1,0,1,0.40298012041972514,"OPTIMAL",0.55596351926631205,3461,107.22046899999999
R.0.1.0.0.1.1.0.1.0.1,"R.0.1.0.0.1.1.0.1.0",10,0.16988403591087281,0.17043382243485622,1,1,0,1,0.40352990694370855,"OPTIMAL",0.55325915699804895,3453,109.49846580000001
R.0.0.1.1.1.1.1.1.0,"R.0.0.1.1.1.1.1.1",9,0.13854620404381862,0.13964577709178544,1,1,0,1,0.40662449664303502,"OPTIMAL",0.73430797321622121,3499,111.735197
R.0.0.1.1.1.1.1.1.1,"R.0.0.1.1.1.1.1.1",9,0.13964577709178544,0.14074535013975226,1,1,0,1,0.40412114455393872,"OPTIMAL",0.65700874392441233,3059,112.1118408
R.0.1.0.0.1.1.0.1.1.0,"R.0.1.0.0.1.1.0.1.1",10,0.17043382243485622,0.17098360895883963,1,1,0,1,0.40407969346769196,"OPTIMAL",0.5408228983860488,2900,112.4610081
R.0.1.0.0.1.1.0.1.1.1,"R.0.1.0.0.1.1.0.1.1",10,0.17098360895883963,0.17153339548282304,1,1,0,1,0.40462947999167542,"OPTIMAL",0.58675868132110354,3459,114.8840519
R.0.0.1.1.1.1.1.1.1.0,"R.0.0.1.1.1.1.1.1.1",10,0.13964577709178544,0.14019556361576885,1,1,0,1,0.40557446322227619,"OPTIMAL",0.74477446348243292,3302,117.31409499999999
