leaf,variant,budget_seconds,progress_path,valid_checkpoint_rows,best_valid_lb_seen,final_lower_bound,audit_passed,failures
low_gini_1,plain_fixed_interval_mip,60,,0,0.044318362677,0.044318362677,True,
low_gini_1,plain_fixed_interval_mip,300,,0,0.045482848644,0.045482848644,True,
low_gini_1,static_tailored_compact_bc,60,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_static_tailored_compact_bc_60s.progress.csv,3,0.0460751920577,0.0460751920577,True,
low_gini_1,static_tailored_compact_bc,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_static_tailored_compact_bc_300s.progress.csv,11,0.0483291997208,0.0483291997208,True,
low_gini_1,best_combined_paper_safe,60,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_best_combined_paper_safe_60s.progress.csv,3,0.0453679738658,0.0453679738658,True,
low_gini_1,best_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_best_combined_paper_safe_300s.progress.csv,11,0.0476339655828,0.0476339655828,True,
low_gini_1,best_new_combined_paper_safe,60,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_best_new_combined_paper_safe_60s.progress.csv,3,0.0454067389637,0.0454067389637,True,
low_gini_1,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_best_new_combined_paper_safe_300s.progress.csv,11,0.0476256837823,0.0476256837823,True,
low_gini_1,adaptive_denominator_estimator,60,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_adaptive_denominator_estimator_60s.progress.csv,3,0.0454438670364,0.0454438670364,True,
low_gini_1,adaptive_denominator_estimator,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_adaptive_denominator_estimator_300s.progress.csv,11,0.0476356289487,0.0476356289487,True,
low_gini_1,adaptive_low_gini_centering,60,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_adaptive_low_gini_centering_60s.progress.csv,3,0.0454438670364,0.0454438670364,True,
low_gini_1,adaptive_low_gini_centering,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_adaptive_low_gini_centering_300s.progress.csv,11,0.0476149931452,0.0476149931452,True,
low_gini_1,adaptive_transfer_inventory,60,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_adaptive_transfer_inventory_60s.progress.csv,3,0.0454217989606,0.0454217989606,True,
low_gini_1,adaptive_transfer_inventory,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_adaptive_transfer_inventory_300s.progress.csv,11,0.0476343748841,0.0476343748841,True,
low_gini_1,plain_fixed_interval_mip,1200,,0,0.047531814383,0.047531814383,True,
low_gini_1,best_combined_paper_safe,1200,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_best_combined_paper_safe_1200s.progress.csv,40,0.048388162834,0.048388162834,True,
low_gini_1,best_new_combined_paper_safe,1200,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_best_new_combined_paper_safe_1200s.progress.csv,40,0.048388162834,0.048388162834,True,
low_gini_1,adaptive_denominator_estimator,1200,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_adaptive_denominator_estimator_1200s.progress.csv,40,0.048388162834,0.048388162834,True,
low_gini_1,plain_fixed_interval_mip,3600,,0,0.048296011755,0.048296011755,True,
low_gini_1,best_new_combined_paper_safe,3600,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_1_best_new_combined_paper_safe_3600s.progress.csv,120,0.0487233640003,0.0487233640003,True,
low_gini_2,plain_fixed_interval_mip,300,,0,0.048894652654,0.048894652654,True,
low_gini_2,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\low_gini_2_best_new_combined_paper_safe_300s.progress.csv,11,0.0489209015481,0.0489209015481,True,
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,,0,2.1614382751,2.1614382751,True,
high_imbalance_seed3201_hard,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\high_imbalance_seed3201_hard_best_new_combined_paper_safe_300s.progress.csv,10,2.27669085412,2.27669085412,True,
tight_T_seed3102_hard,plain_fixed_interval_mip,300,,0,0.31231711932,0.31231711932,True,
tight_T_seed3102_hard,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\tight_T_seed3102_hard_best_new_combined_paper_safe_300s.progress.csv,10,0.517898731718,0.517898731718,True,
moderate_seed3302_hard,plain_fixed_interval_mip,300,,0,0.14433282147,0.14433282147,True,
moderate_seed3302_hard,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\progress_traces\moderate_seed3302_hard_best_new_combined_paper_safe_300s.progress.csv,11,0.14256670012,0.14256670012,True,
