variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,-0.316885599892
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,2,1,0,1,0,0,0,0,0,0,0,22,0,1,1,-0.205370606293
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,3,1,0,1,0,0,0,0,0,0,0,187,0,1,0,0.122527677806
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,4,1,0,1,0,0,0,0,0,0,0,189,0,1,0,0.532447491942
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,5,15,0,15,0,0,0,0,0,0,0,2919,0,15,0,0.533331728708
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,6,213,0,213,0,0,0,0,0,0,0,29440,0,210,0,0.535967445137
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,7,2914,0,2914,62,0,0,0,0,0,0,222608,0,1820,0,0.550612655446
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,8,28054,0,28054,9825,0,0,0,0,0,0,1197165,0,10322,0,0.650649055761
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,9,185157,0,185157,151481,0,0,0,0,0,0,4722473,0,18225,0,0.805731952844
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,10,867914,0,867914,1168805,0,0,0,0,0,0,14130384,0,39158,0,0.820614444627
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,11,2964400,0,2964400,5714739,0,0,0,0,0,0,33479250,0,42274,0,0.883798960528
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,12,7606704,0,7606704,19072893,0,0,0,0,0,0,63969701,0,52342,0,1.05833598151
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,13,15446211,0,15446211,45407415,0,0,0,0,0,0,99319714,0,6858,0,1.12924515845
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,14,26530163,0,26530163,81593313,0,0,0,0,0,0,125106190,0,2082,0,1.36959156945
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,15,39751568,0,39751568,119429405,0,0,0,0,0,0,126181685,0,0,0,
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,16,49255833,0,49255833,149502007,0,0,0,0,0,0,98642651,0,0,0,
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,17,44868470,0,44868470,152154860,0,0,0,0,0,0,56248338,0,0,0,
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,18,26498134,0,26498134,108107276,0,0,0,0,0,0,21021933,0,0,0,
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,19,8899002,0,8899002,44097266,0,0,0,0,0,0,4539023,0,0,0,
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,20,1282315,0,1282315,7616687,0,0,0,0,0,0,402127,0,0,0,
